S.no,Symbol,Date,Open,High,Low,Close,Vol
130,SABSL,2019-08-22.csv,302.0,320.0,302.0,320.0,40
126,SABSL,2019-08-26.csv,326.0,332.0,326.0,332.0,20
126,SABSL,2019-08-27.csv,338.0,365.0,338.0,365.0,560
128,SABSL,2019-08-28.csv,383.0,401.0,383.0,401.0,100
128,SABSL,2019-08-29.csv,409.0,441.0,409.0,441.0,220
127,SABSL,2019-09-01.csv,463.0,485.0,463.0,485.0,"3,030"
129,SABSL,2019-09-02.csv,509.0,531.0,485.0,507.0,"38,269"
130,SABSL,2019-09-03.csv,500.0,530.0,485.0,520.0,"11,510"
128,SABSL,2019-09-04.csv,520.0,530.0,500.0,518.0,"7,791"
127,SABSL,2019-09-05.csv,519.0,519.0,503.0,506.0,"5,650"
125,SABSL,2019-09-08.csv,506.0,506.0,497.0,500.0,"6,380"
133,SABSL,2019-09-09.csv,498.0,505.0,492.0,493.0,"3,580"
132,SABSL,2019-09-10.csv,493.0,495.0,486.0,489.0,"3,936"
129,SABSL,2019-09-11.csv,489.0,499.0,484.0,486.0,"4,650"
132,SABSL,2019-09-12.csv,490.0,490.0,472.0,476.0,"2,820"
122,SABSL,2019-09-15.csv,476.0,477.0,462.0,470.0,"2,100"
128,SABSL,2019-09-16.csv,461.0,473.0,459.0,460.0,"2,225"
130,SABSL,2019-09-17.csv,458.0,483.0,452.0,470.0,"1,773"
128,SABSL,2019-09-18.csv,470.0,490.0,470.0,473.0,"1,597"
113,SABSL,2019-09-19.csv,482.0,491.0,469.0,472.0,"1,000"
126,SABSL,2019-09-22.csv,469.0,469.0,450.0,454.0,"2,580"
129,SABSL,2019-09-23.csv,454.0,463.0,447.0,462.0,"1,550"
130,SABSL,2019-09-24.csv,455.0,460.0,447.0,451.0,"1,210"
124,SABSL,2019-09-25.csv,451.0,459.0,449.0,450.0,905
125,SABSL,2019-09-26.csv,447.0,459.0,447.0,454.0,920
118,SABSL,2019-09-29.csv,446.0,450.0,441.0,446.0,750
117,SABSL,2019-09-30.csv,441.0,454.0,441.0,448.0,786
122,SABSL,2019-10-01.csv,444.0,464.0,444.0,460.0,710
121,SABSL,2019-10-02.csv,455.0,455.0,447.0,450.0,640
114,SABSL,2019-10-03.csv,458.0,460.0,450.0,458.0,744
91,SABSL,2019-10-10.csv,450.0,451.0,450.0,451.0,70
115,SABSL,2019-10-14.csv,442.0,455.0,442.0,447.0,"1,270"
113,SABSL,2019-10-15.csv,447.0,472.0,444.0,459.0,160
115,SABSL,2019-10-16.csv,457.0,458.0,449.0,453.0,430
116,SABSL,2019-10-17.csv,450.0,457.0,447.0,452.0,750
96,SABSL,2019-10-20.csv,443.0,461.0,443.0,461.0,"2,010"
108,SABSL,2019-10-21.csv,455.0,460.0,446.0,450.0,300
117,SABSL,2019-10-22.csv,450.0,454.0,447.0,448.0,330
116,SABSL,2019-10-23.csv,455.0,459.0,446.0,447.0,"2,720"
118,SABSL,2019-10-24.csv,448.0,455.0,441.0,448.0,460
117,SABSL,2019-10-31.csv,445.0,453.0,445.0,451.0,360
122,SABSL,2019-11-03.csv,446.0,459.0,446.0,458.0,"1,095"
123,SABSL,2019-11-04.csv,467.0,468.0,453.0,454.0,810
120,SABSL,2019-11-05.csv,457.0,457.0,445.0,445.0,"1,990"
121,SABSL,2019-11-06.csv,453.0,455.0,446.0,451.0,"1,560"
121,SABSL,2019-11-07.csv,451.0,459.0,448.0,451.0,"1,480"
123,SABSL,2019-11-10.csv,455.0,462.0,448.0,455.0,"1,820"
133,SABSL,2019-11-11.csv,465.0,500.0,465.0,500.0,"5,723"
122,SABSL,2019-11-12.csv,525.0,542.0,506.0,526.0,"8,030"
113,SABSL,2019-11-13.csv,527.0,560.0,517.0,560.0,"10,010"
122,SABSL,2019-11-14.csv,552.0,570.0,540.0,563.0,"9,185"
118,SABSL,2019-11-17.csv,570.0,580.0,558.0,562.0,"5,830"
117,SABSL,2019-11-18.csv,561.0,561.0,550.0,555.0,"4,093"
124,SABSL,2019-11-19.csv,564.0,565.0,548.0,548.0,"5,177"
123,SABSL,2019-11-20.csv,558.0,558.0,542.0,546.0,"7,970"
125,SABSL,2019-11-21.csv,477.0,482.0,474.0,477.0,"2,697"
123,SABSL,2019-11-24.csv,477.0,477.0,464.0,470.0,"2,150"
126,SABSL,2019-11-25.csv,477.0,478.0,457.0,466.0,"1,647"
123,SABSL,2019-11-26.csv,460.0,475.0,460.0,465.0,"1,007"
124,SABSL,2019-11-27.csv,457.0,475.0,457.0,475.0,920
122,SABSL,2019-11-28.csv,466.0,482.0,458.0,476.0,998
119,SABSL,2019-12-01.csv,477.0,477.0,468.0,474.0,295
120,SABSL,2019-12-02.csv,475.0,480.0,470.0,479.0,475
126,SABSL,2019-12-03.csv,471.0,488.0,471.0,484.0,"1,076"
126,SABSL,2019-12-04.csv,476.0,517.0,476.0,510.0,"6,147"
125,SABSL,2019-12-05.csv,510.0,520.0,497.0,510.0,"3,434"
128,SABSL,2019-12-08.csv,501.0,531.0,501.0,523.0,"5,367"
130,SABSL,2019-12-09.csv,533.0,558.0,530.0,544.0,"10,174"
128,SABSL,2019-12-10.csv,541.0,560.0,530.0,545.0,"8,083"
130,SABSL,2019-12-11.csv,545.0,578.0,545.0,568.0,"6,569"
125,SABSL,2019-12-12.csv,558.0,573.0,551.0,551.0,"6,895"
128,SABSL,2019-12-15.csv,545.0,556.0,543.0,553.0,"5,622"
126,SABSL,2019-12-16.csv,542.0,555.0,537.0,545.0,"1,750"
125,SABSL,2019-12-17.csv,536.0,553.0,536.0,548.0,890
124,SABSL,2019-12-18.csv,545.0,549.0,539.0,541.0,"2,261"
130,SABSL,2019-12-19.csv,545.0,545.0,534.0,535.0,933
125,SABSL,2019-12-22.csv,526.0,540.0,526.0,536.0,"1,160"
131,SABSL,2019-12-23.csv,528.0,550.0,528.0,545.0,"1,507"
128,SABSL,2019-12-24.csv,546.0,555.0,536.0,545.0,"4,698"
