S.no,Symbol,Date,Open,High,Low,Close,Vol
64,SADBL,2012-04-01.csv,263.0,258.0,258.0,258.0,170
70,SADBL,2012-04-30.csv,258.0,253.0,248.0,248.0,270
46,SADBL,2012-05-07.csv,248.0,244.0,244.0,244.0,20
55,SADBL,2012-05-20.csv,244.0,232.0,232.0,232.0,"1,240"
38,SADBL,2012-05-29.csv,232.0,225.0,225.0,225.0,"1,240"
59,SADBL,2012-07-10.csv,225.0,214.0,214.0,214.0,50
68,SADBL,2012-07-12.csv,214.0,204.0,204.0,204.0,50
65,SADBL,2012-07-16.csv,204.0,200.0,200.0,200.0,70
64,SADBL,2012-07-17.csv,200.0,196.0,196.0,196.0,270
69,SADBL,2012-07-26.csv,196.0,193.0,193.0,193.0,20
68,SADBL,2012-08-12.csv,193.0,190.0,190.0,190.0,500
60,SADBL,2012-08-19.csv,190.0,181.0,181.0,181.0,"1,320"
69,SADBL,2012-08-26.csv,181.0,172.0,172.0,172.0,110
72,SADBL,2012-09-09.csv,172.0,169.0,155.0,155.0,60
72,SADBL,2012-09-25.csv,155.0,152.0,147.0,147.0,30
76,SADBL,2012-09-26.csv,147.0,145.0,143.0,143.0,70
71,SADBL,2012-10-02.csv,137.0,135.0,124.0,124.0,200
75,SADBL,2012-10-03.csv,124.0,122.0,112.0,112.0,"4,850"
70,SADBL,2012-10-04.csv,112.0,113.0,106.0,111.0,"4,670"
72,SADBL,2012-10-07.csv,111.0,113.0,106.0,112.0,"3,980"
79,SADBL,2012-10-08.csv,112.0,114.0,110.0,114.0,"2,710"
76,SADBL,2012-10-09.csv,114.0,113.0,111.0,112.0,"2,770"
72,SADBL,2012-10-10.csv,112.0,114.0,112.0,112.0,390
75,SADBL,2012-10-11.csv,112.0,114.0,114.0,114.0,50
70,SADBL,2012-10-14.csv,114.0,113.0,111.0,111.0,"2,020"
60,SADBL,2012-10-15.csv,111.0,118.0,112.0,118.0,820
67,SADBL,2012-10-18.csv,118.0,120.0,118.0,120.0,"1,090"
62,SADBL,2012-10-30.csv,120.0,119.0,118.0,119.0,780
58,SADBL,2012-10-31.csv,119.0,122.0,120.0,122.0,760
62,SADBL,2012-11-01.csv,122.0,121.0,119.0,120.0,550
66,SADBL,2012-11-04.csv,120.0,122.0,118.0,120.0,660
71,SADBL,2012-11-05.csv,120.0,124.0,122.0,124.0,"1,440"
77,SADBL,2012-11-06.csv,124.0,128.0,125.0,128.0,490
75,SADBL,2012-11-07.csv,128.0,129.0,128.0,128.0,220
58,SADBL,2012-11-21.csv,128.0,130.0,130.0,130.0,720
68,SADBL,2012-11-22.csv,130.0,128.0,126.0,126.0,470
62,SADBL,2012-11-25.csv,126.0,124.0,116.0,116.0,660
67,SADBL,2012-11-26.csv,116.0,118.0,116.0,116.0,560
62,SADBL,2012-11-27.csv,116.0,117.0,117.0,117.0,"2,530"
60,SADBL,2012-11-28.csv,117.0,119.0,119.0,119.0,520
58,SADBL,2012-11-29.csv,119.0,117.0,117.0,117.0,750
58,SADBL,2012-12-03.csv,117.0,116.0,116.0,116.0,80
63,SADBL,2012-12-04.csv,116.0,118.0,116.0,118.0,310
65,SADBL,2012-12-05.csv,118.0,118.0,117.0,117.0,730
62,SADBL,2012-12-06.csv,117.0,119.0,117.0,118.0,"1,180"
62,SADBL,2012-12-09.csv,118.0,118.0,116.0,116.0,"1,430"
55,SADBL,2012-12-10.csv,116.0,118.0,116.0,116.0,200
58,SADBL,2012-12-11.csv,116.0,118.0,114.0,118.0,910
58,SADBL,2012-12-12.csv,118.0,116.0,116.0,116.0,150
61,SADBL,2012-12-13.csv,116.0,117.0,117.0,117.0,360
59,SADBL,2012-12-17.csv,117.0,117.0,117.0,117.0,60
59,SADBL,2012-12-18.csv,117.0,116.0,116.0,116.0,430
63,SADBL,2012-12-19.csv,116.0,116.0,116.0,116.0,50
58,SADBL,2012-12-20.csv,116.0,120.0,118.0,120.0,160
63,SADBL,2012-12-24.csv,120.0,122.0,122.0,122.0,200
56,SADBL,2012-12-31.csv,122.0,121.0,120.0,120.0,"1,010"
58,SADBL,2013-01-01.csv,120.0,118.0,118.0,118.0,80
59,SADBL,2013-01-03.csv,118.0,118.0,118.0,118.0,50
63,SADBL,2013-01-06.csv,118.0,118.0,118.0,118.0,60
40,SADBL,2013-01-08.csv,118.0,117.0,116.0,116.0,"1,690"
57,SADBL,2013-01-10.csv,116.0,115.0,115.0,115.0,50
56,SADBL,2013-01-16.csv,115.0,116.0,115.0,115.0,690
53,SADBL,2013-01-20.csv,115.0,115.0,115.0,115.0,320
63,SADBL,2013-01-22.csv,115.0,125.0,117.0,125.0,"1,280"
63,SADBL,2013-01-24.csv,125.0,130.0,127.0,130.0,"2,080"
61,SADBL,2013-01-28.csv,128.0,127.0,125.0,125.0,670
65,SADBL,2013-01-30.csv,125.0,125.0,123.0,125.0,"1,440"
68,SADBL,2013-01-31.csv,125.0,127.0,127.0,127.0,620
56,SADBL,2013-02-03.csv,127.0,129.0,127.0,127.0,780
63,SADBL,2013-02-04.csv,127.0,131.0,127.0,130.0,"1,340"
64,SADBL,2013-02-05.csv,130.0,128.0,127.0,127.0,250
54,SADBL,2013-02-06.csv,127.0,130.0,128.0,129.0,"1,030"
55,SADBL,2013-02-07.csv,129.0,129.0,127.0,129.0,440
58,SADBL,2013-02-12.csv,129.0,130.0,130.0,130.0,100
64,SADBL,2013-02-13.csv,130.0,129.0,129.0,129.0,450
66,SADBL,2013-02-14.csv,129.0,131.0,130.0,131.0,380
57,SADBL,2013-02-19.csv,131.0,133.0,133.0,133.0,430
61,SADBL,2013-02-20.csv,133.0,133.0,131.0,131.0,390
58,SADBL,2013-02-21.csv,131.0,129.0,129.0,129.0,200
60,SADBL,2013-02-24.csv,129.0,128.0,127.0,127.0,240
95,SADBL,2014-09-07.csv,127.0,139.0,129.0,139.0,60
103,SADBL,2014-09-09.csv,139.0,151.0,145.0,151.0,40
108,SADBL,2014-09-10.csv,151.0,166.0,154.0,166.0,50
97,SADBL,2014-09-11.csv,166.0,182.0,169.0,182.0,60
94,SADBL,2014-09-14.csv,182.0,200.0,191.0,200.0,40
103,SADBL,2014-09-15.csv,200.0,220.0,210.0,220.0,160
92,SADBL,2014-09-30.csv,220.0,235.0,231.0,235.0,260
80,SADBL,2014-10-08.csv,235.0,251.0,239.0,251.0,460
100,SADBL,2014-10-09.csv,251.0,266.0,256.0,266.0,430
96,SADBL,2014-10-12.csv,266.0,291.0,271.0,291.0,130
95,SADBL,2014-10-13.csv,291.0,320.0,296.0,320.0,"21,003"
96,SADBL,2014-10-14.csv,320.0,328.0,301.0,320.0,"6,800"
100,SADBL,2014-10-15.csv,320.0,325.0,314.0,320.0,"4,750"
105,SADBL,2014-10-16.csv,320.0,326.0,315.0,321.0,"4,661"
89,SADBL,2014-10-19.csv,321.0,327.0,321.0,322.0,756
91,SADBL,2014-10-20.csv,322.0,320.0,311.0,314.0,"1,573"
96,SADBL,2014-10-21.csv,314.0,320.0,315.0,315.0,570
95,SADBL,2014-10-22.csv,315.0,327.0,321.0,325.0,"1,559"
79,SADBL,2014-10-26.csv,325.0,324.0,318.0,318.0,"1,270"
90,SADBL,2014-10-27.csv,318.0,320.0,312.0,318.0,"1,683"
94,SADBL,2014-10-28.csv,318.0,325.0,315.0,319.0,"2,480"
95,SADBL,2014-10-30.csv,319.0,321.0,314.0,321.0,969
101,SADBL,2014-11-02.csv,321.0,315.0,309.0,309.0,150
99,SADBL,2014-11-03.csv,309.0,308.0,304.0,308.0,990
87,SADBL,2014-11-04.csv,308.0,302.0,302.0,302.0,92
94,SADBL,2014-11-05.csv,302.0,306.0,294.0,301.0,"6,349"
97,SADBL,2014-11-06.csv,301.0,313.0,303.0,313.0,321
95,SADBL,2014-11-09.csv,313.0,311.0,307.0,311.0,810
93,SADBL,2014-11-10.csv,311.0,311.0,305.0,306.0,773
99,SADBL,2014-11-11.csv,306.0,304.0,294.0,298.0,"2,101"
100,SADBL,2014-11-12.csv,298.0,305.0,300.0,305.0,"4,673"
102,SADBL,2014-11-13.csv,305.0,299.0,294.0,294.0,170
98,SADBL,2014-11-16.csv,294.0,291.0,286.0,290.0,910
96,SADBL,2014-11-17.csv,290.0,290.0,285.0,290.0,973
91,SADBL,2014-11-18.csv,290.0,285.0,275.0,275.0,671
94,SADBL,2014-11-19.csv,275.0,282.0,280.0,282.0,220
102,SADBL,2014-11-20.csv,282.0,277.0,277.0,277.0,500
98,SADBL,2014-11-23.csv,277.0,285.0,280.0,285.0,"1,820"
95,SADBL,2014-11-24.csv,285.0,285.0,280.0,280.0,"6,980"
88,SADBL,2014-11-30.csv,280.0,288.0,275.0,288.0,"2,433"
96,SADBL,2014-12-01.csv,288.0,290.0,285.0,286.0,"2,250"
83,SADBL,2014-12-02.csv,286.0,284.0,283.0,283.0,627
97,SADBL,2014-12-03.csv,283.0,285.0,280.0,283.0,"2,666"
84,SADBL,2014-12-04.csv,283.0,290.0,282.0,282.0,"1,751"
88,SADBL,2014-12-07.csv,282.0,284.0,277.0,283.0,"1,833"
94,SADBL,2014-12-09.csv,283.0,278.0,278.0,278.0,440
96,SADBL,2014-12-11.csv,278.0,283.0,283.0,283.0,200
92,SADBL,2014-12-14.csv,283.0,303.0,288.0,303.0,707
93,SADBL,2014-12-15.csv,303.0,297.0,297.0,297.0,443
93,SADBL,2014-12-16.csv,297.0,292.0,292.0,292.0,120
98,SADBL,2014-12-17.csv,292.0,295.0,290.0,295.0,"2,190"
99,SADBL,2014-12-18.csv,295.0,290.0,290.0,290.0,170
