S.no,Symbol,Date,Open,High,Low,Close,Vol
130,SADBLP,2017-11-22.csv,205.0,205.0,205.0,205.0,"129,348"
119,SADBLP,2018-02-26.csv,165.0,165.0,165.0,165.0,"95,636"
129,SADBLP,2018-06-07.csv,150.0,150.0,150.0,150.0,"126,373"
127,SADBLP,2018-08-08.csv,150.0,150.0,150.0,150.0,"18,147"
125,SADBLP,2018-08-12.csv,150.0,150.0,150.0,150.0,"16,885"
129,SADBLP,2018-12-31.csv,100.0,100.0,100.0,100.0,"31,000"
131,SADBLP,2019-04-03.csv,118.0,118.0,118.0,118.0,"17,317"
132,SADBLP,2019-04-04.csv,118.0,118.0,118.0,118.0,"2,085"
130,SADBLP,2019-04-11.csv,118.0,118.0,118.0,118.0,"4,317"
132,SADBLP,2019-06-27.csv,118.0,118.0,118.0,118.0,"46,076"
124,SADBLP,2019-07-16.csv,118.0,118.0,118.0,118.0,"28,480"
132,SADBLP,2019-07-25.csv,118.0,118.0,118.0,118.0,"9,709"
121,SADBLP,2019-12-01.csv,116.0,116.0,116.0,116.0,"10,000"
138,SADBLP,2019-12-29.csv,114.0,114.0,114.0,114.0,"13,679"
133,SADBLP,2019-12-30.csv,114.0,114.0,114.0,114.0,"12,003"
