S.no,Symbol,Date,Open,High,Low,Close,Vol
75,SAFL,2015-10-18.csv,201.0,221.0,205.0,205.0,"5,328"
70,SAFL,2015-10-19.csv,205.0,215.0,201.0,205.0,"5,472"
42,SAFL,2015-10-25.csv,205.0,201.0,196.0,201.0,"1,145"
62,SAFL,2015-10-27.csv,201.0,197.0,187.0,187.0,"2,210"
63,SAFL,2015-10-28.csv,187.0,186.0,174.0,183.0,"6,129"
72,SAFL,2015-10-29.csv,183.0,193.0,181.0,193.0,661
83,SAFL,2015-11-01.csv,193.0,190.0,185.0,188.0,819
79,SAFL,2015-11-02.csv,188.0,193.0,187.0,187.0,460
78,SAFL,2015-11-03.csv,187.0,193.0,187.0,188.0,333
80,SAFL,2015-11-04.csv,188.0,188.0,184.0,184.0,736
76,SAFL,2015-11-05.csv,184.0,185.0,175.0,182.0,"3,900"
82,SAFL,2015-11-08.csv,182.0,179.0,175.0,176.0,"2,662"
82,SAFL,2015-11-09.csv,176.0,183.0,179.0,183.0,"1,282"
75,SAFL,2015-11-15.csv,183.0,189.0,180.0,181.0,"1,103"
80,SAFL,2015-11-16.csv,181.0,181.0,180.0,181.0,"2,697"
84,SAFL,2015-11-18.csv,181.0,186.0,179.0,179.0,"2,190"
78,SAFL,2015-11-19.csv,179.0,182.0,179.0,182.0,"2,162"
85,SAFL,2015-11-22.csv,182.0,180.0,180.0,180.0,129
77,SAFL,2015-11-23.csv,180.0,179.0,179.0,179.0,135
87,SAFL,2015-11-24.csv,179.0,177.0,173.0,177.0,"1,096"
87,SAFL,2015-11-25.csv,177.0,174.0,170.0,170.0,"1,511"
86,SAFL,2015-11-26.csv,170.0,167.0,161.0,163.0,"1,087"
76,SAFL,2015-11-29.csv,163.0,166.0,164.0,164.0,555
76,SAFL,2015-11-30.csv,164.0,170.0,167.0,169.0,612
88,SAFL,2015-12-01.csv,169.0,177.0,172.0,177.0,"1,054"
81,SAFL,2015-12-02.csv,177.0,174.0,172.0,172.0,783
79,SAFL,2015-12-03.csv,172.0,178.0,175.0,178.0,847
84,SAFL,2015-12-06.csv,178.0,178.0,172.0,178.0,137
92,SAFL,2015-12-07.csv,178.0,175.0,172.0,175.0,"1,901"
96,SAFL,2015-12-08.csv,175.0,178.0,175.0,175.0,"1,213"
94,SAFL,2015-12-09.csv,175.0,175.0,169.0,172.0,"2,338"
94,SAFL,2015-12-10.csv,172.0,173.0,170.0,173.0,"1,101"
95,SAFL,2015-12-13.csv,173.0,173.0,167.0,173.0,"2,083"
88,SAFL,2015-12-14.csv,173.0,173.0,167.0,170.0,"1,849"
88,SAFL,2015-12-15.csv,170.0,169.0,167.0,167.0,"1,170"
95,SAFL,2015-12-16.csv,167.0,169.0,166.0,166.0,"1,697"
92,SAFL,2015-12-17.csv,166.0,169.0,163.0,169.0,427
95,SAFL,2015-12-20.csv,169.0,175.0,167.0,175.0,"2,725"
95,SAFL,2015-12-22.csv,175.0,181.0,178.0,181.0,"1,884"
96,SAFL,2015-12-23.csv,181.0,180.0,178.0,178.0,"2,158"
96,SAFL,2015-12-24.csv,178.0,180.0,173.0,180.0,"1,141"
89,SAFL,2015-12-27.csv,180.0,177.0,172.0,172.0,"1,760"
96,SAFL,2015-12-28.csv,172.0,175.0,169.0,172.0,280
96,SAFL,2015-12-29.csv,172.0,172.0,172.0,172.0,56
96,SAFL,2015-12-31.csv,172.0,172.0,166.0,171.0,"1,123"
94,SAFL,2016-01-03.csv,171.0,172.0,168.0,169.0,"1,981"
96,SAFL,2016-01-04.csv,169.0,185.0,170.0,185.0,"3,484"
98,SAFL,2016-01-05.csv,185.0,203.0,186.0,194.0,"11,968"
98,SAFL,2016-01-06.csv,194.0,191.0,182.0,185.0,"1,543"
97,SAFL,2016-01-07.csv,185.0,189.0,180.0,188.0,937
100,SAFL,2016-01-10.csv,188.0,188.0,184.0,184.0,"1,349"
102,SAFL,2016-01-11.csv,184.0,198.0,181.0,192.0,"2,431"
206,SAFL,2016-01-12.csv,192.0,190.0,185.0,189.0,"5,539"
207,SAFL,2016-01-12.csv,192.0,190.0,185.0,189.0,"5,539"
106,SAFL,2016-01-13.csv,189.0,187.0,182.0,185.0,"3,630"
107,SAFL,2016-01-14.csv,185.0,197.0,180.0,196.0,"8,409"
66,SAFL,2016-01-20.csv,196.0,215.0,199.0,215.0,751
68,SAFL,2016-01-21.csv,215.0,227.0,217.0,217.0,"5,296"
73,SAFL,2016-01-24.csv,217.0,230.0,220.0,230.0,"1,135"
72,SAFL,2016-01-25.csv,230.0,229.0,229.0,229.0,440
70,SAFL,2016-01-26.csv,229.0,226.0,225.0,225.0,445
71,SAFL,2016-01-27.csv,225.0,221.0,217.0,218.0,"1,600"
73,SAFL,2016-01-28.csv,218.0,222.0,222.0,222.0,50
76,SAFL,2016-01-31.csv,222.0,244.0,226.0,244.0,"2,525"
