S.no,Symbol,Date,Open,High,Low,Close,Vol
97,SAJHA,2016-04-27.csv,251.0,266.0,256.0,266.0,40
97,SAJHA,2016-04-28.csv,266.0,286.0,271.0,286.0,40
92,SAJHA,2016-05-02.csv,286.0,313.0,291.0,313.0,55
100,SAJHA,2016-05-03.csv,313.0,344.0,319.0,344.0,468
92,SAJHA,2016-05-04.csv,344.0,378.0,350.0,378.0,"10,923"
99,SAJHA,2016-05-05.csv,378.0,415.0,376.0,406.0,"21,715"
97,SAJHA,2016-05-08.csv,406.0,405.0,381.0,385.0,"4,858"
99,SAJHA,2016-05-09.csv,385.0,392.0,360.0,366.0,"4,990"
100,SAJHA,2016-05-10.csv,366.0,380.0,359.0,380.0,"1,701"
99,SAJHA,2016-05-11.csv,380.0,374.0,368.0,371.0,"1,374"
101,SAJHA,2016-05-12.csv,371.0,367.0,355.0,365.0,354
99,SAJHA,2016-05-15.csv,365.0,359.0,344.0,348.0,"1,105"
102,SAJHA,2016-05-16.csv,348.0,348.0,330.0,342.0,"1,229"
99,SAJHA,2016-05-17.csv,342.0,336.0,316.0,316.0,"5,646"
104,SAJHA,2016-05-18.csv,316.0,310.0,289.0,294.0,"1,990"
101,SAJHA,2016-05-19.csv,294.0,289.0,269.0,270.0,"2,190"
102,SAJHA,2016-05-22.csv,270.0,270.0,246.0,260.0,"4,186"
102,SAJHA,2016-05-23.csv,260.0,280.0,261.0,280.0,"1,543"
104,SAJHA,2016-05-24.csv,280.0,290.0,275.0,279.0,"4,151"
104,SAJHA,2016-05-25.csv,279.0,291.0,280.0,286.0,632
99,SAJHA,2016-05-26.csv,286.0,286.0,276.0,286.0,741
93,SAJHA,2016-05-29.csv,286.0,282.0,268.0,272.0,"1,570"
100,SAJHA,2016-05-30.csv,272.0,267.0,260.0,261.0,"1,644"
103,SAJHA,2016-05-31.csv,261.0,281.0,251.0,281.0,914
97,SAJHA,2016-06-01.csv,281.0,276.0,270.0,271.0,308
96,SAJHA,2016-06-02.csv,271.0,275.0,266.0,275.0,603
94,SAJHA,2016-06-05.csv,275.0,270.0,261.0,265.0,620
101,SAJHA,2016-06-06.csv,265.0,275.0,260.0,260.0,892
98,SAJHA,2016-06-07.csv,260.0,274.0,256.0,274.0,"1,110"
99,SAJHA,2016-06-08.csv,274.0,274.0,247.0,267.0,737
104,SAJHA,2016-06-09.csv,267.0,271.0,261.0,266.0,275
101,SAJHA,2016-06-12.csv,266.0,270.0,260.0,262.0,572
104,SAJHA,2016-06-13.csv,262.0,267.0,260.0,261.0,"2,425"
99,SAJHA,2016-06-14.csv,261.0,266.0,260.0,260.0,"1,043"
99,SAJHA,2016-06-15.csv,260.0,269.0,259.0,269.0,"2,374"
104,SAJHA,2016-06-16.csv,269.0,278.0,269.0,273.0,"2,214"
103,SAJHA,2016-06-19.csv,273.0,283.0,273.0,280.0,650
101,SAJHA,2016-06-20.csv,280.0,308.0,280.0,300.0,"7,446"
100,SAJHA,2016-06-21.csv,300.0,300.0,284.0,287.0,"1,204"
101,SAJHA,2016-06-22.csv,287.0,294.0,280.0,294.0,"1,645"
100,SAJHA,2016-06-23.csv,294.0,295.0,285.0,287.0,"3,544"
100,SAJHA,2016-06-26.csv,287.0,315.0,292.0,315.0,"7,367"
98,SAJHA,2016-06-27.csv,315.0,325.0,310.0,310.0,"5,562"
101,SAJHA,2016-06-28.csv,310.0,316.0,306.0,306.0,"4,550"
