S.no,Symbol,Date,Open,High,Low,Close,Vol
51,SBBLJ,2012-01-05.csv,241.0,201.0,201.0,201.0,"1,800"
63,SBBLJ,2012-02-16.csv,201.0,201.0,201.0,201.0,"1,200"
69,SBBLJ,2012-03-18.csv,201.0,205.0,205.0,205.0,"11,500"
63,SBBLJ,2012-03-19.csv,205.0,205.0,205.0,205.0,"5,072"
63,SBBLJ,2012-04-18.csv,205.0,204.0,204.0,204.0,750
73,SBBLJ,2012-04-26.csv,204.0,204.0,204.0,204.0,"1,170"
65,SBBLJ,2012-05-24.csv,204.0,208.0,204.0,208.0,145
60,SBBLJ,2012-06-18.csv,208.0,208.0,208.0,208.0,"5,072"
60,SBBLJ,2012-07-03.csv,208.0,204.0,200.0,200.0,"1,036"
61,SBBLJ,2012-07-10.csv,200.0,200.0,200.0,200.0,488
66,SBBLJ,2012-07-17.csv,200.0,200.0,200.0,200.0,84
70,SBBLJ,2012-08-12.csv,200.0,205.0,194.0,194.0,"1,073"
61,SBBLJ,2012-08-14.csv,194.0,197.0,194.0,194.0,181
63,SBBLJ,2012-08-15.csv,194.0,196.0,191.0,191.0,"1,764"
66,SBBLJ,2012-08-16.csv,191.0,190.0,190.0,190.0,"2,000"
62,SBBLJ,2012-08-19.csv,190.0,187.0,187.0,187.0,"2,500"
71,SBBLJ,2012-08-21.csv,187.0,184.0,184.0,184.0,"2,166"
70,SBBLJ,2012-08-22.csv,184.0,181.0,180.0,180.0,"1,151"
69,SBBLJ,2012-08-23.csv,180.0,178.0,178.0,178.0,"1,334"
72,SBBLJ,2012-08-27.csv,178.0,175.0,175.0,175.0,"1,500"
74,SBBLJ,2012-08-28.csv,175.0,177.0,177.0,177.0,"2,166"
79,SBBLJ,2012-09-13.csv,177.0,183.0,180.0,183.0,487
72,SBBLJ,2012-09-20.csv,183.0,189.0,186.0,189.0,923
74,SBBLJ,2012-10-07.csv,189.0,207.0,192.0,207.0,"3,311"
81,SBBLJ,2012-10-08.csv,207.0,227.0,207.0,227.0,689
78,SBBLJ,2012-10-09.csv,227.0,235.0,231.0,235.0,100
74,SBBLJ,2012-10-10.csv,235.0,244.0,239.0,240.0,"1,050"
77,SBBLJ,2012-10-11.csv,240.0,240.0,236.0,240.0,215
68,SBBLJ,2012-11-04.csv,240.0,243.0,243.0,243.0,150
73,SBBLJ,2012-11-05.csv,243.0,247.0,247.0,247.0,20
79,SBBLJ,2012-11-06.csv,247.0,265.0,251.0,265.0,306
77,SBBLJ,2012-11-07.csv,265.0,290.0,270.0,290.0,168
61,SBBLJ,2012-11-18.csv,290.0,285.0,285.0,285.0,55
64,SBBLJ,2012-11-25.csv,285.0,289.0,289.0,289.0,200
69,SBBLJ,2012-11-26.csv,289.0,284.0,284.0,284.0,100
64,SBBLJ,2012-11-27.csv,284.0,289.0,279.0,289.0,215
50,SBBLJ,2012-12-02.csv,289.0,285.0,285.0,285.0,544
67,SBBLJ,2012-12-05.csv,285.0,285.0,285.0,285.0,145
64,SBBLJ,2012-12-06.csv,285.0,289.0,289.0,289.0,950
64,SBBLJ,2012-12-09.csv,289.0,290.0,290.0,290.0,125
57,SBBLJ,2012-12-10.csv,290.0,285.0,285.0,285.0,100
60,SBBLJ,2012-12-23.csv,285.0,284.0,280.0,284.0,845
61,SBBLJ,2013-01-02.csv,284.0,279.0,279.0,279.0,150
61,SBBLJ,2013-01-03.csv,279.0,274.0,274.0,274.0,200
65,SBBLJ,2013-01-06.csv,274.0,270.0,270.0,270.0,200
