S.no,Symbol,Date,Open,High,Low,Close,Vol
54,SBBLPO,2012-04-24.csv,275.0,167.0,164.0,164.0,200
74,SBBLPO,2012-04-29.csv,149.0,147.0,135.0,135.0,700
34,SBBLPO,2012-05-02.csv,135.0,133.0,129.0,129.0,300
52,SBBLPO,2012-05-03.csv,129.0,127.0,127.0,127.0,300
48,SBBLPO,2012-05-07.csv,127.0,121.0,115.0,115.0,"632,000"
72,SBBLPO,2012-05-09.csv,115.0,113.0,109.0,109.0,"300,000"
69,SBBLPO,2012-05-10.csv,109.0,109.0,109.0,109.0,"153,000"
66,SBBLPO,2012-05-24.csv,109.0,111.0,111.0,111.0,"65,000"
43,SBBLPO,2012-05-31.csv,111.0,115.0,113.0,115.0,"50,000"
62,SBBLPO,2012-06-06.csv,115.0,122.0,120.0,122.0,"3,000"
62,SBBLPO,2012-06-26.csv,122.0,130.0,124.0,130.0,"6,000"
58,SBBLPO,2012-06-27.csv,130.0,140.0,136.0,140.0,"4,000"
64,SBBLPO,2012-07-02.csv,140.0,149.0,147.0,149.0,"2,000"
64,SBBLPO,2013-02-20.csv,149.0,151.0,151.0,151.0,"62,800"
58,SBBLPO,2013-02-25.csv,151.0,158.0,158.0,158.0,200
78,SBBLPO,2013-09-24.csv,158.0,158.0,158.0,158.0,"17,214"
106,SBBLPO,2014-06-09.csv,158.0,161.0,161.0,161.0,"40,000"
104,SBBLPO,2014-06-12.csv,161.0,164.0,164.0,164.0,"58,440"
86,SBBLPO,2014-06-23.csv,164.0,172.0,172.0,172.0,"1,560"
101,SBBLPO,2016-05-26.csv,458.0,450.0,450.0,450.0,"69,679"
103,SBBLPO,2016-06-06.csv,450.0,450.0,450.0,450.0,"132,996"
115,SBBLPO,2017-04-10.csv,270.0,265.0,265.0,265.0,"74,170"
115,SBBLPO,2017-05-22.csv,265.0,265.0,260.0,265.0,"25,956"
116,SBBLPO,2017-05-28.csv,265.0,265.0,265.0,265.0,30
138,SBBLPO,2019-04-29.csv,181.0,181.0,181.0,181.0,700
136,SBBLPO,2019-05-09.csv,180.1,180.1,180.1,180.1,"1,805,000"
134,SBBLPO,2019-05-12.csv,180.1,180.1,180.1,180.1,"913,835"
138,SBBLPO,2020-01-12.csv,180.0,180.0,180.0,180.0,"80,000"
141,SBBLPO,2020-01-21.csv,180.0,180.0,180.0,180.0,"220,000"
