Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SBL,620.0,615.0,605.0,610.0,2818
1/4/2016,SBL,610.0,605.0,591.0,597.0,4844
1/5/2016,SBL,597.0,597.0,590.0,594.0,7422
1/6/2016,SBL,594.0,599.0,590.0,595.0,17443
7/11/2016,SBL,595.0,654.0,606.0,654.0,1050
7/12/2016,SBL,654.0,719.0,667.0,719.0,130
7/13/2016,SBL,719.0,790.0,733.0,790.0,5370
7/14/2016,SBL,790.0,869.0,805.0,869.0,176
7/17/2016,SBL,869.0,955.0,886.0,955.0,2660
7/18/2016,SBL,955.0,1050.0,974.0,1050.0,3556
7/19/2016,SBL,1050.0,1155.0,1071.0,1155.0,28079
7/20/2016,SBL,1155.0,1270.0,1178.0,1215.0,319469
7/21/2016,SBL,1215.0,1245.0,1200.0,1230.0,106523
7/25/2016,SBL,1230.0,1332.0,1240.0,1330.0,151839
7/26/2016,SBL,1330.0,1435.0,1350.0,1415.0,181715
7/27/2016,SBL,1415.0,1416.0,1370.0,1384.0,70544
7/28/2016,SBL,1384.0,1404.0,1345.0,1380.0,83810
7/31/2016,SBL,1380.0,1393.0,1363.0,1368.0,47932
8/1/2016,SBL,1368.0,1372.0,1335.0,1352.0,53125
8/2/2016,SBL,1352.0,1362.0,1336.0,1349.0,79768
8/3/2016,SBL,1349.0,1364.0,1316.0,1335.0,54074
8/4/2016,SBL,1335.0,1321.0,1280.0,1290.0,91888
8/7/2016,SBL,1290.0,1330.0,1281.0,1290.0,81453
8/8/2016,SBL,1290.0,1285.0,1191.0,1191.0,42709
8/9/2016,SBL,1191.0,1310.0,1214.0,1295.0,27548
8/10/2016,SBL,1295.0,1330.0,1250.0,1295.0,86015
8/11/2016,SBL,1295.0,1310.0,1280.0,1290.0,33062
8/14/2016,SBL,1290.0,1290.0,1250.0,1275.0,34538
8/15/2016,SBL,1275.0,1268.0,1216.0,1246.0,29364
8/16/2016,SBL,1246.0,1294.0,1220.0,1264.0,21995
8/17/2016,SBL,1264.0,1279.0,1252.0,1268.0,24721
8/21/2016,SBL,1268.0,1281.0,1255.0,1270.0,15449
8/22/2016,SBL,1270.0,1265.0,1235.0,1249.0,14319
8/23/2016,SBL,1249.0,1254.0,1215.0,1234.0,36789
8/24/2016,SBL,1234.0,1279.0,1236.0,1250.0,17277
8/28/2016,SBL,1250.0,1287.0,1240.0,1277.0,22566
8/29/2016,SBL,1277.0,1331.0,1270.0,1331.0,67226
8/30/2016,SBL,1331.0,1339.0,1310.0,1335.0,36348
8/31/2016,SBL,1335.0,1350.0,1320.0,1348.0,28047
9/1/2016,SBL,1348.0,1361.0,1340.0,1345.0,30275
9/3/2016,SBL,1345.0,1404.0,1350.0,1399.0,87766
9/4/2016,SBL,1345.0,1404.0,1350.0,1399.0,87766
9/5/2016,SBL,1399.0,1448.0,1400.0,1416.0,71484
9/6/2016,SBL,1416.0,1440.0,1375.0,1400.0,62603
9/7/2016,SBL,1400.0,1424.0,1370.0,1388.0,23618
9/8/2016,SBL,1388.0,1399.0,1370.0,1388.0,20887
9/11/2016,SBL,1388.0,1393.0,1376.0,1378.0,16181
9/12/2016,SBL,1378.0,1380.0,1367.0,1370.0,19221
9/14/2016,SBL,1370.0,1385.0,1368.0,1379.0,30941
9/18/2016,SBL,1379.0,1378.0,1352.0,1361.0,22237
9/20/2016,SBL,1361.0,1366.0,1331.0,1331.0,36033
9/21/2016,SBL,1331.0,1343.0,1314.0,1330.0,32273
9/22/2016,SBL,1330.0,1340.0,1320.0,1320.0,20008
9/25/2016,SBL,1320.0,1328.0,1270.0,1272.0,29013
9/26/2016,SBL,1272.0,1314.0,1275.0,1294.0,41396
9/27/2016,SBL,1294.0,1319.0,1285.0,1293.0,40097
9/28/2016,SBL,1293.0,1296.0,1282.0,1290.0,28066
9/29/2016,SBL,1290.0,1305.0,1282.0,1297.0,24084
10/2/2016,SBL,1297.0,1309.0,1281.0,1293.0,65368
10/3/2016,SBL,1054.0,1105.0,1060.0,1092.0,18849
10/4/2016,SBL,1092.0,1103.0,1092.0,1093.0,15616
10/5/2016,SBL,1093.0,1100.0,1087.0,1090.0,7093
10/6/2016,SBL,1090.0,1115.0,1096.0,1109.0,19805
10/16/2016,SBL,1109.0,1110.0,1095.0,1100.0,3481
10/17/2016,SBL,1100.0,1091.0,1080.0,1082.0,7993
10/18/2016,SBL,1082.0,1085.0,1078.0,1080.0,8731
10/19/2016,SBL,1080.0,1083.0,1070.0,1080.0,20000
10/20/2016,SBL,1080.0,1088.0,1078.0,1080.0,6614
10/23/2016,SBL,1080.0,1077.0,1056.0,1065.0,13449
10/24/2016,SBL,1065.0,1060.0,1045.0,1049.0,8735
10/25/2016,SBL,1049.0,1047.0,1040.0,1041.0,3994
10/26/2016,SBL,1041.0,1045.0,1020.0,1035.0,11616
10/27/2016,SBL,1035.0,1050.0,1040.0,1047.0,5771
11/3/2016,SBL,1047.0,1060.0,1036.0,1060.0,3373
11/7/2016,SBL,1060.0,1075.0,1056.0,1060.0,12232
11/8/2016,SBL,1060.0,1060.0,1032.0,1040.0,12075
11/9/2016,SBL,1040.0,1050.0,1000.0,1020.0,15424
11/10/2016,SBL,1020.0,1039.0,1010.0,1028.0,16015
11/13/2016,SBL,1028.0,1058.0,1034.0,1037.0,14342
11/14/2016,SBL,1037.0,1078.0,1040.0,1075.0,38647
11/15/2016,SBL,1075.0,1090.0,1065.0,1066.0,28207
11/16/2016,SBL,1066.0,1075.0,1050.0,1065.0,16199
11/17/2016,SBL,1065.0,1084.0,1050.0,1061.0,65622
11/20/2016,SBL,1061.0,1055.0,981.0,1020.0,53942
11/21/2016,SBL,1020.0,1034.0,982.0,1029.0,34563
11/22/2016,SBL,1029.0,1025.0,989.0,1011.0,25417
11/23/2016,SBL,1011.0,1010.0,970.0,975.0,32507
11/24/2016,SBL,975.0,1015.0,950.0,970.0,34987
11/27/2016,SBL,970.0,989.0,900.0,903.0,42436
11/28/2016,SBL,903.0,956.0,850.0,955.0,46016
11/29/2016,SBL,955.0,995.0,890.0,988.0,45583
11/30/2016,SBL,988.0,1023.0,970.0,1020.0,53892
12/1/2016,SBL,1020.0,1039.0,985.0,1026.0,63451
12/4/2016,SBL,1026.0,1049.0,995.0,1020.0,53773
12/5/2016,SBL,1020.0,1102.0,1025.0,1030.0,113276
12/6/2016,SBL,1030.0,1040.0,1025.0,1038.0,84841
12/7/2016,SBL,1038.0,1043.0,1032.0,1036.0,34989
12/8/2016,SBL,1036.0,1055.0,1031.0,1035.0,27376
12/11/2016,SBL,1035.0,1036.0,1020.0,1020.0,24715
12/12/2016,SBL,1020.0,1020.0,990.0,997.0,36770
12/14/2016,SBL,997.0,1015.0,993.0,1000.0,20940
12/15/2016,SBL,1000.0,1025.0,1000.0,1015.0,19809
12/18/2016,SBL,1015.0,1018.0,990.0,1010.0,26364
12/19/2016,SBL,1010.0,1015.0,1005.0,1013.0,20494
12/20/2016,SBL,1013.0,1010.0,995.0,1000.0,22355
12/21/2016,SBL,1000.0,999.0,972.0,988.0,14768
12/22/2016,SBL,988.0,995.0,989.0,990.0,8498
12/26/2016,SBL,990.0,990.0,958.0,960.0,20309
12/27/2016,SBL,960.0,959.0,915.0,928.0,35830
12/28/2016,SBL,928.0,942.0,926.0,940.0,21141
12/29/2016,SBL,940.0,970.0,940.0,955.0,17861
1/1/2017,SBL,955.0,992.0,956.0,980.0,14576
1/2/2017,SBL,980.0,1010.0,984.0,997.0,21522
1/3/2017,SBL,997.0,1004.0,970.0,980.0,11557
1/4/2017,SBL,980.0,985.0,960.0,969.0,10410
1/5/2017,SBL,969.0,1003.0,969.0,978.0,10095
1/8/2017,SBL,978.0,980.0,965.0,980.0,5037
1/9/2017,SBL,980.0,985.0,976.0,979.0,7958
1/10/2017,SBL,979.0,991.0,975.0,990.0,9058
1/11/2017,SBL,990.0,1000.0,975.0,981.0,8662
1/12/2017,SBL,981.0,1010.0,990.0,996.0,18072
1/15/2017,SBL,996.0,1015.0,997.0,1003.0,23988
1/16/2017,SBL,1003.0,1004.0,996.0,1002.0,11359
1/17/2017,SBL,1002.0,1001.0,994.0,994.0,18101
1/18/2017,SBL,994.0,999.0,991.0,991.0,18294
1/19/2017,SBL,991.0,995.0,986.0,986.0,12940
1/22/2017,SBL,986.0,996.0,984.0,985.0,14593
1/23/2017,SBL,985.0,990.0,980.0,981.0,10692
1/24/2017,SBL,981.0,985.0,972.0,981.0,13707
1/25/2017,SBL,981.0,980.0,960.0,960.0,11854
1/26/2017,SBL,960.0,960.0,912.0,950.0,32094
1/30/2017,SBL,950.0,965.0,885.0,896.0,30530
1/31/2017,SBL,896.0,936.0,868.0,900.0,25820
2/1/2017,SBL,900.0,930.0,900.0,923.0,90023
2/2/2017,SBL,664.0,690.0,650.0,655.0,18776
2/5/2017,SBL,655.0,660.0,630.0,630.0,6113
2/6/2017,SBL,630.0,632.0,619.0,620.0,5743
2/7/2017,SBL,620.0,630.0,612.0,615.0,7500
2/8/2017,SBL,615.0,618.0,608.0,608.0,5188
2/9/2017,SBL,608.0,605.0,595.0,596.0,5408
2/12/2017,SBL,596.0,585.0,565.0,566.0,12329
2/13/2017,SBL,566.0,577.0,520.0,568.0,9824
2/14/2017,SBL,568.0,580.0,560.0,570.0,9376
2/15/2017,SBL,570.0,590.0,565.0,580.0,9504
2/16/2017,SBL,580.0,595.0,580.0,582.0,21118
2/19/2017,SBL,582.0,600.0,572.0,596.0,24574
2/20/2017,SBL,596.0,619.0,589.0,590.0,26214
2/21/2017,SBL,590.0,614.0,575.0,588.0,15873
2/22/2017,SBL,588.0,584.0,565.0,570.0,7355
2/23/2017,SBL,570.0,580.0,568.0,570.0,6406
2/26/2017,SBL,570.0,571.0,557.0,557.0,4243
2/28/2017,SBL,557.0,554.0,536.0,540.0,17841
3/1/2017,SBL,540.0,555.0,534.0,550.0,8337
