S.no,Symbol,Date,Open,High,Low,Close,Vol
68,SBLPO,2013-02-04.csv,108.0,110.0,110.0,110.0,"22,894"
93,SBLPO,2014-04-15.csv,100.0,108.0,108.0,108.0,"11,076"
120,SBLPO,2014-08-18.csv,108.0,106.0,106.0,106.0,"31,208"
101,SBLPO,2015-07-01.csv,334.0,328.0,306.0,306.0,50
102,SBLPO,2015-07-02.csv,306.0,300.0,279.0,279.0,60
99,SBLPO,2015-07-05.csv,279.0,274.0,254.0,254.0,50
103,SBLPO,2015-07-07.csv,254.0,249.0,230.0,230.0,"18,984"
111,SBLPO,2015-07-08.csv,230.0,226.0,210.0,210.0,550
116,SBLPO,2015-07-16.csv,210.0,206.0,190.0,190.0,"168,453"
105,SBLPO,2015-08-12.csv,190.0,187.0,187.0,187.0,"63,142"
113,SBLPO,2016-07-28.csv,706.0,706.0,706.0,706.0,"36,000"
118,SBLPO,2017-03-21.csv,350.0,350.0,350.0,350.0,"20,319"
112,SBLPO,2017-05-16.csv,350.0,350.0,350.0,350.0,"50,000"
120,SBLPO,2017-06-15.csv,350.0,350.0,350.0,350.0,"40,419"
120,SBLPO,2017-06-27.csv,350.0,350.0,350.0,350.0,"3,566"
119,SBLPO,2017-07-02.csv,350.0,350.0,350.0,350.0,"7,924"
124,SBLPO,2017-10-09.csv,215.0,215.0,215.0,215.0,"6,738"
125,SBLPO,2017-10-10.csv,215.0,211.0,211.0,211.0,"10,708"
129,SBLPO,2017-10-25.csv,211.0,207.0,203.0,203.0,"8,000"
130,SBLPO,2017-10-29.csv,203.0,200.0,200.0,200.0,"10,000"
131,SBLPO,2017-11-05.csv,200.0,200.0,200.0,200.0,"10,000"
133,SBLPO,2017-11-06.csv,200.0,196.0,196.0,196.0,"10,071"
133,SBLPO,2017-12-13.csv,196.0,196.0,196.0,196.0,"70,000"
131,SBLPO,2017-12-31.csv,196.0,195.0,195.0,195.0,"48,092"
130,SBLPO,2018-01-07.csv,195.0,195.0,195.0,195.0,"14,828"
132,SBLPO,2018-01-09.csv,195.0,195.0,195.0,195.0,"11,950"
132,SBLPO,2018-02-04.csv,195.0,195.0,195.0,195.0,"35,305"
127,SBLPO,2018-02-12.csv,195.0,195.0,195.0,195.0,"89,421"
129,SBLPO,2018-03-20.csv,195.0,195.0,195.0,195.0,"3,126"
130,SBLPO,2018-04-26.csv,195.0,195.0,195.0,195.0,"99,400"
131,SBLPO,2018-05-27.csv,195.0,195.0,195.0,195.0,"100,000"
129,SBLPO,2018-07-03.csv,195.0,195.0,195.0,195.0,"118,934"
120,SBLPO,2018-11-13.csv,195.0,195.0,195.0,195.0,"23,000"
130,SBLPO,2018-12-17.csv,195.0,195.0,195.0,195.0,"13,920"
138,SBLPO,2019-03-18.csv,162.0,162.0,162.0,162.0,"15,000"
136,SBLPO,2019-03-24.csv,165.0,165.0,165.0,165.0,"63,703"
134,SBLPO,2019-04-10.csv,162.0,162.0,162.0,162.0,"30,000"
134,SBLPO,2019-07-15.csv,200.0,200.0,200.0,200.0,"31,736"
134,SBLPO,2019-07-28.csv,200.0,200.0,200.0,200.0,"40,274"
137,SBLPO,2019-07-30.csv,196.0,196.0,196.0,196.0,"161,545"
138,SBLPO,2019-08-19.csv,196.0,196.0,196.0,196.0,"131,793"
136,SBLPO,2019-09-24.csv,196.0,196.0,196.0,196.0,"159,637"
127,SBLPO,2019-12-02.csv,193.0,193.0,193.0,193.0,"24,200"
133,SBLPO,2019-12-03.csv,190.0,190.0,190.0,190.0,"137,345"
146,SBLPO,2020-03-12.csv,190.0,190.0,190.0,190.0,"15,000"
