S.no,Symbol,Date,Open,High,Low,Close,Vol
64,SCB,2012-01-01.csv,1340.0,1370.0,1340.0,1355.0,"1,155"
59,SCB,2012-01-02.csv,1355.0,1400.0,1382.0,1390.0,455
61,SCB,2012-01-03.csv,1390.0,1427.0,1390.0,1390.0,"1,351"
62,SCB,2012-01-04.csv,1390.0,1385.0,1349.0,1375.0,657
54,SCB,2012-01-05.csv,1375.0,1384.0,1350.0,1384.0,"1,204"
54,SCB,2012-01-08.csv,1384.0,1360.0,1325.0,1344.0,"2,337"
60,SCB,2012-01-09.csv,1344.0,1360.0,1300.0,1334.0,"2,110"
55,SCB,2012-01-10.csv,1384.0,1375.0,1300.0,1352.0,"1,520"
64,SCB,2012-01-11.csv,1352.0,1399.0,1305.0,1399.0,904
63,SCB,2012-01-12.csv,1399.0,1410.0,1340.0,1410.0,437
55,SCB,2012-01-16.csv,1410.0,1387.0,1341.0,1370.0,960
57,SCB,2012-01-17.csv,1370.0,1397.0,1370.0,1397.0,100
57,SCB,2012-01-18.csv,1397.0,1370.0,1343.0,1348.0,212
39,SCB,2012-01-19.csv,1348.0,1374.0,1347.0,1350.0,375
70,SCB,2012-01-22.csv,1350.0,1350.0,1332.0,1340.0,"1,022"
69,SCB,2012-01-23.csv,1340.0,1350.0,1320.0,1330.0,"1,716"
58,SCB,2012-01-25.csv,1330.0,1345.0,1315.0,1345.0,637
64,SCB,2012-01-26.csv,1345.0,1330.0,1302.0,1330.0,"1,732"
67,SCB,2012-01-29.csv,1330.0,1322.0,1320.0,1322.0,578
73,SCB,2012-01-31.csv,1322.0,1336.0,1308.0,1336.0,"1,887"
70,SCB,2012-02-01.csv,1336.0,1325.0,1325.0,1325.0,36
66,SCB,2012-02-02.csv,1325.0,1325.0,1310.0,1325.0,643
67,SCB,2012-02-05.csv,1325.0,1338.0,1325.0,1338.0,75
66,SCB,2012-02-06.csv,1338.0,1344.0,1330.0,1344.0,379
68,SCB,2012-02-07.csv,1344.0,1345.0,1338.0,1345.0,420
64,SCB,2012-02-08.csv,1345.0,1345.0,1340.0,1345.0,200
52,SCB,2012-02-09.csv,1345.0,1344.0,1320.0,1324.0,"1,695"
70,SCB,2012-02-12.csv,1324.0,1332.0,1322.0,1332.0,"2,039"
62,SCB,2012-02-13.csv,1332.0,1344.0,1325.0,1331.0,575
60,SCB,2012-02-14.csv,1331.0,1336.0,1331.0,1335.0,571
66,SCB,2012-02-15.csv,1335.0,1350.0,1345.0,1350.0,61
66,SCB,2012-02-16.csv,1350.0,1345.0,1330.0,1331.0,"5,547"
63,SCB,2012-02-21.csv,1331.0,1335.0,1325.0,1333.0,908
66,SCB,2012-02-23.csv,1333.0,1340.0,1334.0,1340.0,112
70,SCB,2012-02-26.csv,1340.0,1365.0,1345.0,1352.0,202
73,SCB,2012-02-27.csv,1352.0,1350.0,1340.0,1345.0,"1,113"
59,SCB,2012-02-28.csv,1345.0,1360.0,1350.0,1360.0,639
64,SCB,2012-02-29.csv,1360.0,1375.0,1360.0,1366.0,213
64,SCB,2012-03-01.csv,1366.0,1398.0,1368.0,1398.0,924
67,SCB,2012-03-04.csv,1398.0,1395.0,1380.0,1384.0,186
61,SCB,2012-03-05.csv,1384.0,1396.0,1370.0,1370.0,710
70,SCB,2012-03-06.csv,1370.0,1383.0,1370.0,1383.0,220
65,SCB,2012-03-11.csv,1383.0,1375.0,1368.0,1375.0,421
63,SCB,2012-03-12.csv,1375.0,1375.0,1375.0,1375.0,50
66,SCB,2012-03-13.csv,1375.0,1388.0,1375.0,1380.0,390
