S.no,Symbol,Date,Open,High,Low,Close,Vol
62,SDBL,2012-01-03.csv,84.0,85.0,85.0,85.0,"1,000"
64,SDBL,2012-01-12.csv,85.0,86.0,86.0,86.0,100
58,SDBL,2012-01-18.csv,86.0,85.0,85.0,85.0,"1,200"
70,SDBL,2012-01-23.csv,85.0,85.0,85.0,85.0,198
65,SDBL,2012-01-26.csv,85.0,84.0,83.0,83.0,"1,998"
68,SDBL,2012-01-29.csv,83.0,82.0,81.0,81.0,240
71,SDBL,2012-02-01.csv,81.0,80.0,79.0,80.0,250
67,SDBL,2012-02-02.csv,80.0,79.0,79.0,79.0,238
68,SDBL,2012-02-05.csv,79.0,79.0,77.0,77.0,909
69,SDBL,2012-02-07.csv,77.0,79.0,78.0,79.0,280
65,SDBL,2012-02-08.csv,79.0,78.0,78.0,78.0,460
53,SDBL,2012-02-09.csv,78.0,77.0,75.0,75.0,"1,010"
71,SDBL,2012-02-12.csv,75.0,75.0,74.0,75.0,740
63,SDBL,2012-02-13.csv,75.0,77.0,75.0,76.0,"1,810"
67,SDBL,2012-02-15.csv,76.0,75.0,73.0,75.0,"2,690"
64,SDBL,2012-02-21.csv,75.0,76.0,76.0,76.0,540
67,SDBL,2012-02-23.csv,76.0,81.0,77.0,81.0,315
71,SDBL,2012-02-26.csv,81.0,82.0,81.0,82.0,370
74,SDBL,2012-02-27.csv,82.0,83.0,81.0,82.0,"1,800"
60,SDBL,2012-02-28.csv,82.0,82.0,81.0,81.0,"1,880"
65,SDBL,2012-02-29.csv,81.0,82.0,82.0,82.0,45
65,SDBL,2012-03-01.csv,82.0,84.0,83.0,84.0,120
68,SDBL,2012-03-04.csv,84.0,84.0,84.0,84.0,275
62,SDBL,2012-03-05.csv,84.0,84.0,83.0,84.0,"1,612"
64,SDBL,2012-03-12.csv,84.0,85.0,83.0,84.0,"2,740"
67,SDBL,2012-03-13.csv,84.0,83.0,83.0,83.0,120
59,SDBL,2012-03-14.csv,83.0,82.0,82.0,82.0,200
73,SDBL,2012-03-18.csv,82.0,82.0,82.0,82.0,200
67,SDBL,2012-03-19.csv,82.0,81.0,80.0,81.0,"1,185"
