S.no,Symbol,Date,Open,High,Low,Close,Vol
130,SEF,2018-01-17.csv,10.0,10.15,10.0,10.15,"13,200"
136,SEF,2018-01-21.csv,10.15,10.15,10.1,10.14,"32,150"
128,SEF,2018-01-23.csv,10.14,10.2,10.1,10.1,"23,500"
131,SEF,2018-01-24.csv,10.1,10.1,10.0,10.0,"13,500"
134,SEF,2018-01-25.csv,10.0,10.0,10.0,10.0,"3,000"
133,SEF,2018-01-28.csv,10.0,10.0,10.0,10.0,"3,000"
135,SEF,2018-01-29.csv,10.0,10.2,10.05,10.05,"2,100"
133,SEF,2018-01-31.csv,10.05,10.09,9.97,10.09,"51,000"
131,SEF,2018-02-01.csv,10.09,10.09,9.96,9.96,"8,300"
134,SEF,2018-02-04.csv,9.96,9.9,9.9,9.9,"4,500"
128,SEF,2018-02-05.csv,9.9,10.0,9.78,9.81,"19,500"
128,SEF,2018-02-06.csv,9.81,9.9,9.71,9.9,"19,900"
125,SEF,2018-02-07.csv,9.9,9.88,9.73,9.8,"1,700"
125,SEF,2018-02-08.csv,9.8,9.7,9.69,9.7,"7,100"
132,SEF,2018-02-11.csv,9.7,9.7,9.66,9.66,"15,200"
129,SEF,2018-02-12.csv,9.66,9.8,9.61,9.75,"8,700"
138,SEF,2018-02-15.csv,9.75,9.8,9.8,9.8,"2,000"
131,SEF,2018-02-18.csv,9.6,9.6,9.6,9.6,"11,500"
135,SEF,2018-02-20.csv,9.79,9.79,9.6,9.6,"4,800"
120,SEF,2018-02-21.csv,9.6,9.6,9.6,9.6,"12,500"
132,SEF,2018-02-22.csv,9.56,9.6,9.56,9.6,"21,100"
122,SEF,2018-02-25.csv,9.46,9.46,9.46,9.46,"1,000"
124,SEF,2018-02-26.csv,9.45,9.48,9.45,9.48,"3,500"
132,SEF,2018-02-28.csv,9.67,9.67,9.45,9.47,"22,400"
125,SEF,2018-03-04.csv,9.45,9.45,9.26,9.26,"5,000"
127,SEF,2018-03-05.csv,9.26,9.3,9.16,9.2,"23,100"
137,SEF,2018-03-06.csv,9.16,9.35,9.16,9.35,"12,100"
130,SEF,2018-03-07.csv,9.41,9.41,9.2,9.4,"55,800"
131,SEF,2018-03-11.csv,9.27,9.68,9.27,9.68,"5,500"
127,SEF,2018-03-13.csv,9.75,9.75,9.75,9.75,"10,000"
126,SEF,2018-03-14.csv,9.7,9.7,9.5,9.7,"44,500"
123,SEF,2018-03-15.csv,9.7,9.75,9.65,9.75,"16,700"
123,SEF,2018-03-18.csv,9.7,9.8,9.6,9.6,"15,000"
128,SEF,2018-03-19.csv,9.69,9.7,9.69,9.7,"22,500"
132,SEF,2018-03-20.csv,9.85,9.85,9.85,9.85,"4,300"
130,SEF,2018-03-22.csv,9.75,9.75,9.57,9.57,"3,500"
129,SEF,2018-03-26.csv,9.5,9.5,9.22,9.23,"15,400"
139,SEF,2018-03-27.csv,9.1,9.2,9.1,9.2,"9,000"
133,SEF,2018-03-28.csv,9.38,9.59,9.38,9.59,"18,500"
136,SEF,2018-03-29.csv,9.4,9.79,9.36,9.65,"10,000"
130,SEF,2018-04-01.csv,9.65,9.7,9.5,9.5,"49,350"
128,SEF,2018-04-02.csv,9.35,9.5,9.3,9.31,"105,500"
132,SEF,2018-04-03.csv,9.16,9.4,9.15,9.23,"8,850"
139,SEF,2018-04-05.csv,9.41,10.0,9.41,10.0,"20,700"
