S.no,Symbol,Date,Open,High,Low,Close,Vol
66,SEWA,2012-01-01.csv,124.0,123.0,122.0,123.0,102
60,SEWA,2012-01-02.csv,123.0,125.0,125.0,125.0,69
63,SEWA,2012-01-03.csv,125.0,123.0,123.0,123.0,46
55,SEWA,2012-01-05.csv,123.0,121.0,121.0,121.0,23
65,SEWA,2012-01-11.csv,121.0,119.0,109.0,109.0,559
65,SEWA,2012-01-12.csv,109.0,107.0,104.0,105.0,486
56,SEWA,2012-01-16.csv,105.0,110.0,104.0,110.0,759
58,SEWA,2012-01-17.csv,110.0,108.0,108.0,108.0,10
59,SEWA,2012-01-18.csv,108.0,109.0,105.0,107.0,175
40,SEWA,2012-01-19.csv,107.0,107.0,107.0,107.0,10
71,SEWA,2012-01-22.csv,107.0,109.0,108.0,109.0,354
72,SEWA,2012-01-23.csv,109.0,107.0,103.0,105.0,133
66,SEWA,2012-01-26.csv,105.0,110.0,107.0,108.0,433
69,SEWA,2012-01-29.csv,108.0,109.0,109.0,109.0,68
74,SEWA,2012-01-31.csv,109.0,109.0,106.0,108.0,960
72,SEWA,2012-02-01.csv,108.0,108.0,107.0,107.0,298
68,SEWA,2012-02-02.csv,107.0,105.0,103.0,105.0,124
69,SEWA,2012-02-05.csv,105.0,107.0,104.0,106.0,540
68,SEWA,2012-02-06.csv,106.0,107.0,106.0,106.0,301
70,SEWA,2012-02-07.csv,106.0,108.0,106.0,107.0,298
66,SEWA,2012-02-08.csv,107.0,107.0,105.0,106.0,427
54,SEWA,2012-02-09.csv,106.0,110.0,106.0,109.0,652
72,SEWA,2012-02-12.csv,109.0,109.0,107.0,109.0,289
64,SEWA,2012-02-13.csv,109.0,108.0,105.0,105.0,87
61,SEWA,2012-02-14.csv,105.0,108.0,106.0,108.0,77
68,SEWA,2012-02-15.csv,108.0,107.0,106.0,107.0,272
67,SEWA,2012-02-16.csv,107.0,106.0,105.0,106.0,566
65,SEWA,2012-02-21.csv,106.0,111.0,106.0,106.0,513
69,SEWA,2012-02-23.csv,106.0,108.0,105.0,105.0,67
72,SEWA,2012-02-26.csv,105.0,106.0,105.0,105.0,497
75,SEWA,2012-02-27.csv,105.0,107.0,105.0,105.0,430
61,SEWA,2012-02-28.csv,105.0,106.0,105.0,105.0,234
66,SEWA,2012-02-29.csv,105.0,107.0,103.0,105.0,266
66,SEWA,2012-03-01.csv,105.0,106.0,102.0,105.0,351
69,SEWA,2012-03-04.csv,105.0,109.0,104.0,109.0,275
63,SEWA,2012-03-05.csv,109.0,109.0,107.0,109.0,55
72,SEWA,2012-03-06.csv,109.0,109.0,107.0,107.0,387
66,SEWA,2012-03-11.csv,107.0,111.0,105.0,105.0,736
69,SEWA,2012-03-13.csv,105.0,107.0,107.0,107.0,90
61,SEWA,2012-03-14.csv,107.0,107.0,107.0,107.0,35
55,SEWA,2012-03-15.csv,107.0,108.0,106.0,108.0,380
75,SEWA,2012-03-18.csv,108.0,109.0,109.0,109.0,50
68,SEWA,2012-03-19.csv,109.0,109.0,108.0,109.0,438
69,SEWA,2012-03-20.csv,109.0,109.0,105.0,107.0,480
69,SEWA,2012-03-21.csv,107.0,105.0,105.0,105.0,102
65,SEWA,2012-03-25.csv,105.0,104.0,103.0,103.0,455
62,SEWA,2012-03-26.csv,103.0,105.0,104.0,104.0,267
75,SEWA,2012-03-27.csv,104.0,107.0,106.0,107.0,113
70,SEWA,2012-03-28.csv,107.0,106.0,106.0,106.0,69
69,SEWA,2012-03-29.csv,106.0,107.0,107.0,107.0,267
69,SEWA,2012-04-01.csv,107.0,109.0,106.0,109.0,409
72,SEWA,2012-04-02.csv,109.0,109.0,109.0,109.0,11
70,SEWA,2012-04-03.csv,109.0,109.0,109.0,109.0,170
73,SEWA,2012-04-04.csv,109.0,109.0,107.0,107.0,85
69,SEWA,2012-04-05.csv,107.0,110.0,106.0,106.0,147
69,SEWA,2012-04-08.csv,106.0,105.0,105.0,105.0,686
60,SEWA,2012-04-09.csv,105.0,105.0,104.0,105.0,149
63,SEWA,2012-04-10.csv,105.0,106.0,106.0,106.0,40
65,SEWA,2012-04-11.csv,106.0,110.0,108.0,110.0,34
71,SEWA,2012-04-12.csv,110.0,114.0,110.0,114.0,255
67,SEWA,2012-04-15.csv,114.0,118.0,116.0,118.0,20
