S.no,Symbol,Date,Open,High,Low,Close,Vol
132,SFCL,2019-11-28.csv,91.0,91.0,90.0,90.0,200
140,SFCL,2019-12-09.csv,91.0,91.0,91.0,91.0,10
133,SFCL,2019-12-12.csv,92.0,96.0,92.0,96.0,248
136,SFCL,2019-12-15.csv,97.0,104.0,97.0,104.0,370
134,SFCL,2019-12-17.csv,106.0,108.0,106.0,106.0,252
141,SFCL,2019-12-23.csv,108.0,110.0,108.0,108.0,350
138,SFCL,2019-12-24.csv,110.0,114.0,108.0,108.0,611
142,SFCL,2019-12-25.csv,108.0,108.0,100.0,100.0,"1,030"
140,SFCL,2019-12-26.csv,99.0,99.0,99.0,99.0,170
148,SFCL,2019-12-29.csv,99.0,99.0,98.0,98.0,720
143,SFCL,2019-12-31.csv,97.0,98.0,97.0,98.0,120
141,SFCL,2020-01-01.csv,99.0,100.0,99.0,100.0,20
139,SFCL,2020-01-02.csv,101.0,101.0,98.0,98.0,175
137,SFCL,2020-01-05.csv,98.0,98.0,97.0,97.0,120
142,SFCL,2020-01-06.csv,98.0,98.0,98.0,98.0,100
143,SFCL,2020-01-07.csv,97.0,98.0,97.0,98.0,"2,200"
142,SFCL,2020-01-09.csv,99.0,102.0,99.0,102.0,210
147,SFCL,2020-01-13.csv,104.0,104.0,102.0,102.0,220
141,SFCL,2020-01-15.csv,102.0,102.0,102.0,102.0,100
146,SFCL,2020-01-16.csv,104.0,106.0,104.0,105.0,"1,258"
143,SFCL,2020-01-19.csv,107.0,113.0,107.0,109.0,"3,265"
147,SFCL,2020-01-20.csv,111.0,113.0,105.0,105.0,"4,280"
147,SFCL,2020-01-21.csv,105.0,105.0,103.0,103.0,"1,440"
143,SFCL,2020-01-22.csv,105.0,105.0,101.0,101.0,"1,540"
139,SFCL,2020-01-23.csv,103.0,105.0,103.0,105.0,220
145,SFCL,2020-01-27.csv,103.0,103.0,103.0,103.0,493
144,SFCL,2020-01-28.csv,105.0,109.0,105.0,108.0,"2,117"
142,SFCL,2020-01-29.csv,106.0,106.0,104.0,104.0,330
143,SFCL,2020-01-30.csv,106.0,106.0,103.0,104.0,400
142,SFCL,2020-02-03.csv,104.0,104.0,101.0,101.0,"2,760"
142,SFCL,2020-02-04.csv,101.0,103.0,100.0,103.0,"1,953"
143,SFCL,2020-02-05.csv,105.0,105.0,100.0,100.0,810
142,SFCL,2020-02-06.csv,100.0,110.0,100.0,110.0,"8,548"
140,SFCL,2020-02-09.csv,111.0,113.0,109.0,110.0,"4,574"
141,SFCL,2020-02-10.csv,110.0,110.0,108.0,108.0,357
142,SFCL,2020-02-11.csv,108.0,108.0,106.0,106.0,"2,100"
139,SFCL,2020-02-12.csv,104.0,104.0,104.0,104.0,600
139,SFCL,2020-02-13.csv,102.0,105.0,102.0,104.0,828
142,SFCL,2020-02-16.csv,106.0,106.0,106.0,106.0,100
142,SFCL,2020-02-17.csv,108.0,108.0,104.0,104.0,550
147,SFCL,2020-02-18.csv,104.0,104.0,102.0,102.0,724
144,SFCL,2020-02-19.csv,101.0,110.0,101.0,108.0,"2,525"
147,SFCL,2020-02-20.csv,106.0,109.0,104.0,104.0,"4,954"
145,SFCL,2020-02-23.csv,106.0,108.0,104.0,104.0,417
146,SFCL,2020-02-24.csv,104.0,105.0,104.0,105.0,441
145,SFCL,2020-02-25.csv,104.0,111.0,103.0,111.0,"2,636"
146,SFCL,2020-02-26.csv,112.0,115.0,112.0,113.0,"1,190"
146,SFCL,2020-02-27.csv,111.0,111.0,106.0,106.0,953
148,SFCL,2020-03-01.csv,105.0,105.0,104.0,104.0,642
141,SFCL,2020-03-02.csv,102.0,102.0,100.0,100.0,100
146,SFCL,2020-03-03.csv,102.0,102.0,101.0,101.0,"2,050"
142,SFCL,2020-03-04.csv,100.0,100.0,99.0,100.0,600
146,SFCL,2020-03-05.csv,100.0,102.0,99.0,102.0,"1,390"
147,SFCL,2020-03-11.csv,104.0,104.0,104.0,104.0,224
150,SFCL,2020-03-12.csv,106.0,106.0,102.0,102.0,"1,560"
142,SFCL,2020-03-15.csv,100.0,100.0,98.0,98.0,"1,150"
147,SFCL,2020-03-16.csv,98.0,98.0,97.0,98.0,426
143,SFCL,2020-03-17.csv,97.0,97.0,97.0,97.0,200
