S.no,Symbol,Date,Open,High,Low,Close,Vol
63,SFL,2012-01-04.csv,154.0,151.0,151.0,151.0,14
56,SFL,2012-01-10.csv,151.0,151.0,151.0,151.0,106
59,SFL,2012-01-25.csv,151.0,151.0,151.0,151.0,42
68,SFL,2012-02-16.csv,151.0,148.0,146.0,146.0,133
64,SFL,2012-03-05.csv,146.0,144.0,144.0,144.0,"5,000"
67,SFL,2012-03-11.csv,144.0,142.0,142.0,142.0,236
65,SFL,2012-03-12.csv,142.0,140.0,140.0,140.0,"5,000"
76,SFL,2012-03-18.csv,140.0,138.0,138.0,138.0,53
69,SFL,2012-03-19.csv,138.0,136.0,136.0,136.0,261
63,SFL,2012-03-26.csv,136.0,136.0,136.0,136.0,795
76,SFL,2012-03-27.csv,136.0,134.0,134.0,134.0,"8,722"
70,SFL,2012-04-01.csv,134.0,134.0,134.0,134.0,68
73,SFL,2012-04-02.csv,134.0,132.0,132.0,132.0,33
70,SFL,2012-04-05.csv,132.0,130.0,130.0,130.0,67
64,SFL,2012-04-10.csv,130.0,130.0,130.0,130.0,27
83,SFL,2012-04-19.csv,130.0,131.0,131.0,131.0,54
73,SFL,2012-04-22.csv,131.0,135.0,133.0,135.0,20
74,SFL,2012-05-10.csv,135.0,133.0,133.0,133.0,45
58,SFL,2012-05-14.csv,133.0,133.0,133.0,133.0,48
63,SFL,2012-06-07.csv,133.0,131.0,131.0,131.0,27
71,SFL,2012-07-02.csv,131.0,131.0,129.0,131.0,169
75,SFL,2012-07-12.csv,131.0,129.0,129.0,129.0,80
71,SFL,2012-07-16.csv,129.0,127.0,127.0,127.0,23
71,SFL,2012-07-17.csv,127.0,126.0,126.0,126.0,11
76,SFL,2012-08-12.csv,126.0,109.0,107.0,107.0,661
76,SFL,2012-08-21.csv,107.0,107.0,107.0,107.0,186
76,SFL,2012-09-04.csv,107.0,106.0,106.0,106.0,28
76,SFL,2012-09-05.csv,106.0,108.0,108.0,108.0,34
78,SFL,2012-09-09.csv,108.0,110.0,110.0,110.0,10
78,SFL,2012-09-16.csv,110.0,113.0,113.0,113.0,120
77,SFL,2012-09-20.csv,113.0,119.0,115.0,119.0,210
79,SFL,2012-09-23.csv,119.0,123.0,121.0,123.0,203
76,SFL,2012-10-02.csv,125.0,129.0,127.0,129.0,"6,440"
82,SFL,2012-10-03.csv,129.0,135.0,131.0,135.0,"5,767"
76,SFL,2012-10-04.csv,135.0,140.0,137.0,139.0,"5,830"
80,SFL,2012-10-07.csv,139.0,141.0,141.0,141.0,"3,219"
74,SFL,2012-10-18.csv,141.0,139.0,139.0,139.0,200
68,SFL,2012-11-11.csv,139.0,141.0,140.0,141.0,780
66,SFL,2012-11-18.csv,141.0,139.0,139.0,139.0,500
68,SFL,2012-12-04.csv,139.0,138.0,138.0,138.0,100
71,SFL,2013-01-06.csv,138.0,136.0,126.0,126.0,646
67,SFL,2013-01-07.csv,126.0,124.0,124.0,124.0,255
66,SFL,2013-01-13.csv,124.0,132.0,126.0,132.0,870
67,SFL,2013-01-15.csv,132.0,130.0,128.0,130.0,"3,950"
62,SFL,2013-01-16.csv,130.0,129.0,128.0,128.0,240
71,SFL,2013-01-17.csv,128.0,130.0,130.0,130.0,20
69,SFL,2013-01-23.csv,130.0,130.0,128.0,128.0,386
71,SFL,2013-01-24.csv,128.0,129.0,129.0,129.0,144
68,SFL,2013-01-28.csv,129.0,128.0,127.0,128.0,453
60,SFL,2013-02-06.csv,128.0,130.0,130.0,130.0,500
62,SFL,2013-02-07.csv,130.0,128.0,125.0,125.0,"3,163"
73,SFL,2013-02-14.csv,125.0,127.0,127.0,127.0,100
69,SFL,2013-02-20.csv,127.0,129.0,129.0,129.0,500
65,SFL,2013-02-24.csv,129.0,131.0,128.0,128.0,"3,200"
63,SFL,2013-02-25.csv,128.0,126.0,124.0,124.0,"3,200"
65,SFL,2013-03-03.csv,124.0,115.0,111.0,115.0,30
63,SFL,2013-03-04.csv,115.0,121.0,117.0,121.0,37
68,SFL,2013-03-05.csv,121.0,125.0,123.0,125.0,110
64,SFL,2013-03-06.csv,125.0,125.0,125.0,125.0,24
65,SFL,2013-03-14.csv,125.0,129.0,127.0,129.0,20
70,SFL,2013-03-21.csv,129.0,131.0,131.0,131.0,10
65,SFL,2013-03-24.csv,131.0,131.0,131.0,131.0,421
60,SFL,2013-03-28.csv,131.0,132.0,132.0,132.0,79
64,SFL,2013-03-31.csv,132.0,140.0,134.0,140.0,438
