S.no,Symbol,Date,Open,High,Low,Close,Vol
103,SHBL,2014-11-10.csv,0.0,300.0,300.0,300.0,10
110,SHBL,2014-11-11.csv,300.0,330.0,306.0,330.0,268
112,SHBL,2014-11-12.csv,330.0,363.0,340.0,363.0,134
112,SHBL,2014-11-13.csv,363.0,399.0,370.0,399.0,100
107,SHBL,2014-11-16.csv,399.0,411.0,406.0,407.0,339
107,SHBL,2014-11-17.csv,407.0,408.0,386.0,386.0,456
102,SHBL,2014-11-18.csv,386.0,380.0,379.0,380.0,110
104,SHBL,2014-11-19.csv,380.0,406.0,387.0,400.0,101
112,SHBL,2014-11-20.csv,400.0,440.0,400.0,440.0,164
107,SHBL,2014-11-23.csv,440.0,452.0,427.0,430.0,802
102,SHBL,2014-11-24.csv,430.0,435.0,420.0,426.0,396
102,SHBL,2014-11-25.csv,426.0,428.0,412.0,428.0,140
98,SHBL,2014-11-30.csv,428.0,466.0,425.0,457.0,234
104,SHBL,2014-12-01.csv,457.0,466.0,440.0,456.0,216
91,SHBL,2014-12-02.csv,456.0,465.0,429.0,437.0,237
106,SHBL,2014-12-03.csv,437.0,452.0,422.0,452.0,"1,358"
94,SHBL,2014-12-04.csv,452.0,452.0,449.0,449.0,210
103,SHBL,2014-12-08.csv,449.0,442.0,419.0,419.0,40
104,SHBL,2014-12-09.csv,419.0,415.0,407.0,415.0,473
97,SHBL,2014-12-10.csv,415.0,427.0,420.0,427.0,111
107,SHBL,2014-12-11.csv,427.0,435.0,427.0,427.0,"1,180"
103,SHBL,2014-12-14.csv,427.0,435.0,427.0,427.0,243
103,SHBL,2014-12-16.csv,427.0,419.0,419.0,419.0,90
108,SHBL,2014-12-17.csv,419.0,414.0,406.0,407.0,143
110,SHBL,2014-12-18.csv,407.0,407.0,405.0,405.0,184
94,SHBL,2014-12-21.csv,405.0,397.0,397.0,397.0,10
106,SHBL,2014-12-22.csv,397.0,402.0,395.0,402.0,86
102,SHBL,2014-12-23.csv,402.0,402.0,400.0,402.0,30
110,SHBL,2014-12-24.csv,402.0,410.0,410.0,410.0,10
202,SHBL,2014-12-28.csv,410.0,410.0,410.0,410.0,20
203,SHBL,2014-12-28.csv,410.0,410.0,410.0,410.0,20
101,SHBL,2014-12-31.csv,410.0,410.0,410.0,410.0,20
106,SHBL,2015-01-01.csv,410.0,451.0,418.0,451.0,366
104,SHBL,2015-01-04.csv,451.0,496.0,460.0,496.0,480
108,SHBL,2015-01-05.csv,496.0,506.0,496.0,505.0,462
120,SHBL,2015-01-06.csv,505.0,495.0,485.0,485.0,397
112,SHBL,2015-01-07.csv,485.0,520.0,485.0,520.0,485
118,SHBL,2015-01-08.csv,520.0,515.0,510.0,515.0,173
115,SHBL,2015-01-11.csv,515.0,520.0,500.0,520.0,260
116,SHBL,2015-01-12.csv,520.0,525.0,510.0,525.0,322
109,SHBL,2015-01-13.csv,525.0,520.0,511.0,520.0,280
115,SHBL,2015-01-14.csv,520.0,572.0,530.0,572.0,"1,645"
111,SHBL,2015-01-18.csv,572.0,629.0,583.0,629.0,"1,982"
126,SHBL,2015-01-19.csv,629.0,691.0,641.0,691.0,454
109,SHBL,2015-01-20.csv,691.0,760.0,678.0,711.0,"3,407"
103,SHBL,2015-01-22.csv,711.0,753.0,711.0,725.0,"1,650"
110,SHBL,2015-01-25.csv,725.0,770.0,739.0,770.0,818
124,SHBL,2015-01-26.csv,770.0,790.0,770.0,790.0,183
123,SHBL,2015-01-27.csv,790.0,775.0,775.0,775.0,20
118,SHBL,2015-01-28.csv,775.0,760.0,720.0,759.0,402
115,SHBL,2015-01-29.csv,759.0,744.0,716.0,730.0,109
122,SHBL,2015-02-01.csv,730.0,780.0,716.0,780.0,623
119,SHBL,2015-02-02.csv,780.0,770.0,741.0,770.0,83
113,SHBL,2015-02-03.csv,770.0,785.0,740.0,766.0,"2,489"
127,SHBL,2015-02-04.csv,766.0,833.0,746.0,833.0,"1,436"
119,SHBL,2015-02-05.csv,833.0,878.0,833.0,878.0,556
120,SHBL,2015-02-08.csv,878.0,965.0,895.0,965.0,858
115,SHBL,2015-02-09.csv,965.0,1022.0,963.0,963.0,204
120,SHBL,2015-02-10.csv,963.0,998.0,944.0,998.0,746
116,SHBL,2015-02-11.csv,998.0,1049.0,980.0,1049.0,"1,814"
125,SHBL,2015-02-12.csv,1049.0,1069.0,1048.0,1060.0,342
122,SHBL,2015-02-15.csv,1060.0,1090.0,1060.0,1090.0,"1,385"
248,SHBL,2015-02-16.csv,1090.0,1199.0,1111.0,1199.0,288
249,SHBL,2015-02-16.csv,1090.0,1199.0,1111.0,1199.0,288
125,SHBL,2015-02-18.csv,1199.0,1271.0,1222.0,1256.0,587
117,SHBL,2015-02-22.csv,1256.0,1231.0,1183.0,1185.0,114
111,SHBL,2015-02-23.csv,1185.0,1168.0,1168.0,1168.0,36
114,SHBL,2015-02-24.csv,1168.0,1150.0,1083.0,1083.0,216
109,SHBL,2015-02-25.csv,1083.0,1080.0,1000.0,1058.0,567
112,SHBL,2015-02-26.csv,1058.0,1060.0,1040.0,1046.0,156
114,SHBL,2015-03-01.csv,1046.0,1096.0,1050.0,1096.0,329
114,SHBL,2015-03-02.csv,1096.0,1189.0,1100.0,1189.0,50
119,SHBL,2015-03-03.csv,1189.0,1237.0,1190.0,1220.0,223
120,SHBL,2015-03-04.csv,1220.0,1271.0,1225.0,1270.0,563
128,SHBL,2015-03-09.csv,1270.0,1245.0,1221.0,1221.0,20
120,SHBL,2015-03-10.csv,1221.0,1230.0,1170.0,1182.0,320
124,SHBL,2015-03-12.csv,1182.0,1159.0,1135.0,1159.0,240
111,SHBL,2015-03-15.csv,1159.0,1140.0,1116.0,1136.0,323
116,SHBL,2015-03-16.csv,1136.0,1115.0,1075.0,1076.0,356
113,SHBL,2015-03-17.csv,1076.0,1140.0,1097.0,1140.0,40
116,SHBL,2015-03-18.csv,1140.0,1135.0,1120.0,1120.0,134
113,SHBL,2015-03-19.csv,1120.0,1122.0,1100.0,1105.0,150
109,SHBL,2015-03-22.csv,1105.0,1085.0,1085.0,1085.0,26
110,SHBL,2015-03-23.csv,1085.0,1193.0,1106.0,1193.0,90
106,SHBL,2015-03-24.csv,1193.0,1312.0,1216.0,1312.0,903
108,SHBL,2015-03-25.csv,1312.0,1428.0,1338.0,1415.0,"6,178"
102,SHBL,2015-03-26.csv,1415.0,1415.0,1376.0,1400.0,"2,642"
96,SHBL,2015-04-13.csv,1400.0,1428.0,1428.0,1428.0,26
101,SHBL,2015-04-15.csv,1186.0,1257.0,1209.0,1225.0,382
97,SHBL,2015-04-16.csv,1225.0,1230.0,1220.0,1220.0,126
99,SHBL,2015-04-19.csv,1220.0,1200.0,1200.0,1200.0,138
98,SHBL,2015-04-20.csv,1200.0,1200.0,1200.0,1200.0,156
106,SHBL,2015-04-21.csv,1200.0,1200.0,1200.0,1200.0,64
98,SHBL,2015-04-22.csv,1200.0,1225.0,1201.0,1225.0,192
106,SHBL,2015-04-23.csv,1225.0,1201.0,1201.0,1201.0,64
63,SHBL,2015-05-28.csv,1201.0,1177.0,1177.0,1177.0,10
75,SHBL,2015-05-31.csv,1177.0,1154.0,1154.0,1154.0,40
98,SHBL,2015-06-03.csv,1154.0,1131.0,1131.0,1131.0,13
96,SHBL,2015-06-14.csv,1131.0,1180.0,1121.0,1121.0,524
105,SHBL,2015-06-16.csv,1121.0,1143.0,1143.0,1143.0,10
103,SHBL,2015-06-17.csv,1143.0,1257.0,1165.0,1257.0,355
99,SHBL,2015-06-18.csv,1257.0,1349.0,1282.0,1312.0,496
95,SHBL,2015-06-21.csv,1312.0,1286.0,1261.0,1261.0,464
110,SHBL,2015-06-22.csv,1261.0,1249.0,1200.0,1200.0,254
105,SHBL,2015-06-23.csv,1200.0,1177.0,1156.0,1156.0,20
106,SHBL,2015-06-24.csv,1156.0,1197.0,1179.0,1195.0,610
103,SHBL,2015-06-28.csv,1195.0,1195.0,1170.0,1170.0,800
106,SHBL,2015-06-29.csv,1170.0,1175.0,1165.0,1170.0,"1,400"
111,SHBL,2015-06-30.csv,1170.0,1185.0,1170.0,1185.0,525
106,SHBL,2015-07-01.csv,1185.0,1190.0,1165.0,1165.0,284
