S.no,Symbol,Date,Open,High,Low,Close,Vol
81,SHINE,2013-08-18.csv,297.0,292.0,292.0,292.0,60
88,SHINE,2013-08-19.csv,292.0,287.0,272.0,272.0,60
94,SHINE,2013-08-20.csv,272.0,267.0,258.0,258.0,40
94,SHINE,2013-08-25.csv,258.0,253.0,248.0,248.0,"7,189"
89,SHINE,2013-08-26.csv,248.0,244.0,244.0,244.0,38
90,SHINE,2013-08-27.csv,244.0,245.0,245.0,245.0,130
90,SHINE,2013-09-01.csv,245.0,241.0,239.0,239.0,666
89,SHINE,2013-09-03.csv,239.0,235.0,216.0,216.0,300
83,SHINE,2013-09-09.csv,216.0,212.0,195.0,195.0,"6,256"
95,SHINE,2013-09-10.csv,195.0,197.0,190.0,195.0,"10,301"
91,SHINE,2013-09-11.csv,195.0,202.0,190.0,202.0,"5,286"
81,SHINE,2013-09-12.csv,202.0,201.0,196.0,201.0,"1,044"
96,SHINE,2013-09-15.csv,201.0,205.0,196.0,200.0,"2,367"
84,SHINE,2013-09-16.csv,200.0,204.0,196.0,196.0,"1,212"
89,SHINE,2013-09-17.csv,196.0,201.0,193.0,198.0,734
82,SHINE,2013-09-19.csv,198.0,198.0,193.0,193.0,577
90,SHINE,2013-09-22.csv,190.0,201.0,195.0,198.0,"2,369"
77,SHINE,2013-09-23.csv,198.0,196.0,191.0,196.0,617
84,SHINE,2013-09-24.csv,196.0,199.0,194.0,199.0,726
79,SHINE,2013-09-25.csv,199.0,197.0,194.0,196.0,828
76,SHINE,2013-09-26.csv,196.0,198.0,196.0,196.0,377
86,SHINE,2013-09-29.csv,196.0,201.0,196.0,201.0,484
79,SHINE,2013-09-30.csv,201.0,200.0,193.0,198.0,"4,997"
81,SHINE,2013-10-01.csv,198.0,198.0,194.0,198.0,534
80,SHINE,2013-10-02.csv,198.0,200.0,196.0,196.0,42
82,SHINE,2013-10-03.csv,196.0,194.0,194.0,194.0,56
73,SHINE,2013-10-06.csv,194.0,195.0,192.0,195.0,135
82,SHINE,2013-10-07.csv,195.0,202.0,184.0,200.0,"1,463"
75,SHINE,2013-10-08.csv,200.0,205.0,200.0,200.0,"1,366"
65,SHINE,2013-10-09.csv,200.0,200.0,193.0,198.0,562
68,SHINE,2013-10-10.csv,198.0,204.0,198.0,200.0,"1,439"
80,SHINE,2013-10-29.csv,167.0,167.0,167.0,167.0,28
70,SHINE,2013-11-11.csv,167.0,170.0,170.0,170.0,58
78,SHINE,2013-11-14.csv,170.0,167.0,167.0,167.0,56
77,SHINE,2013-11-24.csv,167.0,173.0,170.0,173.0,"1,084"
83,SHINE,2013-11-26.csv,173.0,176.0,176.0,176.0,10
85,SHINE,2013-12-01.csv,176.0,188.0,179.0,188.0,86
86,SHINE,2013-12-02.csv,188.0,188.0,188.0,188.0,500
92,SHINE,2013-12-03.csv,188.0,197.0,191.0,197.0,30
99,SHINE,2013-12-05.csv,197.0,200.0,200.0,200.0,290
96,SHINE,2013-12-08.csv,200.0,204.0,204.0,204.0,53
97,SHINE,2013-12-10.csv,204.0,208.0,208.0,208.0,12
96,SHINE,2013-12-11.csv,208.0,212.0,208.0,208.0,28
94,SHINE,2013-12-12.csv,208.0,208.0,204.0,208.0,84
79,SHINE,2013-12-16.csv,208.0,216.0,212.0,216.0,853
82,SHINE,2013-12-18.csv,216.0,220.0,220.0,220.0,13
87,SHINE,2013-12-19.csv,220.0,224.0,224.0,224.0,232
94,SHINE,2013-12-22.csv,224.0,246.0,228.0,246.0,531
86,SHINE,2013-12-23.csv,246.0,250.0,250.0,250.0,181
89,SHINE,2013-12-24.csv,250.0,260.0,250.0,260.0,695
88,SHINE,2013-12-26.csv,260.0,275.0,265.0,275.0,221
83,SHINE,2013-12-29.csv,275.0,285.0,275.0,285.0,487
79,SHINE,2013-12-31.csv,285.0,296.0,290.0,296.0,405
80,SHINE,2014-01-01.csv,296.0,292.0,292.0,292.0,131
74,SHINE,2014-01-02.csv,292.0,287.0,272.0,277.0,983
88,SHINE,2014-01-05.csv,277.0,282.0,277.0,278.0,"1,186"
84,SHINE,2014-01-06.csv,278.0,288.0,280.0,283.0,487
82,SHINE,2014-01-07.csv,283.0,304.0,288.0,304.0,"2,291"
