Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SHL,320.0,328.0,320.0,320.0,5316
1/4/2016,SHL,320.0,325.0,310.0,310.0,12580
1/5/2016,SHL,310.0,318.0,315.0,315.0,3200
1/6/2016,SHL,315.0,320.0,320.0,320.0,200
1/7/2016,SHL,320.0,326.0,320.0,323.0,5000
1/10/2016,SHL,323.0,325.0,320.0,324.0,1500
1/11/2016,SHL,324.0,325.0,320.0,320.0,600
1/12/2016,SHL,320.0,324.0,318.0,318.0,4165
1/12/2016,SHL,320.0,324.0,318.0,318.0,4165
1/13/2016,SHL,318.0,329.0,322.0,329.0,800
1/14/2016,SHL,329.0,329.0,319.0,326.0,16613
1/17/2016,SHL,326.0,337.0,330.0,330.0,1800
1/18/2016,SHL,330.0,340.0,333.0,340.0,6398
1/19/2016,SHL,340.0,340.0,335.0,335.0,750
1/20/2016,SHL,335.0,335.0,331.0,331.0,2500
1/21/2016,SHL,331.0,328.0,320.0,328.0,5500
1/24/2016,SHL,328.0,338.0,320.0,338.0,7375
1/25/2016,SHL,338.0,338.0,326.0,333.0,7911
1/26/2016,SHL,333.0,334.0,325.0,325.0,4331
1/27/2016,SHL,325.0,331.0,326.0,331.0,3080
1/28/2016,SHL,331.0,331.0,330.0,330.0,1593
1/31/2016,SHL,330.0,330.0,324.0,324.0,1300
2/1/2016,SHL,324.0,348.0,325.0,342.0,10400
2/2/2016,SHL,342.0,348.0,340.0,340.0,500
2/3/2016,SHL,340.0,340.0,330.0,330.0,4400
2/4/2016,SHL,330.0,330.0,328.0,330.0,1100
2/7/2016,SHL,330.0,342.0,330.0,338.0,3870
2/8/2016,SHL,338.0,332.0,326.0,326.0,2000
2/11/2016,SHL,326.0,326.0,305.0,326.0,8586
2/14/2016,SHL,326.0,322.0,314.0,314.0,1466
2/15/2016,SHL,314.0,320.0,320.0,320.0,263
2/16/2016,SHL,320.0,323.0,320.0,323.0,2801
2/17/2016,SHL,323.0,324.0,317.0,324.0,2400
