Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SHPC,753.0,765.0,754.0,765.0,2266
1/4/2016,SHPC,765.0,768.0,750.0,760.0,2373
1/5/2016,SHPC,760.0,800.0,755.0,755.0,6682
1/6/2016,SHPC,755.0,791.0,761.0,791.0,9448
1/7/2016,SHPC,791.0,850.0,786.0,841.0,31254
1/10/2016,SHPC,841.0,857.0,815.0,835.0,11621
1/11/2016,SHPC,835.0,860.0,837.0,857.0,18420
1/12/2016,SHPC,857.0,874.0,855.0,864.0,10680
1/12/2016,SHPC,857.0,874.0,855.0,864.0,10680
1/13/2016,SHPC,864.0,865.0,820.0,851.0,10900
1/14/2016,SHPC,851.0,855.0,825.0,825.0,3802
1/17/2016,SHPC,825.0,868.0,841.0,868.0,16711
1/18/2016,SHPC,868.0,864.0,845.0,863.0,11439
1/19/2016,SHPC,863.0,870.0,840.0,858.0,11219
1/20/2016,SHPC,858.0,885.0,856.0,882.0,11828
1/21/2016,SHPC,882.0,885.0,872.0,885.0,7719
1/24/2016,SHPC,885.0,890.0,874.0,874.0,4965
1/25/2016,SHPC,874.0,865.0,856.0,856.0,9887
1/26/2016,SHPC,856.0,869.0,858.0,858.0,5357
1/27/2016,SHPC,858.0,866.0,850.0,862.0,3914
1/28/2016,SHPC,862.0,863.0,846.0,863.0,182
1/31/2016,SHPC,863.0,872.0,858.0,860.0,12149
2/1/2016,SHPC,860.0,862.0,853.0,856.0,6985
2/2/2016,SHPC,856.0,872.0,843.0,860.0,3021
2/3/2016,SHPC,860.0,870.0,855.0,865.0,8327
2/4/2016,SHPC,865.0,886.0,860.0,875.0,13553
2/7/2016,SHPC,875.0,890.0,868.0,890.0,9285
2/8/2016,SHPC,890.0,910.0,890.0,905.0,27469
2/11/2016,SHPC,905.0,900.0,882.0,887.0,13351
2/14/2016,SHPC,887.0,876.0,862.0,876.0,6373
2/15/2016,SHPC,876.0,890.0,861.0,865.0,3149
2/16/2016,SHPC,865.0,880.0,853.0,879.0,1462
2/17/2016,SHPC,879.0,879.0,862.0,862.0,3664
2/18/2016,SHPC,862.0,870.0,856.0,863.0,3356
2/21/2016,SHPC,863.0,872.0,855.0,860.0,11827
2/22/2016,SHPC,860.0,864.0,853.0,859.0,5825
2/23/2016,SHPC,859.0,853.0,845.0,853.0,3691
2/24/2016,SHPC,853.0,850.0,840.0,844.0,4362
2/25/2016,SHPC,844.0,850.0,831.0,850.0,1072
2/28/2016,SHPC,850.0,862.0,830.0,835.0,3658
2/29/2016,SHPC,835.0,841.0,821.0,840.0,563
3/1/2016,SHPC,840.0,846.0,826.0,846.0,929
3/2/2016,SHPC,846.0,855.0,831.0,855.0,1312
3/3/2016,SHPC,855.0,855.0,845.0,850.0,1652
3/6/2016,SHPC,850.0,854.0,845.0,847.0,3461
3/10/2016,SHPC,847.0,892.0,841.0,890.0,7714
