Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SIC,996.0,1095.0,1015.0,1095.0,5291
1/4/2016,SIC,1095.0,1122.0,1075.0,1075.0,2179
1/5/2016,SIC,1075.0,1065.0,1040.0,1040.0,540
1/6/2016,SIC,1040.0,1040.0,1000.0,1040.0,1201
1/7/2016,SIC,1040.0,1070.0,1055.0,1070.0,273
1/11/2016,SIC,1070.0,1049.0,1029.0,1029.0,111
1/13/2016,SIC,1029.0,1009.0,990.0,990.0,187
1/14/2016,SIC,990.0,971.0,952.0,952.0,709
1/17/2016,SIC,952.0,955.0,936.0,950.0,1007
1/18/2016,SIC,950.0,950.0,940.0,950.0,560
1/20/2016,SIC,950.0,969.0,950.0,969.0,156
1/21/2016,SIC,969.0,1024.0,988.0,1015.0,825
1/24/2016,SIC,1015.0,1019.0,1001.0,1019.0,3620
1/25/2016,SIC,1019.0,1040.0,1022.0,1025.0,1423
1/26/2016,SIC,1025.0,1034.0,1025.0,1034.0,386
1/27/2016,SIC,1034.0,1021.0,1014.0,1014.0,1310
1/31/2016,SIC,1014.0,1005.0,1002.0,1005.0,100
2/1/2016,SIC,1005.0,1019.0,1010.0,1019.0,155
2/2/2016,SIC,1019.0,1025.0,1000.0,1000.0,653
2/3/2016,SIC,1000.0,1020.0,1020.0,1020.0,100
2/4/2016,SIC,1020.0,1070.0,990.0,1070.0,1427
2/7/2016,SIC,1070.0,1112.0,1079.0,1110.0,5963
2/8/2016,SIC,1110.0,1164.0,1120.0,1135.0,3394
2/11/2016,SIC,1135.0,1142.0,1113.0,1120.0,1851
2/14/2016,SIC,1120.0,1115.0,1101.0,1114.0,562
2/15/2016,SIC,1114.0,1120.0,1070.0,1120.0,1506
2/16/2016,SIC,1120.0,1098.0,1098.0,1098.0,39
2/17/2016,SIC,1098.0,1104.0,1081.0,1081.0,299
2/18/2016,SIC,1081.0,1189.0,1085.0,1170.0,4407
2/21/2016,SIC,1170.0,1251.0,1193.0,1229.0,4455
2/22/2016,SIC,1229.0,1253.0,1228.0,1228.0,273
2/23/2016,SIC,1228.0,1204.0,1181.0,1181.0,651
2/24/2016,SIC,1181.0,1230.0,1158.0,1230.0,230
2/25/2016,SIC,1230.0,1206.0,1182.0,1182.0,564
2/28/2016,SIC,1182.0,1182.0,1150.0,1150.0,494
2/29/2016,SIC,1150.0,1140.0,1120.0,1120.0,296
3/1/2016,SIC,1120.0,1120.0,1099.0,1120.0,1888
3/2/2016,SIC,1120.0,1227.0,1142.0,1200.0,163
3/3/2016,SIC,1200.0,1243.0,1190.0,1190.0,1013
3/6/2016,SIC,1190.0,1250.0,1188.0,1250.0,4957
3/10/2016,SIC,1250.0,1375.0,1254.0,1375.0,7314
3/13/2016,SIC,1375.0,1402.0,1347.0,1347.0,171
3/14/2016,SIC,1347.0,1321.0,1250.0,1265.0,1922
3/15/2016,SIC,1265.0,1305.0,1240.0,1300.0,2880
3/16/2016,SIC,1300.0,1319.0,1300.0,1310.0,2768
3/17/2016,SIC,1310.0,1375.0,1320.0,1375.0,3122
3/20/2016,SIC,1375.0,1482.0,1380.0,1435.0,4806
3/21/2016,SIC,1435.0,1410.0,1382.0,1385.0,657
3/23/2016,SIC,1385.0,1385.0,1358.0,1360.0,507
3/24/2016,SIC,1360.0,1365.0,1349.0,1360.0,1079
3/27/2016,SIC,1360.0,1340.0,1335.0,1335.0,200
3/28/2016,SIC,1335.0,1309.0,1300.0,1300.0,1169
3/29/2016,SIC,1300.0,1326.0,1300.0,1300.0,1513
3/30/2016,SIC,1300.0,1300.0,1275.0,1300.0,724
3/31/2016,SIC,1300.0,1300.0,1274.0,1300.0,1404
4/3/2016,SIC,1300.0,1275.0,1251.0,1251.0,130
4/4/2016,SIC,1251.0,1290.0,1275.0,1290.0,420
4/5/2016,SIC,1290.0,1281.0,1276.0,1281.0,317
