S.no,Symbol,Date,Open,High,Low,Close,Vol
62,SICL,2012-01-02.csv,244.0,240.0,234.0,236.0,140
65,SICL,2012-01-03.csv,236.0,240.0,240.0,240.0,40
64,SICL,2012-01-04.csv,240.0,244.0,244.0,244.0,20
57,SICL,2012-01-05.csv,244.0,246.0,238.0,238.0,"3,580"
57,SICL,2012-01-08.csv,238.0,244.0,240.0,240.0,310
61,SICL,2012-01-09.csv,240.0,238.0,238.0,238.0,100
57,SICL,2012-01-10.csv,238.0,246.0,242.0,246.0,40
67,SICL,2012-01-11.csv,246.0,242.0,242.0,242.0,40
59,SICL,2012-01-17.csv,242.0,245.0,226.0,245.0,190
70,SICL,2012-01-29.csv,245.0,241.0,221.0,241.0,210
69,SICL,2012-02-02.csv,241.0,257.0,245.0,257.0,70
56,SICL,2012-02-09.csv,257.0,252.0,247.0,247.0,"2,220"
67,SICL,2012-02-21.csv,247.0,243.0,223.0,235.0,"4,180"
70,SICL,2012-02-23.csv,235.0,242.0,223.0,242.0,"4,210"
74,SICL,2012-02-26.csv,242.0,246.0,222.0,238.0,"4,190"
77,SICL,2012-02-27.csv,238.0,234.0,234.0,234.0,"4,000"
62,SICL,2012-02-28.csv,234.0,230.0,230.0,230.0,"4,000"
67,SICL,2012-02-29.csv,230.0,243.0,218.0,243.0,"4,310"
67,SICL,2012-03-01.csv,243.0,246.0,235.0,246.0,"3,040"
70,SICL,2012-03-04.csv,246.0,242.0,233.0,241.0,"3,100"
68,SICL,2012-03-11.csv,241.0,241.0,241.0,241.0,50
70,SICL,2012-03-19.csv,241.0,237.0,233.0,233.0,20
71,SICL,2012-03-20.csv,233.0,245.0,237.0,245.0,30
70,SICL,2012-03-29.csv,245.0,249.0,249.0,249.0,10
75,SICL,2012-04-02.csv,249.0,245.0,229.0,241.0,510
65,SICL,2012-04-10.csv,241.0,249.0,245.0,249.0,30
70,SICL,2012-04-18.csv,249.0,258.0,253.0,253.0,30
85,SICL,2012-04-19.csv,253.0,258.0,228.0,228.0,80
74,SICL,2012-04-22.csv,228.0,248.0,224.0,248.0,560
58,SICL,2012-04-24.csv,248.0,252.0,252.0,252.0,10
82,SICL,2012-04-26.csv,252.0,258.0,253.0,258.0,110
77,SICL,2012-04-30.csv,258.0,258.0,253.0,258.0,60
78,SICL,2012-05-09.csv,258.0,268.0,258.0,268.0,120
75,SICL,2012-05-10.csv,268.0,263.0,263.0,263.0,30
56,SICL,2012-05-13.csv,263.0,258.0,258.0,258.0,100
56,SICL,2012-05-15.csv,258.0,253.0,253.0,253.0,30
61,SICL,2012-05-20.csv,253.0,258.0,255.0,255.0,460
71,SICL,2012-05-22.csv,255.0,250.0,237.0,245.0,550
71,SICL,2012-05-24.csv,245.0,253.0,244.0,244.0,220
65,SICL,2012-05-27.csv,244.0,248.0,248.0,248.0,10
42,SICL,2012-05-29.csv,248.0,252.0,252.0,252.0,10
42,SICL,2012-05-30.csv,252.0,261.0,257.0,261.0,20
64,SICL,2012-06-04.csv,261.0,256.0,242.0,242.0,450
69,SICL,2012-06-05.csv,242.0,260.0,238.0,260.0,"2,130"
69,SICL,2012-06-06.csv,260.0,255.0,250.0,250.0,60
66,SICL,2012-06-07.csv,250.0,253.0,237.0,253.0,"1,570"
64,SICL,2012-06-10.csv,253.0,252.0,244.0,252.0,480
70,SICL,2012-06-11.csv,252.0,251.0,247.0,251.0,410
75,SICL,2012-06-12.csv,251.0,246.0,246.0,246.0,100
73,SICL,2012-06-13.csv,246.0,250.0,245.0,249.0,260
70,SICL,2012-06-14.csv,249.0,248.0,241.0,241.0,590
72,SICL,2012-06-17.csv,241.0,237.0,237.0,237.0,10
67,SICL,2012-06-18.csv,237.0,253.0,233.0,253.0,830
71,SICL,2012-06-19.csv,253.0,248.0,240.0,240.0,300
68,SICL,2012-06-20.csv,240.0,244.0,244.0,244.0,10
67,SICL,2012-06-21.csv,244.0,248.0,240.0,248.0,310
67,SICL,2012-06-25.csv,248.0,257.0,252.0,257.0,20
68,SICL,2012-06-26.csv,257.0,252.0,252.0,252.0,50
66,SICL,2012-06-27.csv,252.0,257.0,257.0,257.0,10
68,SICL,2012-06-28.csv,257.0,256.0,247.0,256.0,120
63,SICL,2012-07-01.csv,256.0,251.0,251.0,251.0,30
73,SICL,2012-07-02.csv,251.0,246.0,239.0,239.0,700
66,SICL,2012-07-03.csv,239.0,243.0,239.0,239.0,90
67,SICL,2012-07-04.csv,239.0,243.0,235.0,243.0,230
67,SICL,2012-07-05.csv,243.0,247.0,247.0,247.0,20
70,SICL,2012-07-08.csv,247.0,261.0,251.0,261.0,200
67,SICL,2012-07-09.csv,261.0,276.0,265.0,271.0,250
69,SICL,2012-07-10.csv,271.0,291.0,276.0,291.0,"1,090"
74,SICL,2012-07-11.csv,291.0,289.0,289.0,289.0,50
76,SICL,2012-07-12.csv,289.0,284.0,284.0,284.0,500
73,SICL,2012-07-17.csv,284.0,285.0,284.0,285.0,110
75,SICL,2012-07-19.csv,285.0,280.0,280.0,280.0,20
63,SICL,2012-07-23.csv,280.0,285.0,285.0,285.0,10
72,SICL,2012-08-08.csv,285.0,280.0,270.0,270.0,"2,680"
