S.no,Symbol,Date,Open,High,Low,Close,Vol
120,SICLPO,2014-06-11.csv,442.0,442.0,419.0,419.0,"81,200"
118,SICLPO,2014-07-15.csv,419.0,419.0,419.0,419.0,"12,000"
115,SICLPO,2014-09-04.csv,419.0,419.0,419.0,419.0,"56,966"
108,SICLPO,2014-10-21.csv,419.0,411.0,411.0,411.0,"29,465"
109,SICLPO,2014-12-15.csv,411.0,403.0,403.0,403.0,"10,000"
119,SICLPO,2015-02-24.csv,403.0,403.0,403.0,403.0,"30,822"
112,SICLPO,2015-07-09.csv,360.0,367.0,367.0,367.0,"6,202"
112,SICLPO,2015-08-09.csv,367.0,367.0,367.0,367.0,"6,037"
114,SICLPO,2016-06-19.csv,1775.0,1775.0,1775.0,1775.0,"60,899"
120,SICLPO,2016-08-10.csv,1775.0,1740.0,1740.0,1740.0,"20,000"
123,SICLPO,2016-08-11.csv,1740.0,1740.0,1740.0,1740.0,"33,540"
119,SICLPO,2016-08-21.csv,1740.0,1706.0,1640.0,1640.0,"15,000"
117,SICLPO,2016-08-22.csv,1640.0,1610.0,1610.0,1610.0,"15,500"
115,SICLPO,2016-08-23.csv,1610.0,1578.0,1578.0,1578.0,"10,000"
120,SICLPO,2016-08-24.csv,1578.0,1578.0,1578.0,1578.0,"15,000"
120,SICLPO,2016-08-28.csv,1578.0,1578.0,1578.0,1578.0,"20,000"
116,SICLPO,2016-08-29.csv,1578.0,1578.0,1578.0,1578.0,"15,000"
119,SICLPO,2016-08-30.csv,1578.0,1578.0,1578.0,1578.0,"9,000"
121,SICLPO,2016-08-31.csv,1578.0,1578.0,1578.0,1578.0,"11,566"
129,SICLPO,2016-09-08.csv,1578.0,1547.0,1458.0,1458.0,40
124,SICLPO,2016-09-11.csv,1458.0,1429.0,1320.0,1346.0,"17,667"
116,SICLPO,2016-09-28.csv,1346.0,1346.0,1346.0,1346.0,"16,000"
119,SICLPO,2016-09-29.csv,1346.0,1346.0,1346.0,1346.0,"15,985"
110,SICLPO,2016-10-26.csv,1346.0,1320.0,1320.0,1320.0,"17,707"
118,SICLPO,2017-03-16.csv,1320.0,1294.0,1294.0,1294.0,"16,603"
142,SICLPO,2017-08-03.csv,1200.0,1220.0,1220.0,1220.0,500
140,SICLPO,2017-10-29.csv,1220.0,1220.0,1220.0,1220.0,"30,000"
136,SICLPO,2017-11-02.csv,1220.0,1220.0,1220.0,1220.0,500
146,SICLPO,2017-12-06.csv,1220.0,1196.0,1196.0,1196.0,"9,991"
140,SICLPO,2018-07-19.csv,600.0,600.0,600.0,600.0,"7,235"
142,SICLPO,2019-07-29.csv,440.0,440.0,440.0,440.0,200
