Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SKBBL,1350.0,1410.0,1377.0,1400.0,2738
1/4/2016,SKBBL,1400.0,1456.0,1400.0,1434.0,2863
1/5/2016,SKBBL,1434.0,1450.0,1410.0,1412.0,1751
1/6/2016,SKBBL,1412.0,1410.0,1372.0,1381.0,1233
1/7/2016,SKBBL,1381.0,1408.0,1365.0,1372.0,698
1/10/2016,SKBBL,1372.0,1380.0,1360.0,1374.0,1189
1/11/2016,SKBBL,1374.0,1374.0,1345.0,1374.0,1786
1/12/2016,SKBBL,1374.0,1370.0,1351.0,1370.0,1766
1/12/2016,SKBBL,1374.0,1370.0,1351.0,1370.0,1766
1/13/2016,SKBBL,1370.0,1402.0,1370.0,1400.0,794
1/14/2016,SKBBL,1400.0,1400.0,1360.0,1395.0,1605
1/17/2016,SKBBL,1395.0,1428.0,1380.0,1428.0,2724
1/18/2016,SKBBL,1428.0,1440.0,1400.0,1415.0,3047
1/19/2016,SKBBL,1415.0,1400.0,1390.0,1395.0,521
1/20/2016,SKBBL,1395.0,1409.0,1390.0,1390.0,3271
1/21/2016,SKBBL,1390.0,1400.0,1380.0,1394.0,4117
1/24/2016,SKBBL,1394.0,1448.0,1383.0,1447.0,3209
1/25/2016,SKBBL,1447.0,1470.0,1392.0,1429.0,2473
1/26/2016,SKBBL,1429.0,1455.0,1405.0,1426.0,2686
1/27/2016,SKBBL,1426.0,1430.0,1400.0,1410.0,2336
1/28/2016,SKBBL,1410.0,1429.0,1400.0,1405.0,1583
1/31/2016,SKBBL,1405.0,1424.0,1415.0,1420.0,1323
2/1/2016,SKBBL,1420.0,1447.0,1421.0,1421.0,1625
2/2/2016,SKBBL,1421.0,1490.0,1449.0,1460.0,6380
2/3/2016,SKBBL,1460.0,1606.0,1489.0,1606.0,22743
2/4/2016,SKBBL,1606.0,1710.0,1638.0,1677.0,12379
2/7/2016,SKBBL,1677.0,1683.0,1650.0,1655.0,4447
2/8/2016,SKBBL,1655.0,1622.0,1585.0,1590.0,3197
2/11/2016,SKBBL,1590.0,1580.0,1566.0,1572.0,2360
2/14/2016,SKBBL,1572.0,1564.0,1515.0,1525.0,2129
2/15/2016,SKBBL,1525.0,1529.0,1500.0,1529.0,4427
2/16/2016,SKBBL,1529.0,1565.0,1535.0,1546.0,1122
2/17/2016,SKBBL,1546.0,1580.0,1550.0,1550.0,771
2/18/2016,SKBBL,1550.0,1579.0,1550.0,1579.0,1588
2/21/2016,SKBBL,1579.0,1575.0,1560.0,1560.0,250
2/22/2016,SKBBL,1560.0,1575.0,1550.0,1575.0,1453
2/23/2016,SKBBL,1575.0,1580.0,1556.0,1560.0,696
2/24/2016,SKBBL,1560.0,1575.0,1535.0,1548.0,1881
2/25/2016,SKBBL,1548.0,1533.0,1533.0,1533.0,150
2/28/2016,SKBBL,1533.0,1563.0,1545.0,1559.0,2156
2/29/2016,SKBBL,1559.0,1700.0,1590.0,1662.0,9021
3/1/2016,SKBBL,1662.0,1720.0,1665.0,1680.0,8441
3/2/2016,SKBBL,1680.0,1681.0,1645.0,1674.0,4061
3/3/2016,SKBBL,1674.0,1706.0,1670.0,1691.0,5124
3/6/2016,SKBBL,1691.0,1825.0,1700.0,1805.0,15533
3/10/2016,SKBBL,1805.0,1985.0,1841.0,1985.0,15384
3/13/2016,SKBBL,1985.0,1990.0,1860.0,1969.0,6184
3/14/2016,SKBBL,1969.0,2000.0,1885.0,1885.0,10013
3/15/2016,SKBBL,1885.0,1903.0,1813.0,1900.0,9574
3/16/2016,SKBBL,1900.0,1929.0,1860.0,1860.0,2067
3/17/2016,SKBBL,1860.0,1916.0,1844.0,1914.0,5390
3/20/2016,SKBBL,1914.0,1900.0,1862.0,1875.0,1396
3/21/2016,SKBBL,1875.0,1865.0,1835.0,1850.0,1285
3/23/2016,SKBBL,1850.0,1850.0,1813.0,1850.0,265
3/24/2016,SKBBL,1850.0,1887.0,1870.0,1887.0,30
3/27/2016,SKBBL,1887.0,1850.0,1800.0,1825.0,2833
3/28/2016,SKBBL,1825.0,1851.0,1811.0,1850.0,3167
3/29/2016,SKBBL,1850.0,1840.0,1800.0,1820.0,2373
3/30/2016,SKBBL,1820.0,1871.0,1782.0,1800.0,3204
3/31/2016,SKBBL,1800.0,1795.0,1766.0,1766.0,4488
4/3/2016,SKBBL,1766.0,1765.0,1710.0,1740.0,4526
4/4/2016,SKBBL,1740.0,1809.0,1770.0,1780.0,767
4/5/2016,SKBBL,1780.0,1798.0,1782.0,1782.0,5577
4/6/2016,SKBBL,1782.0,1800.0,1774.0,1799.0,2575
4/10/2016,SKBBL,1799.0,1830.0,1780.0,1782.0,3635
4/11/2016,SKBBL,1782.0,1795.0,1765.0,1795.0,1692
4/12/2016,SKBBL,1795.0,1815.0,1761.0,1815.0,3357
4/14/2016,SKBBL,1815.0,1801.0,1770.0,1801.0,1239
4/17/2016,SKBBL,1801.0,1789.0,1760.0,1775.0,1734
4/18/2016,SKBBL,1775.0,1840.0,1774.0,1840.0,4186
