S.no,Symbol,Date,Open,High,Low,Close,Vol
128,SLBBLP,2016-07-28.csv,1221.0,1197.0,1100.0,1100.0,"9,440"
127,SLBBLP,2016-08-10.csv,1100.0,1078.0,1000.0,1000.0,"5,838"
126,SLBBLP,2016-08-21.csv,1000.0,1000.0,1000.0,1000.0,"3,419"
122,SLBBLP,2016-08-23.csv,1000.0,1000.0,1000.0,1000.0,"1,000"
118,SLBBLP,2016-10-02.csv,1000.0,1000.0,1000.0,1000.0,"9,257"
120,SLBBLP,2016-10-03.csv,1000.0,1000.0,1000.0,1000.0,"4,838"
129,SLBBLP,2017-03-23.csv,1000.0,1000.0,1000.0,1000.0,"1,521"
131,SLBBLP,2017-03-28.csv,1000.0,1000.0,1000.0,1000.0,"6,304"
143,SLBBLP,2018-05-06.csv,675.0,675.0,675.0,675.0,"1,000"
151,SLBBLP,2019-03-28.csv,267.0,267.0,247.0,247.0,"9,063"
152,SLBBLP,2019-04-01.csv,267.0,267.0,267.0,267.0,"3,000"
154,SLBBLP,2019-05-09.csv,262.0,262.0,262.0,262.0,"5,600"
153,SLBBLP,2019-07-11.csv,262.0,262.0,262.0,262.0,"6,000"
156,SLBBLP,2019-08-19.csv,262.0,262.0,262.0,262.0,"8,000"
