S.no,Symbol,Date,Open,High,Low,Close,Vol
147,SLBSL,2019-01-21.csv,505.0,505.0,505.0,505.0,"1,010"
145,SLBSL,2019-01-27.csv,515.0,515.0,515.0,515.0,10
149,SLBSL,2019-01-28.csv,540.0,540.0,540.0,540.0,10
146,SLBSL,2019-01-29.csv,567.0,567.0,567.0,567.0,10
149,SLBSL,2019-01-30.csv,595.0,606.0,595.0,606.0,20
151,SLBSL,2019-01-31.csv,636.0,648.0,636.0,648.0,20
146,SLBSL,2019-02-05.csv,680.0,712.0,680.0,712.0,200
149,SLBSL,2019-02-06.csv,747.0,783.0,747.0,783.0,620
148,SLBSL,2019-02-07.csv,822.0,861.0,768.0,852.0,"20,090"
143,SLBSL,2019-02-10.csv,854.0,854.0,808.0,809.0,"7,266"
149,SLBSL,2019-02-11.csv,800.0,824.0,787.0,806.0,"3,340"
149,SLBSL,2019-02-12.csv,810.0,812.0,802.0,804.0,"1,391"
155,SLBSL,2019-02-13.csv,800.0,802.0,795.0,800.0,"2,310"
148,SLBSL,2019-02-14.csv,800.0,800.0,780.0,790.0,"2,470"
152,SLBSL,2019-02-17.csv,804.0,805.0,781.0,783.0,"1,760"
144,SLBSL,2019-02-18.csv,781.0,781.0,773.0,780.0,"1,460"
151,SLBSL,2019-02-19.csv,780.0,832.0,770.0,832.0,"1,000"
145,SLBSL,2019-02-20.csv,816.0,816.0,780.0,788.0,800
140,SLBSL,2019-02-21.csv,784.0,791.0,776.0,778.0,"1,957"
150,SLBSL,2019-02-24.csv,764.0,786.0,759.0,786.0,"3,120"
150,SLBSL,2019-02-25.csv,799.0,799.0,769.0,784.0,890
149,SLBSL,2019-02-26.csv,785.0,786.0,771.0,772.0,980
150,SLBSL,2019-02-27.csv,772.0,798.0,765.0,775.0,"1,280"
157,SLBSL,2019-03-03.csv,765.0,778.0,765.0,771.0,520
156,SLBSL,2019-03-05.csv,780.0,780.0,765.0,770.0,810
152,SLBSL,2019-03-06.csv,784.0,784.0,757.0,768.0,"2,035"
158,SLBSL,2019-03-07.csv,780.0,783.0,761.0,777.0,810
123,SLBSL,2019-03-10.csv,765.0,769.0,760.0,761.0,150
155,SLBSL,2019-03-11.csv,770.0,776.0,762.0,765.0,430
159,SLBSL,2019-03-12.csv,760.0,770.0,757.0,765.0,"1,030"
156,SLBSL,2019-03-13.csv,765.0,767.0,755.0,758.0,490
154,SLBSL,2019-03-14.csv,758.0,765.0,751.0,764.0,"1,134"
154,SLBSL,2019-03-17.csv,775.0,775.0,745.0,750.0,"1,115"
154,SLBSL,2019-03-18.csv,740.0,754.0,740.0,741.0,"1,755"
144,SLBSL,2019-03-19.csv,741.0,741.0,727.0,731.0,720
157,SLBSL,2019-03-21.csv,723.0,731.0,716.0,717.0,640
151,SLBSL,2019-03-24.csv,717.0,740.0,700.0,740.0,"1,560"
154,SLBSL,2019-03-26.csv,703.0,710.0,695.0,702.0,820
149,SLBSL,2019-03-27.csv,702.0,709.0,700.0,702.0,370
153,SLBSL,2019-03-28.csv,700.0,708.0,699.0,700.0,"1,020"
146,SLBSL,2019-03-31.csv,700.0,700.0,680.0,682.0,590
154,SLBSL,2019-04-01.csv,682.0,695.0,677.0,685.0,550
153,SLBSL,2019-04-02.csv,675.0,700.0,675.0,685.0,220
155,SLBSL,2019-04-03.csv,687.0,695.0,676.0,680.0,320
156,SLBSL,2019-04-04.csv,680.0,1200.0,670.0,670.0,"1,273"
153,SLBSL,2019-04-07.csv,683.0,696.0,636.0,636.0,170
154,SLBSL,2019-04-08.csv,630.0,696.0,630.0,661.0,"1,310"
153,SLBSL,2019-04-09.csv,651.0,665.0,648.0,648.0,550
152,SLBSL,2019-04-10.csv,639.0,660.0,639.0,660.0,190
153,SLBSL,2019-04-11.csv,660.0,670.0,648.0,650.0,580
149,SLBSL,2019-04-15.csv,637.0,657.0,637.0,638.0,460
153,SLBSL,2019-04-16.csv,650.0,683.0,621.0,676.0,970
157,SLBSL,2019-04-17.csv,668.0,668.0,652.0,652.0,270
152,SLBSL,2019-04-18.csv,659.0,659.0,639.0,655.0,910
157,SLBSL,2019-04-21.csv,646.0,650.0,637.0,650.0,160
152,SLBSL,2019-04-22.csv,650.0,673.0,650.0,651.0,190
159,SLBSL,2019-04-23.csv,646.0,650.0,635.0,640.0,750
156,SLBSL,2019-04-24.csv,628.0,684.0,628.0,684.0,140
160,SLBSL,2019-04-25.csv,693.0,693.0,693.0,693.0,10
158,SLBSL,2019-04-28.csv,693.0,693.0,640.0,677.0,"1,470"
159,SLBSL,2019-04-29.csv,675.0,675.0,640.0,660.0,430
160,SLBSL,2019-04-30.csv,668.0,668.0,635.0,643.0,200
155,SLBSL,2019-05-02.csv,631.0,646.0,630.0,633.0,300
159,SLBSL,2019-05-05.csv,630.0,639.0,625.0,628.0,750
157,SLBSL,2019-05-06.csv,628.0,630.0,617.0,620.0,220
159,SLBSL,2019-05-07.csv,610.0,624.0,608.0,608.0,870
158,SLBSL,2019-05-08.csv,596.0,615.0,596.0,606.0,400
156,SLBSL,2019-05-09.csv,610.0,627.0,596.0,600.0,900
154,SLBSL,2019-05-12.csv,600.0,611.0,589.0,590.0,"1,462"
153,SLBSL,2019-05-13.csv,601.0,613.0,600.0,610.0,380
153,SLBSL,2019-05-14.csv,612.0,612.0,571.0,592.0,"1,430"
154,SLBSL,2019-05-15.csv,586.0,592.0,575.0,575.0,660
157,SLBSL,2019-05-16.csv,569.0,578.0,566.0,575.0,270
155,SLBSL,2019-05-19.csv,580.0,589.0,570.0,570.0,420
155,SLBSL,2019-05-20.csv,570.0,570.0,545.0,547.0,920
157,SLBSL,2019-05-21.csv,550.0,581.0,550.0,581.0,810
155,SLBSL,2019-05-22.csv,570.0,570.0,560.0,570.0,310
155,SLBSL,2019-05-23.csv,560.0,569.0,560.0,562.0,"1,190"
152,SLBSL,2019-05-26.csv,553.0,564.0,553.0,560.0,420
154,SLBSL,2019-05-27.csv,552.0,576.0,552.0,567.0,744
149,SLBSL,2019-05-28.csv,570.0,589.0,564.0,589.0,570
156,SLBSL,2019-05-29.csv,590.0,617.0,590.0,617.0,"1,370"
158,SLBSL,2019-05-30.csv,629.0,629.0,595.0,601.0,"1,210"
150,SLBSL,2019-06-02.csv,591.0,595.0,590.0,591.0,400
154,SLBSL,2019-06-03.csv,580.0,584.0,578.0,580.0,"1,000"
156,SLBSL,2019-06-04.csv,569.0,570.0,566.0,570.0,130
155,SLBSL,2019-06-06.csv,559.0,570.0,550.0,570.0,"1,005"
155,SLBSL,2019-06-10.csv,559.0,603.0,559.0,567.0,712
156,SLBSL,2019-06-11.csv,565.0,565.0,556.0,565.0,460
155,SLBSL,2019-06-12.csv,556.0,560.0,556.0,559.0,220
152,SLBSL,2019-06-13.csv,550.0,550.0,542.0,548.0,193
156,SLBSL,2019-06-16.csv,550.0,561.0,521.0,531.0,530
155,SLBSL,2019-06-17.csv,523.0,535.0,522.0,523.0,515
158,SLBSL,2019-06-18.csv,523.0,524.0,514.0,514.0,530
151,SLBSL,2019-06-19.csv,512.0,513.0,500.0,500.0,460
153,SLBSL,2019-06-20.csv,495.0,525.0,495.0,523.0,180
153,SLBSL,2019-06-23.csv,515.0,525.0,515.0,518.0,170
154,SLBSL,2019-06-24.csv,510.0,520.0,510.0,510.0,80
156,SLBSL,2019-06-25.csv,511.0,530.0,510.0,529.0,501
149,SLBSL,2019-06-26.csv,521.0,524.0,512.0,524.0,400
154,SLBSL,2019-06-27.csv,518.0,525.0,515.0,518.0,190
154,SLBSL,2019-06-30.csv,508.0,520.0,508.0,520.0,200
151,SLBSL,2019-07-01.csv,510.0,513.0,506.0,510.0,165
153,SLBSL,2019-07-02.csv,500.0,510.0,500.0,510.0,188
155,SLBSL,2019-07-03.csv,520.0,533.0,520.0,533.0,190
157,SLBSL,2019-07-04.csv,523.0,530.0,518.0,526.0,200
153,SLBSL,2019-07-07.csv,526.0,536.0,521.0,530.0,475
152,SLBSL,2019-07-08.csv,522.0,530.0,522.0,525.0,270
147,SLBSL,2019-07-09.csv,518.0,540.0,518.0,527.0,328
150,SLBSL,2019-07-10.csv,521.0,535.0,521.0,535.0,160
154,SLBSL,2019-07-11.csv,526.0,528.0,526.0,527.0,190
141,SLBSL,2019-07-14.csv,520.0,540.0,515.0,530.0,388
152,SLBSL,2019-07-15.csv,539.0,540.0,523.0,530.0,210
144,SLBSL,2019-07-16.csv,530.0,558.0,530.0,532.0,770
146,SLBSL,2019-07-17.csv,538.0,542.0,532.0,542.0,160
141,SLBSL,2019-07-18.csv,537.0,537.0,537.0,537.0,20
146,SLBSL,2019-07-21.csv,563.0,563.0,541.0,552.0,290
148,SLBSL,2019-07-22.csv,542.0,545.0,536.0,545.0,110
150,SLBSL,2019-07-23.csv,545.0,560.0,545.0,559.0,140
151,SLBSL,2019-07-24.csv,565.0,602.0,559.0,602.0,645
151,SLBSL,2019-07-25.csv,590.0,590.0,576.0,581.0,"1,010"
149,SLBSL,2019-07-28.csv,571.0,586.0,566.0,575.0,160
147,SLBSL,2019-07-29.csv,565.0,604.0,565.0,604.0,475
153,SLBSL,2019-07-30.csv,592.0,639.0,575.0,639.0,"1,185"
149,SLBSL,2019-07-31.csv,627.0,685.0,603.0,672.0,"2,145"
149,SLBSL,2019-08-01.csv,685.0,737.0,637.0,737.0,"3,450"
151,SLBSL,2019-08-04.csv,723.0,723.0,673.0,702.0,"3,828"
150,SLBSL,2019-08-05.csv,688.0,688.0,655.0,655.0,"2,870"
150,SLBSL,2019-08-06.csv,642.0,642.0,610.0,634.0,979
153,SLBSL,2019-08-07.csv,623.0,666.0,606.0,659.0,953
148,SLBSL,2019-08-08.csv,646.0,651.0,634.0,634.0,638
147,SLBSL,2019-08-11.csv,635.0,640.0,625.0,627.0,480
154,SLBSL,2019-08-12.csv,628.0,651.0,628.0,649.0,"1,144"
148,SLBSL,2019-08-13.csv,655.0,655.0,642.0,654.0,290
152,SLBSL,2019-08-14.csv,667.0,667.0,640.0,650.0,910
140,SLBSL,2019-08-15.csv,663.0,676.0,642.0,676.0,546
143,SLBSL,2019-08-18.csv,689.0,689.0,689.0,689.0,20
157,SLBSL,2019-08-19.csv,676.0,700.0,673.0,694.0,"1,880"
148,SLBSL,2019-08-20.csv,700.0,700.0,676.0,689.0,495
144,SLBSL,2019-08-21.csv,697.0,736.0,683.0,715.0,"2,109"
153,SLBSL,2019-08-22.csv,715.0,744.0,714.0,740.0,"5,350"
153,SLBSL,2019-08-25.csv,754.0,765.0,720.0,743.0,"2,467"
151,SLBSL,2019-08-26.csv,755.0,772.0,730.0,749.0,"1,290"
149,SLBSL,2019-08-27.csv,737.0,785.0,737.0,769.0,"5,614"
149,SLBSL,2019-08-28.csv,770.0,785.0,739.0,741.0,"8,931"
151,SLBSL,2019-08-29.csv,755.0,764.0,733.0,737.0,"5,504"
150,SLBSL,2019-09-01.csv,731.0,753.0,731.0,739.0,"2,081"
152,SLBSL,2019-09-02.csv,738.0,742.0,738.0,739.0,"1,330"
153,SLBSL,2019-09-03.csv,740.0,753.0,736.0,741.0,"2,170"
150,SLBSL,2019-09-04.csv,727.0,748.0,727.0,744.0,"1,848"
149,SLBSL,2019-09-05.csv,744.0,749.0,732.0,742.0,"1,396"
147,SLBSL,2019-09-08.csv,751.0,751.0,730.0,730.0,"1,360"
154,SLBSL,2019-09-09.csv,722.0,730.0,706.0,719.0,"1,518"
154,SLBSL,2019-09-10.csv,708.0,725.0,708.0,718.0,338
152,SLBSL,2019-09-11.csv,704.0,724.0,704.0,715.0,381
151,SLBSL,2019-09-12.csv,710.0,734.0,709.0,715.0,410
144,SLBSL,2019-09-15.csv,702.0,705.0,664.0,682.0,"1,365"
150,SLBSL,2019-09-16.csv,675.0,675.0,648.0,648.0,"1,478"
152,SLBSL,2019-09-17.csv,637.0,680.0,637.0,678.0,865
152,SLBSL,2019-09-18.csv,691.0,704.0,680.0,702.0,903
132,SLBSL,2019-09-19.csv,700.0,700.0,673.0,700.0,130
147,SLBSL,2019-09-22.csv,685.0,688.0,677.0,679.0,330
150,SLBSL,2019-09-23.csv,666.0,692.0,666.0,672.0,140
152,SLBSL,2019-09-24.csv,665.0,679.0,665.0,670.0,289
147,SLBSL,2019-09-25.csv,670.0,675.0,659.0,659.0,220
147,SLBSL,2019-09-26.csv,655.0,668.0,655.0,658.0,170
138,SLBSL,2019-09-29.csv,655.0,662.0,655.0,655.0,610
138,SLBSL,2019-09-30.csv,660.0,671.0,658.0,671.0,218
145,SLBSL,2019-10-01.csv,678.0,689.0,673.0,688.0,130
141,SLBSL,2019-10-02.csv,675.0,675.0,663.0,675.0,40
136,SLBSL,2019-10-03.csv,675.0,680.0,667.0,680.0,410
107,SLBSL,2019-10-10.csv,670.0,671.0,670.0,671.0,40
136,SLBSL,2019-10-14.csv,671.0,672.0,663.0,672.0,175
135,SLBSL,2019-10-15.csv,685.0,685.0,685.0,685.0,40
137,SLBSL,2019-10-16.csv,685.0,690.0,685.0,690.0,"1,180"
137,SLBSL,2019-10-17.csv,679.0,690.0,679.0,686.0,484
137,SLBSL,2019-10-24.csv,695.0,697.0,688.0,695.0,410
138,SLBSL,2019-10-31.csv,705.0,719.0,699.0,710.0,"1,485"
145,SLBSL,2019-11-03.csv,723.0,724.0,710.0,712.0,825
146,SLBSL,2019-11-04.csv,710.0,726.0,710.0,718.0,950
142,SLBSL,2019-11-05.csv,718.0,720.0,715.0,720.0,290
141,SLBSL,2019-11-06.csv,734.0,734.0,719.0,719.0,280
143,SLBSL,2019-11-07.csv,725.0,725.0,715.0,715.0,607
145,SLBSL,2019-11-10.csv,715.0,720.0,712.0,715.0,520
156,SLBSL,2019-11-11.csv,713.0,744.0,709.0,744.0,479
143,SLBSL,2019-11-12.csv,755.0,758.0,725.0,725.0,655
133,SLBSL,2019-11-13.csv,739.0,739.0,725.0,725.0,50
143,SLBSL,2019-11-14.csv,715.0,729.0,711.0,712.0,369
141,SLBSL,2019-11-17.csv,706.0,706.0,700.0,702.0,236
138,SLBSL,2019-11-18.csv,690.0,720.0,690.0,720.0,210
145,SLBSL,2019-11-19.csv,707.0,710.0,707.0,710.0,139
146,SLBSL,2019-11-20.csv,710.0,720.0,710.0,712.0,140
146,SLBSL,2019-11-21.csv,712.0,713.0,698.0,705.0,520
143,SLBSL,2019-11-24.csv,692.0,699.0,692.0,697.0,233
148,SLBSL,2019-11-25.csv,684.0,692.0,672.0,692.0,422
145,SLBSL,2019-11-26.csv,680.0,705.0,680.0,691.0,451
146,SLBSL,2019-11-27.csv,694.0,713.0,694.0,700.0,80
147,SLBSL,2019-11-28.csv,714.0,729.0,714.0,729.0,950
142,SLBSL,2019-12-01.csv,716.0,738.0,716.0,738.0,958
144,SLBSL,2019-12-02.csv,728.0,748.0,728.0,747.0,670
151,SLBSL,2019-12-03.csv,740.0,751.0,740.0,751.0,"2,209"
149,SLBSL,2019-12-04.csv,746.0,765.0,746.0,753.0,"4,758"
149,SLBSL,2019-12-05.csv,768.0,804.0,768.0,804.0,"14,397"
152,SLBSL,2019-12-08.csv,621.0,645.0,596.0,612.0,"4,947"
153,SLBSL,2019-12-09.csv,624.0,660.0,624.0,636.0,"1,680"
150,SLBSL,2019-12-10.csv,648.0,648.0,612.0,635.0,"1,520"
152,SLBSL,2019-12-11.csv,635.0,656.0,635.0,654.0,736
146,SLBSL,2019-12-12.csv,641.0,655.0,640.0,640.0,707
150,SLBSL,2019-12-15.csv,635.0,635.0,606.0,606.0,"1,510"
147,SLBSL,2019-12-16.csv,615.0,625.0,613.0,623.0,547
148,SLBSL,2019-12-17.csv,634.0,634.0,622.0,632.0,30
145,SLBSL,2019-12-18.csv,644.0,644.0,607.0,618.0,"2,263"
151,SLBSL,2019-12-19.csv,618.0,618.0,600.0,600.0,106
148,SLBSL,2019-12-22.csv,591.0,594.0,591.0,594.0,40
155,SLBSL,2019-12-23.csv,596.0,621.0,596.0,620.0,420
151,SLBSL,2019-12-24.csv,620.0,620.0,610.0,610.0,145
155,SLBSL,2019-12-25.csv,601.0,613.0,598.0,598.0,421
154,SLBSL,2019-12-26.csv,594.0,594.0,594.0,594.0,210
161,SLBSL,2019-12-29.csv,584.0,601.0,584.0,601.0,50
157,SLBSL,2019-12-30.csv,609.0,613.0,601.0,601.0,670
157,SLBSL,2019-12-31.csv,596.0,596.0,596.0,596.0,40
156,SLBSL,2020-01-01.csv,595.0,614.0,595.0,604.0,263
151,SLBSL,2020-01-02.csv,592.0,619.0,592.0,607.0,275
151,SLBSL,2020-01-05.csv,607.0,635.0,607.0,610.0,"2,308"
156,SLBSL,2020-01-06.csv,622.0,640.0,622.0,637.0,"2,311"
157,SLBSL,2020-01-07.csv,648.0,649.0,635.0,644.0,"2,608"
152,SLBSL,2020-01-08.csv,650.0,663.0,640.0,659.0,"1,175"
156,SLBSL,2020-01-09.csv,662.0,719.0,662.0,719.0,"5,472"
157,SLBSL,2020-01-12.csv,733.0,790.0,733.0,789.0,"3,014"
161,SLBSL,2020-01-13.csv,790.0,805.0,746.0,750.0,"2,835"
162,SLBSL,2020-01-14.csv,734.0,777.0,727.0,727.0,897
155,SLBSL,2020-01-15.csv,741.0,745.0,728.0,745.0,861
160,SLBSL,2020-01-16.csv,750.0,790.0,750.0,784.0,960
157,SLBSL,2020-01-19.csv,799.0,812.0,770.0,809.0,"2,681"
