S.no,Symbol,Date,Open,High,Low,Close,Vol
68,SLFL,2012-01-01.csv,103.0,104.0,101.0,102.0,780
59,SLFL,2012-01-08.csv,102.0,101.0,101.0,101.0,520
64,SLFL,2012-01-09.csv,101.0,100.0,100.0,100.0,40
58,SLFL,2012-01-10.csv,102.0,100.0,100.0,100.0,700
69,SLFL,2012-01-11.csv,100.0,100.0,100.0,100.0,120
68,SLFL,2012-01-12.csv,100.0,100.0,99.0,99.0,120
60,SLFL,2012-01-16.csv,99.0,99.0,99.0,99.0,100
62,SLFL,2012-01-17.csv,99.0,98.0,98.0,98.0,40
62,SLFL,2012-01-18.csv,98.0,98.0,97.0,98.0,"1,060"
72,SLFL,2012-01-22.csv,98.0,99.0,95.0,98.0,"1,420"
75,SLFL,2012-01-23.csv,98.0,97.0,96.0,96.0,430
61,SLFL,2012-01-25.csv,96.0,97.0,97.0,97.0,240
70,SLFL,2012-01-26.csv,97.0,96.0,96.0,96.0,400
71,SLFL,2012-01-29.csv,96.0,95.0,93.0,93.0,820
78,SLFL,2012-01-31.csv,93.0,94.0,92.0,93.0,460
76,SLFL,2012-02-01.csv,93.0,93.0,92.0,93.0,240
71,SLFL,2012-02-02.csv,93.0,93.0,92.0,92.0,340
71,SLFL,2012-02-05.csv,92.0,92.0,90.0,90.0,260
71,SLFL,2012-02-06.csv,90.0,91.0,90.0,91.0,340
72,SLFL,2012-02-07.csv,91.0,91.0,91.0,91.0,"1,600"
68,SLFL,2012-02-08.csv,91.0,91.0,90.0,90.0,"1,600"
58,SLFL,2012-02-09.csv,90.0,91.0,90.0,90.0,710
76,SLFL,2012-02-12.csv,90.0,91.0,89.0,91.0,250
67,SLFL,2012-02-13.csv,91.0,94.0,92.0,93.0,300
64,SLFL,2012-02-14.csv,93.0,92.0,92.0,92.0,140
71,SLFL,2012-02-15.csv,92.0,93.0,90.0,92.0,"1,660"
71,SLFL,2012-02-16.csv,92.0,92.0,90.0,90.0,"1,040"
68,SLFL,2012-02-21.csv,90.0,91.0,89.0,89.0,480
73,SLFL,2012-02-23.csv,89.0,88.0,88.0,88.0,100
76,SLFL,2012-02-26.csv,88.0,90.0,88.0,90.0,520
79,SLFL,2012-02-27.csv,90.0,90.0,89.0,89.0,220
63,SLFL,2012-02-28.csv,89.0,90.0,89.0,89.0,550
69,SLFL,2012-02-29.csv,89.0,90.0,89.0,89.0,110
69,SLFL,2012-03-01.csv,89.0,91.0,90.0,91.0,40
73,SLFL,2012-03-04.csv,91.0,93.0,88.0,89.0,700
65,SLFL,2012-03-05.csv,89.0,90.0,90.0,90.0,10
74,SLFL,2012-03-06.csv,90.0,91.0,89.0,91.0,160
70,SLFL,2012-03-11.csv,91.0,90.0,89.0,90.0,200
67,SLFL,2012-03-12.csv,90.0,90.0,90.0,90.0,340
73,SLFL,2012-03-13.csv,90.0,91.0,91.0,91.0,60
65,SLFL,2012-03-14.csv,91.0,92.0,89.0,90.0,620
56,SLFL,2012-03-15.csv,90.0,91.0,90.0,90.0,480
79,SLFL,2012-03-18.csv,90.0,91.0,90.0,90.0,480
73,SLFL,2012-03-19.csv,90.0,90.0,89.0,90.0,220
69,SLFL,2012-03-25.csv,90.0,91.0,89.0,91.0,400
65,SLFL,2012-03-26.csv,91.0,90.0,90.0,90.0,150
79,SLFL,2012-03-27.csv,90.0,90.0,90.0,90.0,90
73,SLFL,2012-03-28.csv,90.0,92.0,91.0,91.0,340
72,SLFL,2012-03-29.csv,91.0,93.0,92.0,92.0,380
74,SLFL,2012-04-01.csv,92.0,92.0,92.0,92.0,100
77,SLFL,2012-04-02.csv,92.0,91.0,90.0,90.0,670
73,SLFL,2012-04-03.csv,90.0,90.0,89.0,90.0,120
70,SLFL,2012-04-08.csv,90.0,92.0,90.0,92.0,540
87,SLFL,2012-04-19.csv,92.0,93.0,91.0,92.0,400
60,SLFL,2012-04-24.csv,92.0,91.0,91.0,91.0,20
85,SLFL,2012-04-26.csv,91.0,92.0,92.0,92.0,30
82,SLFL,2012-04-29.csv,92.0,93.0,93.0,93.0,460
54,SLFL,2012-05-07.csv,93.0,94.0,94.0,94.0,20
80,SLFL,2012-05-09.csv,94.0,95.0,95.0,95.0,20
59,SLFL,2012-05-13.csv,95.0,96.0,96.0,96.0,100
58,SLFL,2012-05-15.csv,96.0,104.0,97.0,104.0,180
70,SLFL,2012-05-17.csv,104.0,108.0,106.0,108.0,40
63,SLFL,2012-05-20.csv,108.0,110.0,108.0,110.0,60
72,SLFL,2012-06-05.csv,110.0,105.0,103.0,103.0,400
71,SLFL,2012-06-06.csv,103.0,98.0,98.0,98.0,60
69,SLFL,2012-06-07.csv,98.0,97.0,94.0,94.0,100
67,SLFL,2012-06-10.csv,94.0,94.0,90.0,90.0,110
77,SLFL,2012-06-12.csv,90.0,89.0,88.0,88.0,140
75,SLFL,2012-06-13.csv,88.0,87.0,86.0,86.0,40
72,SLFL,2012-06-14.csv,86.0,86.0,86.0,86.0,"1,320"
75,SLFL,2012-06-17.csv,86.0,85.0,82.0,82.0,200
69,SLFL,2012-06-18.csv,82.0,81.0,79.0,80.0,520
73,SLFL,2012-06-19.csv,80.0,83.0,80.0,81.0,710
70,SLFL,2012-06-20.csv,81.0,83.0,81.0,81.0,660
68,SLFL,2012-06-21.csv,81.0,84.0,82.0,84.0,520
68,SLFL,2012-06-25.csv,84.0,88.0,85.0,87.0,930
71,SLFL,2012-06-26.csv,87.0,86.0,84.0,85.0,300
68,SLFL,2012-06-27.csv,85.0,86.0,85.0,85.0,310
70,SLFL,2012-06-28.csv,85.0,87.0,86.0,87.0,170
75,SLFL,2012-07-02.csv,87.0,95.0,84.0,95.0,470
67,SLFL,2012-07-03.csv,95.0,95.0,95.0,95.0,230
68,SLFL,2012-07-04.csv,95.0,94.0,94.0,94.0,60
72,SLFL,2012-07-08.csv,94.0,94.0,94.0,94.0,190
63,SLFL,2012-07-15.csv,94.0,97.0,94.0,97.0,100
75,SLFL,2012-07-17.csv,97.0,96.0,89.0,89.0,240
74,SLFL,2012-07-18.csv,89.0,88.0,86.0,86.0,260
77,SLFL,2012-07-19.csv,86.0,86.0,85.0,85.0,130
75,SLFL,2012-07-22.csv,85.0,87.0,85.0,87.0,150
67,SLFL,2012-07-24.csv,87.0,86.0,86.0,86.0,60
64,SLFL,2012-07-29.csv,86.0,85.0,85.0,85.0,20
79,SLFL,2012-07-31.csv,85.0,84.0,83.0,83.0,300
78,SLFL,2012-08-01.csv,83.0,84.0,81.0,81.0,360
69,SLFL,2012-08-05.csv,81.0,81.0,80.0,80.0,160
74,SLFL,2012-08-06.csv,80.0,81.0,79.0,80.0,380
79,SLFL,2012-08-07.csv,80.0,81.0,79.0,81.0,180
74,SLFL,2012-08-08.csv,81.0,79.0,78.0,79.0,300
72,SLFL,2012-08-13.csv,79.0,80.0,79.0,80.0,590
69,SLFL,2012-08-14.csv,80.0,80.0,79.0,79.0,160
70,SLFL,2012-08-15.csv,79.0,79.0,79.0,79.0,160
75,SLFL,2012-08-16.csv,79.0,79.0,78.0,78.0,220
70,SLFL,2012-08-19.csv,78.0,79.0,78.0,78.0,810
77,SLFL,2012-08-23.csv,78.0,79.0,78.0,79.0,380
79,SLFL,2012-08-26.csv,79.0,81.0,79.0,80.0,520
82,SLFL,2012-08-27.csv,80.0,82.0,81.0,82.0,60
83,SLFL,2012-08-28.csv,82.0,83.0,82.0,82.0,400
78,SLFL,2012-08-29.csv,82.0,82.0,81.0,82.0,40
83,SLFL,2012-08-30.csv,82.0,82.0,81.0,81.0,240
82,SLFL,2012-09-02.csv,81.0,84.0,82.0,84.0,180
81,SLFL,2012-09-03.csv,84.0,85.0,85.0,85.0,270
80,SLFL,2012-09-04.csv,85.0,89.0,85.0,88.0,560
80,SLFL,2012-09-05.csv,88.0,88.0,88.0,88.0,20
81,SLFL,2012-09-09.csv,88.0,88.0,88.0,88.0,40
85,SLFL,2012-09-10.csv,88.0,87.0,86.0,86.0,250
90,SLFL,2012-09-11.csv,86.0,87.0,87.0,87.0,240
83,SLFL,2012-09-12.csv,87.0,86.0,86.0,86.0,120
87,SLFL,2012-09-17.csv,86.0,85.0,85.0,85.0,290
84,SLFL,2012-09-18.csv,85.0,84.0,84.0,84.0,100
87,SLFL,2012-09-19.csv,84.0,83.0,83.0,83.0,20
81,SLFL,2012-09-20.csv,83.0,82.0,81.0,81.0,60
82,SLFL,2012-09-23.csv,81.0,82.0,82.0,82.0,140
80,SLFL,2012-09-24.csv,82.0,81.0,79.0,79.0,150
81,SLFL,2012-09-25.csv,79.0,79.0,77.0,78.0,450
86,SLFL,2012-09-26.csv,78.0,78.0,77.0,78.0,540
86,SLFL,2012-09-30.csv,78.0,77.0,73.0,75.0,940
160,SLFL,2012-10-01.csv,75.0,75.0,74.0,75.0,820
161,SLFL,2012-10-01.csv,75.0,75.0,74.0,75.0,820
88,SLFL,2012-10-03.csv,75.0,74.0,74.0,74.0,50
81,SLFL,2012-10-04.csv,74.0,75.0,73.0,75.0,720
85,SLFL,2012-10-07.csv,75.0,74.0,73.0,74.0,170
89,SLFL,2012-10-08.csv,74.0,75.0,73.0,73.0,680
88,SLFL,2012-10-09.csv,73.0,75.0,73.0,75.0,"1,700"
83,SLFL,2012-10-10.csv,75.0,76.0,75.0,76.0,"3,720"
88,SLFL,2012-10-11.csv,76.0,77.0,74.0,76.0,"1,380"
82,SLFL,2012-10-14.csv,76.0,80.0,77.0,80.0,590
71,SLFL,2012-10-15.csv,80.0,79.0,79.0,79.0,130
69,SLFL,2012-10-17.csv,79.0,85.0,80.0,85.0,120
78,SLFL,2012-10-18.csv,85.0,85.0,84.0,84.0,130
69,SLFL,2012-10-30.csv,84.0,85.0,84.0,84.0,250
78,SLFL,2012-11-22.csv,84.0,83.0,83.0,83.0,80
56,SLFL,2012-12-02.csv,83.0,82.0,82.0,82.0,20
66,SLFL,2012-12-03.csv,82.0,81.0,81.0,81.0,50
72,SLFL,2012-12-04.csv,81.0,80.0,78.0,78.0,80
73,SLFL,2012-12-05.csv,78.0,77.0,76.0,77.0,130
73,SLFL,2012-12-06.csv,77.0,77.0,75.0,75.0,280
72,SLFL,2012-12-09.csv,75.0,75.0,75.0,75.0,160
63,SLFL,2012-12-10.csv,75.0,74.0,74.0,74.0,80
65,SLFL,2012-12-11.csv,74.0,74.0,70.0,70.0,940
64,SLFL,2012-12-12.csv,70.0,73.0,71.0,72.0,200
71,SLFL,2012-12-17.csv,72.0,72.0,72.0,72.0,20
68,SLFL,2012-12-18.csv,72.0,71.0,71.0,71.0,20
72,SLFL,2012-12-19.csv,71.0,71.0,70.0,71.0,240
70,SLFL,2012-12-23.csv,71.0,70.0,70.0,70.0,120
