S.no,Symbol,Date,Open,High,Low,Close,Vol
144,SMATA,2017-07-26.csv,403.0,411.0,411.0,411.0,9
137,SMATA,2017-07-27.csv,403.0,411.0,411.0,411.0,1
147,SMATA,2017-08-15.csv,403.0,411.0,411.0,411.0,10
145,SMATA,2017-08-20.csv,411.0,419.0,419.0,419.0,"1,000"
145,SMATA,2017-08-28.csv,419.0,427.0,427.0,427.0,10
145,SMATA,2017-09-10.csv,427.0,448.0,448.0,448.0,10
146,SMATA,2017-09-20.csv,448.0,456.0,456.0,456.0,10
146,SMATA,2017-11-05.csv,456.0,501.0,465.0,501.0,130
144,SMATA,2017-11-09.csv,501.0,551.0,511.0,551.0,130
146,SMATA,2017-11-13.csv,551.0,562.0,562.0,562.0,10
147,SMATA,2017-11-15.csv,551.0,573.0,562.0,573.0,60
147,SMATA,2017-11-27.csv,478.0,487.0,487.0,487.0,10
151,SMATA,2017-12-18.csv,487.0,511.0,511.0,511.0,10
152,SMATA,2017-12-19.csv,511.0,536.0,536.0,536.0,10
150,SMATA,2018-01-01.csv,536.0,562.0,562.0,562.0,10
149,SMATA,2018-02-04.csv,562.0,590.0,590.0,590.0,10
139,SMATA,2018-03-18.csv,0.0,0.0,0.0,0.0,20
153,SMATA,2018-03-29.csv,494.56,505.8,494.56,590.0,201
148,SMATA,2018-04-03.csv,619.0,619.0,619.0,619.0,10
145,SMATA,2018-05-02.csv,631.0,655.0,631.0,655.0,30
157,SMATA,2018-05-03.csv,668.0,694.0,668.0,694.0,30
146,SMATA,2018-05-06.csv,707.0,721.0,707.0,721.0,20
146,SMATA,2018-05-07.csv,735.0,749.0,735.0,749.0,20
151,SMATA,2018-05-08.csv,763.0,793.0,763.0,793.0,30
146,SMATA,2018-05-09.csv,808.0,824.0,808.0,824.0,20
148,SMATA,2018-05-10.csv,840.0,873.0,840.0,873.0,30
150,SMATA,2018-05-14.csv,890.0,890.0,890.0,890.0,10
145,SMATA,2018-05-16.csv,907.0,907.0,907.0,907.0,10
142,SMATA,2018-05-17.csv,952.0,952.0,952.0,952.0,10
147,SMATA,2018-05-20.csv,971.0,990.0,971.0,990.0,34
150,SMATA,2018-05-21.csv,1009.0,1009.0,1009.0,1009.0,10
148,SMATA,2018-05-23.csv,1029.0,1029.0,1029.0,1029.0,79
149,SMATA,2018-05-27.csv,1049.0,1049.0,1049.0,1049.0,12
155,SMATA,2018-05-28.csv,1069.0,1111.0,1069.0,1111.0,32
155,SMATA,2018-05-29.csv,1166.0,1189.0,1166.0,1189.0,24
144,SMATA,2018-06-04.csv,1212.0,1212.0,1212.0,1212.0,14
152,SMATA,2018-06-07.csv,1236.0,1260.0,1236.0,1260.0,24
148,SMATA,2018-06-10.csv,1285.0,1336.0,1285.0,1336.0,46
156,SMATA,2018-06-11.csv,1362.0,1416.0,1362.0,1416.0,44
146,SMATA,2018-06-12.csv,1444.0,1444.0,1444.0,1444.0,316
148,SMATA,2018-06-13.csv,1472.0,1501.0,1472.0,1501.0,24
151,SMATA,2018-06-14.csv,1531.0,1623.0,1531.0,1623.0,46
144,SMATA,2018-06-17.csv,1655.0,1785.0,1655.0,1785.0,96
141,SMATA,2018-06-18.csv,1820.0,1963.0,1820.0,1963.0,66
146,SMATA,2018-06-19.csv,2002.0,2159.0,2002.0,2159.0,740
143,SMATA,2018-06-20.csv,2202.0,2374.0,2176.0,2216.0,"4,813"
149,SMATA,2018-06-21.csv,2229.0,2229.0,2128.0,2170.0,"1,730"
152,SMATA,2018-06-24.csv,2139.0,2151.0,2115.0,2125.0,"2,329"
145,SMATA,2018-06-25.csv,2086.0,2136.0,2051.0,2052.0,"4,261"
146,SMATA,2018-06-26.csv,1401.0,1407.0,1363.0,1363.0,370
143,SMATA,2018-06-27.csv,1336.0,1375.0,1336.0,1368.0,65
150,SMATA,2018-06-28.csv,1368.0,1395.0,1368.0,1380.0,84
145,SMATA,2018-07-01.csv,1380.0,1380.0,1326.0,1326.0,430
146,SMATA,2018-07-02.csv,1325.0,1331.0,1279.0,1300.0,530
147,SMATA,2018-07-03.csv,1300.0,1350.0,1274.0,1323.0,95
156,SMATA,2018-07-04.csv,1320.0,1366.0,1320.0,1326.0,306
153,SMATA,2018-07-05.csv,1330.0,1418.0,1330.0,1418.0,795
152,SMATA,2018-07-08.csv,1435.0,1435.0,1339.0,1365.0,508
153,SMATA,2018-07-09.csv,1355.0,1355.0,1327.0,1327.0,352
144,SMATA,2018-07-10.csv,1350.0,1377.0,1350.0,1377.0,98
159,SMATA,2018-07-11.csv,1377.0,1476.0,1377.0,1430.0,"1,164"
149,SMATA,2018-07-12.csv,1458.0,1483.0,1454.0,1454.0,82
156,SMATA,2018-07-15.csv,1464.0,1464.0,1435.0,1435.0,22
145,SMATA,2018-07-16.csv,1435.0,1435.0,1380.0,1380.0,44
143,SMATA,2018-07-17.csv,1360.0,1387.0,1341.0,1384.0,470
131,SMATA,2018-07-18.csv,1357.0,1397.0,1339.0,1397.0,626
149,SMATA,2018-07-19.csv,1370.0,1370.0,1346.0,1350.0,96
149,SMATA,2018-07-22.csv,1340.0,1340.0,1304.0,1304.0,196
144,SMATA,2018-07-23.csv,1306.0,1315.0,1306.0,1315.0,272
148,SMATA,2018-07-24.csv,1340.0,1393.0,1339.0,1358.0,432
156,SMATA,2018-07-25.csv,1360.0,1360.0,1331.0,1331.0,134
150,SMATA,2018-07-26.csv,1330.0,1354.0,1320.0,1329.0,144
140,SMATA,2018-07-29.csv,1310.0,1310.0,1310.0,1310.0,12
156,SMATA,2018-07-30.csv,1287.0,1370.0,1287.0,1355.0,130
151,SMATA,2018-07-31.csv,1355.0,1355.0,1311.0,1337.0,139
150,SMATA,2018-08-02.csv,1311.0,1311.0,1304.0,1304.0,466
149,SMATA,2018-08-05.csv,1280.0,1286.0,1280.0,1286.0,376
137,SMATA,2018-08-06.csv,1307.0,1307.0,1285.0,1290.0,456
142,SMATA,2018-08-07.csv,1280.0,1300.0,1280.0,1300.0,90
148,SMATA,2018-08-08.csv,1280.0,1290.0,1280.0,1280.0,140
148,SMATA,2018-08-09.csv,1255.0,1255.0,1253.0,1253.0,63
147,SMATA,2018-08-12.csv,1264.0,1264.0,1201.0,1201.0,304
143,SMATA,2018-08-13.csv,1201.0,1225.0,1180.0,1225.0,94
151,SMATA,2018-08-15.csv,1249.0,1268.0,1225.0,1268.0,194
146,SMATA,2018-08-19.csv,1243.0,1243.0,1230.0,1230.0,48
146,SMATA,2018-08-20.csv,1206.0,1210.0,1206.0,1210.0,36
147,SMATA,2018-08-21.csv,1186.0,1186.0,1185.0,1185.0,24
145,SMATA,2018-08-23.csv,1175.0,1175.0,1175.0,1175.0,12
134,SMATA,2018-08-26.csv,1180.0,1180.0,1117.0,1175.0,188
149,SMATA,2018-08-29.csv,1153.0,1160.0,1130.0,1130.0,436
153,SMATA,2018-08-30.csv,1135.0,1135.0,1135.0,1135.0,10
150,SMATA,2018-09-02.csv,1117.0,1117.0,1113.0,1113.0,182
155,SMATA,2018-09-03.csv,1100.0,1144.0,1100.0,1130.0,618
159,SMATA,2018-09-04.csv,1130.0,1130.0,1130.0,1130.0,12
153,SMATA,2018-09-05.csv,1135.0,1190.0,1135.0,1180.0,308
152,SMATA,2018-09-09.csv,1157.0,1157.0,1134.0,1156.0,194
150,SMATA,2018-09-10.csv,1160.0,1160.0,1111.0,1111.0,242
154,SMATA,2018-09-11.csv,1121.0,1165.0,1121.0,1140.0,142
152,SMATA,2018-09-12.csv,1140.0,1142.0,1132.0,1132.0,194
160,SMATA,2018-09-13.csv,1125.0,1130.0,1125.0,1130.0,66
153,SMATA,2018-09-16.csv,1110.0,1150.0,1110.0,1150.0,74
152,SMATA,2018-09-17.csv,1150.0,1150.0,1130.0,1130.0,24
155,SMATA,2018-09-18.csv,1150.0,1196.0,1150.0,1160.0,674
152,SMATA,2018-09-20.csv,1140.0,1160.0,1137.0,1137.0,172
152,SMATA,2018-09-23.csv,1116.0,1190.0,1116.0,1169.0,294
159,SMATA,2018-09-25.csv,1160.0,1209.0,1160.0,1209.0,697
157,SMATA,2018-09-26.csv,1202.0,1329.0,1202.0,1329.0,"1,212"
155,SMATA,2018-09-27.csv,1355.0,1387.0,1278.0,1303.0,"1,440"
153,SMATA,2018-09-30.csv,1281.0,1288.0,1256.0,1260.0,286
153,SMATA,2018-10-01.csv,1270.0,1285.0,1262.0,1262.0,500
158,SMATA,2018-10-02.csv,1262.0,1312.0,1262.0,1281.0,379
152,SMATA,2018-10-03.csv,1300.0,1406.0,1295.0,1375.0,612
153,SMATA,2018-10-04.csv,1375.0,1433.0,1375.0,1430.0,"2,071"
148,SMATA,2018-10-07.csv,1402.0,1439.0,1380.0,1416.0,"1,097"
149,SMATA,2018-10-08.csv,1415.0,1434.0,1412.0,1434.0,"1,035"
148,SMATA,2018-10-09.csv,1462.0,1462.0,1408.0,1412.0,442
148,SMATA,2018-10-10.csv,1401.0,1450.0,1400.0,1450.0,837
150,SMATA,2018-10-11.csv,1460.0,1460.0,1450.0,1450.0,20
146,SMATA,2018-10-14.csv,1455.0,1491.0,1455.0,1491.0,"2,228"
139,SMATA,2018-10-15.csv,1462.0,1488.0,1462.0,1488.0,193
142,SMATA,2018-10-23.csv,1488.0,1488.0,1426.0,1426.0,111
139,SMATA,2018-10-24.csv,1450.0,1500.0,1450.0,1500.0,268
145,SMATA,2018-10-25.csv,1470.0,1470.0,1441.0,1441.0,32
150,SMATA,2018-10-28.csv,1416.0,1441.0,1400.0,1428.0,300
146,SMATA,2018-10-29.csv,1400.0,1428.0,1380.0,1405.0,656
149,SMATA,2018-10-30.csv,1430.0,1460.0,1430.0,1440.0,454
150,SMATA,2018-10-31.csv,1440.0,1440.0,1440.0,1440.0,112
148,SMATA,2018-11-01.csv,1450.0,1473.0,1450.0,1473.0,130
142,SMATA,2018-11-04.csv,1502.0,1620.0,1502.0,1579.0,926
142,SMATA,2018-11-05.csv,1600.0,1620.0,1570.0,1600.0,453
119,SMATA,2018-11-12.csv,1570.0,1600.0,1537.0,1537.0,30
134,SMATA,2018-11-14.csv,1567.0,1598.0,1536.0,1597.0,308
144,SMATA,2018-11-15.csv,1628.0,1628.0,1570.0,1615.0,882
132,SMATA,2018-11-18.csv,1644.0,1644.0,1475.0,1475.0,421
137,SMATA,2018-11-19.csv,1499.0,1500.0,1331.0,1384.0,809
133,SMATA,2018-11-20.csv,1400.0,1405.0,1321.0,1340.0,"1,183"
138,SMATA,2018-11-21.csv,1346.0,1346.0,1282.0,1331.0,383
131,SMATA,2018-11-22.csv,1356.0,1383.0,1311.0,1311.0,177
140,SMATA,2018-11-25.csv,1305.0,1305.0,1280.0,1281.0,587
142,SMATA,2018-11-26.csv,1270.0,1340.0,1270.0,1320.0,425
142,SMATA,2018-11-27.csv,1310.0,1319.0,1280.0,1280.0,520
140,SMATA,2018-11-28.csv,1205.0,1205.0,1135.0,1135.0,820
148,SMATA,2018-11-29.csv,1135.0,1135.0,1094.0,1094.0,232
144,SMATA,2018-12-02.csv,1080.0,1080.0,1060.0,1060.0,32
143,SMATA,2018-12-03.csv,1050.0,1050.0,1035.0,1040.0,211
144,SMATA,2018-12-04.csv,1038.0,1038.0,1000.0,1038.0,337
148,SMATA,2018-12-06.csv,1050.0,1050.0,1030.0,1030.0,100
143,SMATA,2018-12-09.csv,1048.0,1048.0,1048.0,1048.0,11
150,SMATA,2018-12-10.csv,1068.0,1068.0,1047.0,1047.0,282
152,SMATA,2018-12-11.csv,1027.0,1027.0,1025.0,1027.0,78
145,SMATA,2018-12-12.csv,1007.0,1007.0,1000.0,1000.0,204
143,SMATA,2018-12-13.csv,1020.0,1040.0,1020.0,1020.0,72
145,SMATA,2018-12-16.csv,1040.0,1060.0,1021.0,1060.0,176
145,SMATA,2018-12-17.csv,1081.0,1102.0,1081.0,1100.0,42
146,SMATA,2018-12-18.csv,1102.0,1102.0,1060.0,1060.0,197
146,SMATA,2018-12-19.csv,1060.0,1060.0,1030.0,1045.0,509
150,SMATA,2018-12-20.csv,1039.0,1039.0,1030.0,1030.0,78
150,SMATA,2018-12-23.csv,1025.0,1081.0,1025.0,1081.0,436
153,SMATA,2018-12-24.csv,1060.0,1081.0,1055.0,1060.0,389
150,SMATA,2018-12-25.csv,1060.0,1060.0,1050.0,1060.0,362
159,SMATA,2018-12-26.csv,1081.0,1124.0,1070.0,1095.0,"1,000"
160,SMATA,2018-12-27.csv,1110.0,1159.0,1110.0,1150.0,621
155,SMATA,2018-12-30.csv,1127.0,1149.0,1105.0,1105.0,76
154,SMATA,2018-12-31.csv,1083.0,1083.0,1083.0,1083.0,16
142,SMATA,2019-01-01.csv,1080.0,1122.0,1080.0,1100.0,104
139,SMATA,2019-01-02.csv,1105.0,1105.0,1061.0,1061.0,260
145,SMATA,2019-01-03.csv,1082.0,1130.0,1082.0,1091.0,"1,363"
142,SMATA,2019-01-06.csv,1100.0,1100.0,1070.0,1070.0,148
153,SMATA,2019-01-07.csv,1091.0,1144.0,1091.0,1100.0,228
146,SMATA,2019-01-08.csv,1100.0,1100.0,1080.0,1100.0,404
154,SMATA,2019-01-09.csv,1120.0,1122.0,1084.0,1084.0,124
148,SMATA,2019-01-10.csv,1100.0,1100.0,1100.0,1100.0,16
143,SMATA,2019-01-13.csv,1105.0,1105.0,1105.0,1105.0,10
143,SMATA,2019-01-14.csv,1085.0,1111.0,1085.0,1111.0,64
145,SMATA,2019-01-15.csv,1133.0,1178.0,1111.0,1175.0,800
155,SMATA,2019-01-16.csv,1175.0,1292.0,1175.0,1214.0,956
150,SMATA,2019-01-17.csv,1196.0,1213.0,1190.0,1200.0,320
128,SMATA,2019-01-20.csv,1181.0,1181.0,1181.0,1181.0,54
149,SMATA,2019-01-21.csv,1158.0,1158.0,1135.0,1140.0,312
142,SMATA,2019-01-22.csv,1162.0,1180.0,1162.0,1180.0,271
147,SMATA,2019-01-23.csv,1195.0,1220.0,1195.0,1220.0,320
146,SMATA,2019-01-24.csv,1202.0,1240.0,1200.0,1218.0,"1,044"
