S.no,Symbol,Date,Open,High,Low,Close,Vol
154,SMB,2018-04-05.csv,313.0,313.0,313.0,313.0,10
163,SMB,2018-04-08.csv,319.0,325.0,319.0,325.0,20
157,SMB,2018-04-09.csv,331.0,337.0,331.0,337.0,20
148,SMB,2018-04-10.csv,343.0,349.0,343.0,349.0,20
145,SMB,2018-04-11.csv,355.0,362.0,355.0,362.0,20
151,SMB,2018-04-12.csv,369.0,376.0,369.0,376.0,20
146,SMB,2018-04-15.csv,383.0,390.0,383.0,390.0,20
158,SMB,2018-04-23.csv,397.0,412.0,397.0,412.0,30
147,SMB,2018-05-06.csv,432.0,432.0,432.0,432.0,20
147,SMB,2018-05-09.csv,440.0,448.0,440.0,448.0,20
149,SMB,2018-05-10.csv,456.0,474.0,456.0,474.0,40
151,SMB,2018-05-14.csv,483.0,483.0,483.0,483.0,20
148,SMB,2018-05-20.csv,497.0,521.0,497.0,521.0,50
151,SMB,2018-05-21.csv,531.0,531.0,531.0,531.0,10
149,SMB,2018-05-24.csv,557.0,557.0,557.0,557.0,10
149,SMB,2018-06-10.csv,568.0,601.0,568.0,601.0,40
157,SMB,2018-06-11.csv,613.0,613.0,613.0,613.0,10
147,SMB,2018-06-12.csv,369.0,376.0,369.0,376.0,20
149,SMB,2018-06-13.csv,613.0,613.0,613.0,613.0,10
145,SMB,2018-06-17.csv,625.0,649.0,625.0,649.0,30
144,SMB,2018-06-20.csv,661.0,661.0,661.0,661.0,10
153,SMB,2018-06-24.csv,661.0,661.0,661.0,661.0,10
144,SMB,2018-06-27.csv,661.0,661.0,661.0,661.0,10
151,SMB,2018-06-28.csv,674.0,674.0,674.0,674.0,10
148,SMB,2018-07-03.csv,687.0,687.0,687.0,687.0,10
154,SMB,2018-07-05.csv,700.0,700.0,700.0,700.0,10
153,SMB,2018-07-08.csv,714.0,714.0,714.0,714.0,10
145,SMB,2018-07-10.csv,728.0,728.0,727.0,727.0,10
150,SMB,2018-07-12.csv,749.0,763.0,749.0,763.0,20
157,SMB,2018-07-15.csv,801.0,817.0,801.0,817.0,20
150,SMB,2018-07-22.csv,833.0,833.0,833.0,833.0,10
145,SMB,2018-07-23.csv,849.0,849.0,849.0,849.0,10
157,SMB,2018-07-25.csv,874.0,916.0,874.0,916.0,70
151,SMB,2018-07-26.csv,934.0,934.0,934.0,934.0,10
138,SMB,2018-08-06.csv,980.0,1027.0,980.0,1027.0,70
143,SMB,2018-08-07.csv,1078.0,1129.0,1078.0,1129.0,110
149,SMB,2018-08-08.csv,1185.0,1241.0,1185.0,1241.0,360
149,SMB,2018-08-09.csv,1303.0,1365.0,1140.0,1143.0,"8,017"
148,SMB,2018-08-12.csv,1121.0,1121.0,1029.0,1029.0,80
144,SMB,2018-08-13.csv,1009.0,1009.0,927.0,927.0,120
147,SMB,2018-08-14.csv,909.0,927.0,835.0,910.0,"2,210"
152,SMB,2018-08-15.csv,892.0,909.0,875.0,903.0,"1,090"
153,SMB,2018-08-16.csv,905.0,925.0,890.0,896.0,"1,330"
147,SMB,2018-08-19.csv,880.0,880.0,864.0,864.0,570
147,SMB,2018-08-20.csv,850.0,850.0,815.0,823.0,750
148,SMB,2018-08-21.csv,815.0,817.0,791.0,812.0,430
140,SMB,2018-08-22.csv,800.0,815.0,800.0,804.0,430
146,SMB,2018-08-23.csv,820.0,820.0,792.0,792.0,240
135,SMB,2018-08-26.csv,779.0,794.0,777.0,790.0,665
142,SMB,2018-08-28.csv,780.0,788.0,769.0,788.0,"1,087"
150,SMB,2018-08-29.csv,773.0,800.0,772.0,800.0,910
154,SMB,2018-08-30.csv,800.0,820.0,800.0,806.0,344
151,SMB,2018-09-02.csv,815.0,815.0,784.0,802.0,479
156,SMB,2018-09-03.csv,818.0,845.0,802.0,820.0,950
160,SMB,2018-09-04.csv,836.0,836.0,805.0,810.0,100
154,SMB,2018-09-05.csv,815.0,839.0,814.0,814.0,830
159,SMB,2018-09-06.csv,820.0,850.0,820.0,822.0,"1,540"
153,SMB,2018-09-09.csv,807.0,822.0,807.0,810.0,130
151,SMB,2018-09-10.csv,810.0,888.0,810.0,888.0,"1,717"
155,SMB,2018-09-11.csv,902.0,920.0,882.0,899.0,"1,590"
153,SMB,2018-09-12.csv,915.0,915.0,883.0,905.0,560
161,SMB,2018-09-13.csv,887.0,905.0,887.0,890.0,80
154,SMB,2018-09-16.csv,890.0,900.0,873.0,900.0,200
153,SMB,2018-09-17.csv,883.0,883.0,882.0,882.0,40
156,SMB,2018-09-18.csv,899.0,899.0,866.0,875.0,214
153,SMB,2018-09-20.csv,875.0,875.0,861.0,865.0,80
153,SMB,2018-09-23.csv,863.0,888.0,855.0,872.0,320
160,SMB,2018-09-25.csv,889.0,889.0,888.0,889.0,40
158,SMB,2018-09-26.csv,872.0,872.0,855.0,861.0,70
156,SMB,2018-09-27.csv,861.0,879.0,860.0,860.0,175
154,SMB,2018-09-30.csv,852.0,852.0,824.0,842.0,200
154,SMB,2018-10-01.csv,858.0,858.0,827.0,827.0,160
159,SMB,2018-10-02.csv,827.0,839.0,817.0,817.0,110
153,SMB,2018-10-03.csv,802.0,830.0,802.0,816.0,170
154,SMB,2018-10-04.csv,801.0,836.0,801.0,821.0,"1,000"
149,SMB,2018-10-07.csv,837.0,837.0,806.0,837.0,870
150,SMB,2018-10-08.csv,821.0,837.0,808.0,820.0,300
149,SMB,2018-10-09.csv,805.0,814.0,802.0,802.0,210
149,SMB,2018-10-10.csv,800.0,801.0,791.0,801.0,130
151,SMB,2018-10-11.csv,800.0,810.0,790.0,810.0,190
147,SMB,2018-10-14.csv,801.0,826.0,801.0,807.0,330
140,SMB,2018-10-15.csv,795.0,803.0,795.0,803.0,70
147,SMB,2018-10-29.csv,803.0,803.0,762.0,763.0,150
150,SMB,2018-10-30.csv,752.0,767.0,752.0,755.0,160
151,SMB,2018-10-31.csv,741.0,745.0,724.0,729.0,813
149,SMB,2018-11-01.csv,729.0,755.0,729.0,755.0,"1,067"
143,SMB,2018-11-04.csv,740.0,748.0,734.0,735.0,90
143,SMB,2018-11-05.csv,735.0,763.0,735.0,751.0,183
88,SMB,2018-11-06.csv,751.0,735.0,735.0,730.0,10
114,SMB,2018-11-11.csv,730.0,744.0,730.0,744.0,10
120,SMB,2018-11-12.csv,750.0,758.0,743.0,743.0,260
136,SMB,2018-11-13.csv,743.0,743.0,743.0,743.0,40
135,SMB,2018-11-14.csv,729.0,757.0,729.0,757.0,80
145,SMB,2018-11-15.csv,750.0,750.0,742.0,742.0,150
133,SMB,2018-11-18.csv,743.0,750.0,699.0,699.0,150
138,SMB,2018-11-19.csv,688.0,700.0,688.0,691.0,80
134,SMB,2018-11-20.csv,691.0,691.0,685.0,690.0,110
139,SMB,2018-11-21.csv,690.0,703.0,682.0,686.0,80
