S.no,Symbol,Date,Open,High,Low,Close,Vol
158,SMFBS,2019-06-17.csv,276.0,281.0,276.0,281.0,20
158,SMFBS,2019-06-24.csv,295.0,295.0,295.0,295.0,10
153,SMFBS,2019-06-26.csv,309.0,309.0,309.0,309.0,10
157,SMFBS,2019-06-30.csv,324.0,339.0,324.0,339.0,70
155,SMFBS,2019-07-01.csv,355.0,355.0,355.0,355.0,10
158,SMFBS,2019-07-03.csv,372.0,379.0,372.0,379.0,20
161,SMFBS,2019-07-04.csv,397.0,416.0,397.0,416.0,50
157,SMFBS,2019-07-07.csv,436.0,457.0,436.0,457.0,"4,077"
156,SMFBS,2019-07-08.csv,479.0,490.0,450.0,465.0,"9,483"
151,SMFBS,2019-07-09.csv,464.0,479.0,461.0,478.0,"3,110"
154,SMFBS,2019-07-10.csv,470.0,475.0,464.0,465.0,"1,230"
158,SMFBS,2019-07-11.csv,459.0,469.0,459.0,466.0,"1,800"
145,SMFBS,2019-07-14.csv,466.0,470.0,462.0,465.0,"1,400"
156,SMFBS,2019-07-15.csv,470.0,475.0,465.0,472.0,850
148,SMFBS,2019-07-16.csv,472.0,480.0,465.0,471.0,550
150,SMFBS,2019-07-17.csv,464.0,479.0,464.0,475.0,770
144,SMFBS,2019-07-18.csv,475.0,484.0,473.0,473.0,360
150,SMFBS,2019-07-21.csv,465.0,499.0,465.0,499.0,"1,668"
152,SMFBS,2019-07-22.csv,493.0,520.0,484.0,493.0,895
154,SMFBS,2019-07-23.csv,517.0,517.0,481.0,494.0,"1,340"
155,SMFBS,2019-07-24.csv,487.0,519.0,487.0,519.0,"3,478"
155,SMFBS,2019-07-25.csv,510.0,531.0,494.0,516.0,"8,690"
153,SMFBS,2019-07-28.csv,523.0,523.0,497.0,503.0,"1,200"
151,SMFBS,2019-07-29.csv,510.0,550.0,510.0,550.0,"2,730"
157,SMFBS,2019-07-30.csv,561.0,597.0,544.0,597.0,"2,292"
153,SMFBS,2019-07-31.csv,597.0,656.0,590.0,656.0,"3,250"
153,SMFBS,2019-08-01.csv,669.0,721.0,664.0,721.0,"3,670"
155,SMFBS,2019-08-04.csv,757.0,793.0,756.0,793.0,"1,770"
154,SMFBS,2019-08-05.csv,808.0,872.0,780.0,825.0,"10,582"
154,SMFBS,2019-08-06.csv,815.0,815.0,743.0,749.0,"3,869"
157,SMFBS,2019-08-07.csv,735.0,810.0,690.0,805.0,"2,070"
152,SMFBS,2019-08-08.csv,789.0,793.0,750.0,793.0,530
151,SMFBS,2019-08-11.csv,808.0,872.0,808.0,837.0,"3,870"
