S.no,Symbol,Date,Open,High,Low,Close,Vol
131,SPDL,2017-05-17.csv,246.0,265.0,250.92,265.0,40
137,SPDL,2017-05-18.csv,265.0,291.0,278.0,291.0,45
137,SPDL,2017-05-21.csv,291.0,320.0,296.0,320.0,490
136,SPDL,2017-05-22.csv,320.0,352.0,326.0,352.0,"3,075"
138,SPDL,2017-05-23.csv,352.0,387.0,337.0,338.0,"60,115"
138,SPDL,2017-05-24.csv,338.0,335.0,316.0,329.0,"20,312"
137,SPDL,2017-05-28.csv,329.0,323.0,314.0,318.0,"8,829"
136,SPDL,2017-05-30.csv,318.0,324.0,292.0,299.0,"24,367"
133,SPDL,2017-05-31.csv,299.0,310.0,289.0,310.0,"14,943"
137,SPDL,2017-06-01.csv,310.0,309.0,294.0,298.0,"5,541"
131,SPDL,2017-06-04.csv,298.0,299.0,286.0,297.0,"4,147"
136,SPDL,2017-06-05.csv,297.0,302.0,288.0,291.0,"6,799"
137,SPDL,2017-06-06.csv,291.0,296.0,280.0,292.0,"18,296"
138,SPDL,2017-06-07.csv,292.0,291.0,278.0,280.0,"18,642"
137,SPDL,2017-06-08.csv,280.0,285.0,272.0,282.0,"7,726"
134,SPDL,2017-06-11.csv,282.0,287.0,269.0,272.0,"3,025"
127,SPDL,2017-06-12.csv,272.0,277.0,264.0,270.0,"3,103"
132,SPDL,2017-06-13.csv,270.0,272.0,258.0,261.0,"5,396"
136,SPDL,2017-06-14.csv,261.0,275.0,253.0,275.0,"5,417"
139,SPDL,2017-06-15.csv,275.0,275.0,266.0,266.0,"5,306"
132,SPDL,2017-06-18.csv,266.0,265.0,256.0,260.0,"2,859"
125,SPDL,2017-06-19.csv,260.0,267.0,247.0,255.0,"6,232"
130,SPDL,2017-06-20.csv,255.0,260.0,245.0,260.0,"2,615"
140,SPDL,2017-06-21.csv,260.0,265.0,249.0,265.0,"2,045"
128,SPDL,2017-06-22.csv,265.0,270.0,255.0,267.0,"1,747"
137,SPDL,2017-06-25.csv,267.0,270.0,253.0,258.0,"3,245"
139,SPDL,2017-06-27.csv,258.0,260.0,249.0,255.0,"2,025"
130,SPDL,2017-06-28.csv,255.0,256.0,250.0,253.0,"1,953"
136,SPDL,2017-07-02.csv,253.0,250.0,242.0,246.0,"3,408"
133,SPDL,2017-07-03.csv,246.0,250.0,241.0,241.0,"4,484"
