Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SRBL,404.0,420.0,411.0,412.0,6420
1/4/2016,SRBL,412.0,415.0,408.0,415.0,2162
1/5/2016,SRBL,415.0,415.0,406.0,406.0,4706
1/6/2016,SRBL,406.0,410.0,400.0,410.0,3830
1/7/2016,SRBL,410.0,418.0,410.0,412.0,11717
1/10/2016,SRBL,371.0,375.0,358.0,360.0,47846
1/12/2016,SRBL,360.0,384.0,361.0,380.0,4868
1/12/2016,SRBL,360.0,384.0,361.0,380.0,4868
1/13/2016,SRBL,380.0,385.0,374.0,374.0,775
1/14/2016,SRBL,374.0,389.0,371.0,389.0,3861
1/17/2016,SRBL,389.0,407.0,382.0,400.0,8357
1/18/2016,SRBL,400.0,404.0,396.0,404.0,27150
1/19/2016,SRBL,404.0,426.0,398.0,424.0,21010
1/20/2016,SRBL,424.0,431.0,421.0,427.0,14549
1/21/2016,SRBL,427.0,430.0,420.0,430.0,25270
1/24/2016,SRBL,430.0,443.0,433.0,441.0,30703
1/25/2016,SRBL,441.0,456.0,439.0,439.0,16233
1/26/2016,SRBL,439.0,436.0,427.0,427.0,7499
1/27/2016,SRBL,427.0,435.0,427.0,430.0,31789
1/28/2016,SRBL,430.0,434.0,429.0,429.0,10300
1/31/2016,SRBL,429.0,436.0,424.0,435.0,9917
2/1/2016,SRBL,435.0,438.0,430.0,438.0,17193
2/2/2016,SRBL,438.0,446.0,435.0,440.0,21191
2/3/2016,SRBL,440.0,445.0,436.0,439.0,2880
2/4/2016,SRBL,439.0,444.0,431.0,435.0,7276
2/7/2016,SRBL,435.0,442.0,426.0,435.0,7667
2/8/2016,SRBL,435.0,438.0,428.0,435.0,22104
2/11/2016,SRBL,435.0,438.0,426.0,431.0,5506
2/14/2016,SRBL,431.0,439.0,426.0,427.0,9153
2/15/2016,SRBL,427.0,438.0,417.0,438.0,13227
2/16/2016,SRBL,438.0,441.0,436.0,437.0,5849
2/17/2016,SRBL,437.0,441.0,434.0,440.0,24537
2/18/2016,SRBL,440.0,480.0,440.0,477.0,145350
2/21/2016,SRBL,477.0,500.0,477.0,484.0,89018
2/22/2016,SRBL,484.0,489.0,475.0,480.0,32644
2/23/2016,SRBL,480.0,480.0,468.0,470.0,7086
2/24/2016,SRBL,470.0,468.0,452.0,462.0,4045
2/25/2016,SRBL,462.0,468.0,442.0,464.0,7208
2/28/2016,SRBL,464.0,464.0,455.0,463.0,6644
2/29/2016,SRBL,463.0,458.0,451.0,451.0,6505
3/1/2016,SRBL,451.0,464.0,442.0,461.0,13479
3/2/2016,SRBL,461.0,462.0,455.0,460.0,9886
3/3/2016,SRBL,460.0,464.0,455.0,462.0,5385
3/6/2016,SRBL,462.0,465.0,450.0,465.0,15072
3/10/2016,SRBL,465.0,465.0,460.0,461.0,8051
3/13/2016,SRBL,461.0,460.0,450.0,460.0,7520
3/14/2016,SRBL,460.0,464.0,452.0,464.0,5116
3/15/2016,SRBL,464.0,464.0,456.0,456.0,7742
3/16/2016,SRBL,456.0,465.0,448.0,465.0,7794
3/17/2016,SRBL,465.0,470.0,464.0,464.0,8100
3/20/2016,SRBL,464.0,480.0,464.0,479.0,13890
3/21/2016,SRBL,479.0,480.0,472.0,475.0,5001
3/23/2016,SRBL,475.0,487.0,468.0,487.0,37788
3/24/2016,SRBL,487.0,500.0,487.0,495.0,37087
