S.no,Symbol,Date,Open,High,Low,Close,Vol
76,SRBLPO,2013-06-06.csv,101.0,101.0,101.0,101.0,"4,030"
88,SRBLPO,2013-10-02.csv,101.0,101.0,101.0,101.0,"9,375"
97,SRBLPO,2013-12-01.csv,100.0,100.0,100.0,100.0,"150,150"
106,SRBLPO,2015-03-29.csv,100.0,194.0,176.0,176.0,160
111,SRBLPO,2015-03-30.csv,176.0,173.0,159.0,159.0,120
116,SRBLPO,2015-03-31.csv,159.0,156.0,144.0,144.0,"127,193"
123,SRBLPO,2016-07-05.csv,362.0,362.0,362.0,362.0,"20,092"
122,SRBLPO,2016-11-30.csv,362.0,362.0,362.0,362.0,"4,670"
125,SRBLPO,2016-12-22.csv,362.0,362.0,362.0,362.0,"122,337"
129,SRBLPO,2017-03-05.csv,362.0,369.0,369.0,369.0,"65,000"
142,SRBLPO,2017-07-24.csv,370.0,370.0,370.0,370.0,"28,861"
143,SRBLPO,2017-07-31.csv,370.0,364.0,362.0,362.0,"45,922"
150,SRBLPO,2017-10-29.csv,362.0,362.0,362.0,362.0,"7,869"
150,SRBLPO,2017-10-31.csv,362.0,362.0,362.0,362.0,"9,514"
154,SRBLPO,2018-01-22.csv,362.0,365.0,365.0,365.0,"44,737"
160,SRBLPO,2018-07-04.csv,183.0,183.0,183.0,183.0,"49,687"
155,SRBLPO,2018-12-23.csv,165.0,165.0,165.0,165.0,"495,443"
164,SRBLPO,2019-05-08.csv,165.0,165.0,165.0,165.0,"19,666"
149,SRBLPO,2019-08-15.csv,165.0,165.0,165.0,165.0,"292,635"
165,SRBLPO,2019-11-11.csv,162.0,162.0,162.0,162.0,"17,748"
152,SRBLPO,2019-11-14.csv,162.0,162.0,162.0,162.0,"29,316"
