S.no,Symbol,Date,Open,High,Low,Close,Vol
123,SRS,2016-09-25.csv,100.0,100.0,100.0,100.0,"71,250"
108,SRS,2016-10-19.csv,100.0,100.0,100.0,100.0,"42,500"
119,SRS,2017-01-01.csv,100.0,100.0,100.0,100.0,"2,000"
115,SRS,2017-01-10.csv,100.0,104.0,102.0,102.0,"2,200"
116,SRS,2017-01-17.csv,102.0,104.0,104.0,104.0,"1,001"
125,SRS,2017-01-31.csv,104.0,114.0,106.0,114.0,"101,000"
133,SRS,2017-03-23.csv,114.0,118.0,116.0,118.0,20
142,SRS,2017-06-21.csv,118.0,120.0,120.0,120.0,"53,250"
153,SRS,2018-02-04.csv,120.0,122.0,122.0,122.0,10
148,SRS,2018-04-01.csv,124.0,124.0,124.0,124.0,10
157,SRS,2018-09-09.csv,126.0,128.0,126.0,128.0,20
157,SRS,2018-09-17.csv,130.0,132.0,130.0,132.0,20
148,SRS,2019-01-13.csv,134.0,136.0,134.0,136.0,40
160,SRS,2019-01-16.csv,142.0,142.0,142.0,142.0,20
133,SRS,2019-01-20.csv,149.0,149.0,149.0,149.0,40
152,SRS,2019-02-20.csv,156.0,163.0,156.0,163.0,60
161,SRS,2019-03-17.csv,171.0,177.0,171.0,177.0,30
161,SRS,2019-03-18.csv,185.0,185.0,185.0,185.0,100
150,SRS,2019-03-19.csv,194.0,194.0,194.0,194.0,20
160,SRS,2019-04-16.csv,203.0,203.0,203.0,203.0,10
165,SRS,2019-04-28.csv,213.0,217.0,213.0,217.0,60
160,SRS,2019-07-25.csv,227.0,227.0,227.0,227.0,10
156,SRS,2019-09-25.csv,231.0,231.0,231.0,231.0,10
151,SRS,2019-11-05.csv,235.0,235.0,235.0,235.0,"1,001"
150,SRS,2019-11-17.csv,239.0,239.0,239.0,239.0,200
165,SRS,2020-01-01.csv,243.0,247.0,243.0,247.0,80
160,SRS,2020-01-05.csv,251.0,266.0,251.0,266.0,40
