S.no,Symbol,Date,Open,High,Low,Close,Vol
81,STC,2012-02-01.csv,307.0,256.0,256.0,256.0,10
72,STC,2012-02-13.csv,256.0,261.0,261.0,261.0,10
93,STC,2012-09-13.csv,261.0,202.0,202.0,202.0,10
77,STC,2012-10-15.csv,202.0,218.0,206.0,218.0,57
75,STC,2012-10-17.csv,218.0,226.0,222.0,226.0,41
72,STC,2013-06-23.csv,226.0,209.0,209.0,209.0,36
95,STC,2013-09-05.csv,209.0,213.0,213.0,213.0,15
113,STC,2014-02-25.csv,213.0,217.0,217.0,217.0,108
110,STC,2014-03-20.csv,217.0,217.0,217.0,217.0,10
130,STC,2014-07-13.csv,197.0,204.0,200.0,204.0,167
124,STC,2014-11-20.csv,204.0,208.0,208.0,208.0,663
120,STC,2014-11-23.csv,208.0,212.0,212.0,212.0,72
127,STC,2015-03-02.csv,212.0,224.0,216.0,224.0,220
135,STC,2015-03-04.csv,224.0,235.0,235.0,235.0,"1,420"
115,STC,2015-04-23.csv,214.0,210.0,210.0,210.0,"21,279"
46,STC,2015-05-25.csv,210.0,220.0,220.0,220.0,"5,451"
135,STC,2015-07-22.csv,220.0,224.0,224.0,224.0,"14,553"
118,STC,2015-09-03.csv,224.0,228.0,228.0,228.0,"3,654"
107,STC,2015-09-29.csv,228.0,236.0,232.0,236.0,"4,305"
118,STC,2016-06-28.csv,205.0,215.0,215.0,215.0,450
113,STC,2016-11-21.csv,215.0,223.0,219.0,223.0,"1,195"
119,STC,2016-12-21.csv,223.0,231.0,227.0,231.0,37
119,STC,2017-01-19.csv,231.0,239.0,235.0,239.0,111
137,STC,2017-03-29.csv,239.0,251.0,243.0,251.0,"17,675"
133,STC,2017-04-03.csv,251.0,261.0,256.0,261.0,160
138,STC,2017-04-25.csv,261.0,276.0,266.0,276.0,562
138,STC,2017-05-11.csv,276.0,286.0,281.0,286.0,318
145,STC,2017-07-25.csv,238.0,246.0,242.0,246.0,"1,499"
152,STC,2017-11-06.csv,246.0,255.0,250.0,255.0,"1,468"
151,STC,2017-11-15.csv,255.0,0.0,0.0,0.0,1
147,STC,2017-11-26.csv,255.0,265.0,260.0,265.0,43
154,STC,2017-12-13.csv,265.0,270.0,270.0,270.0,100
154,STC,2018-02-04.csv,265.0,280.0,270.0,280.0,71
146,STC,2018-02-12.csv,280.0,308.0,285.0,308.0,"1,806"
153,STC,2018-05-27.csv,250.0,250.0,250.0,250.0,10
147,STC,2018-06-20.csv,255.0,255.0,255.0,255.0,1
149,STC,2018-07-16.csv,255.0,260.0,255.0,260.0,"1,913"
141,STC,2018-08-06.csv,265.0,270.0,265.0,270.0,201
153,STC,2018-08-09.csv,275.0,280.0,275.0,280.0,"1,778"
152,STC,2018-08-12.csv,285.0,290.0,285.0,290.0,190
152,STC,2018-08-21.csv,304.0,304.0,304.0,304.0,10
163,STC,2018-09-06.csv,319.0,319.0,319.0,319.0,10
158,STC,2018-09-17.csv,334.0,334.0,334.0,334.0,10
157,STC,2018-09-23.csv,350.0,364.0,350.0,364.0,496
158,STC,2018-09-30.csv,371.0,378.0,371.0,378.0,148
149,STC,2018-11-15.csv,415.0,415.0,415.0,415.0,10
144,STC,2019-01-02.csv,435.0,435.0,435.0,435.0,10
151,STC,2019-01-08.csv,456.0,456.0,456.0,456.0,10
148,STC,2019-01-14.csv,478.0,478.0,478.0,478.0,10
156,STC,2019-01-30.csv,501.0,501.0,501.0,501.0,10
163,STC,2019-05-06.csv,420.0,440.0,420.0,440.0,"1,403"
162,STC,2019-06-12.csv,462.0,484.0,462.0,484.0,"3,010"
161,STC,2019-07-08.csv,484.0,484.0,484.0,484.0,"62,000"
160,STC,2019-07-15.csv,484.0,484.0,484.0,484.0,"8,000"
158,STC,2019-07-31.csv,493.0,493.0,493.0,493.0,10
162,STC,2019-08-07.csv,517.0,527.0,517.0,527.0,20
156,STC,2019-08-11.csv,553.0,575.0,553.0,575.0,229
160,STC,2019-08-26.csv,603.0,603.0,603.0,603.0,10
159,STC,2019-09-16.csv,615.0,627.0,615.0,627.0,20
