S.no,Symbol,Date,Open,High,Low,Close,Vol
93,SUPRME,2012-10-09.csv,98.0,97.0,97.0,97.0,182
93,SUPRME,2012-10-11.csv,97.0,96.0,88.0,88.0,505
88,SUPRME,2012-10-14.csv,88.0,87.0,80.0,83.0,"1,882"
78,SUPRME,2012-10-15.csv,83.0,84.0,78.0,84.0,"4,647"
76,SUPRME,2012-10-17.csv,84.0,85.0,83.0,83.0,"2,710"
85,SUPRME,2012-10-18.csv,83.0,84.0,78.0,79.0,"22,035"
72,SUPRME,2012-10-30.csv,79.0,82.0,80.0,82.0,"1,258"
69,SUPRME,2012-10-31.csv,82.0,88.0,83.0,86.0,"2,215"
76,SUPRME,2012-11-01.csv,86.0,88.0,85.0,85.0,"5,136"
79,SUPRME,2012-11-04.csv,85.0,86.0,83.0,84.0,"4,403"
86,SUPRME,2012-11-05.csv,84.0,86.0,83.0,85.0,"14,294"
92,SUPRME,2012-11-06.csv,85.0,86.0,82.0,83.0,"8,443"
92,SUPRME,2012-11-07.csv,83.0,84.0,82.0,83.0,"13,183"
82,SUPRME,2012-11-08.csv,83.0,84.0,81.0,83.0,"7,627"
76,SUPRME,2012-11-11.csv,83.0,84.0,81.0,81.0,"12,273"
71,SUPRME,2012-11-12.csv,81.0,82.0,82.0,82.0,150
76,SUPRME,2012-11-18.csv,82.0,90.0,80.0,90.0,"5,137"
86,SUPRME,2012-11-20.csv,90.0,92.0,87.0,87.0,"1,552"
71,SUPRME,2012-11-21.csv,87.0,88.0,84.0,84.0,"27,522"
83,SUPRME,2012-11-22.csv,84.0,84.0,82.0,84.0,950
76,SUPRME,2012-11-25.csv,84.0,86.0,84.0,84.0,"3,862"
83,SUPRME,2012-11-26.csv,84.0,85.0,83.0,84.0,938
76,SUPRME,2012-11-27.csv,84.0,85.0,84.0,84.0,514
73,SUPRME,2012-11-28.csv,84.0,83.0,82.0,82.0,70
72,SUPRME,2012-11-29.csv,82.0,82.0,80.0,80.0,562
59,SUPRME,2012-12-02.csv,80.0,79.0,79.0,79.0,"2,304"
