S.no,Symbol,Date,Open,High,Low,Close,Vol
77,SUPRMP,2013-06-20.csv,0.0,100.0,100.0,100.0,"36,000"
98,SUPRMP,2013-09-05.csv,100.0,100.0,100.0,100.0,"1,000"
115,SUPRMP,2014-04-27.csv,100.0,100.0,100.0,100.0,"7,500"
112,SUPRMP,2014-12-29.csv,100.0,100.0,100.0,100.0,"102,000"
124,SUPRMP,2015-01-05.csv,100.0,101.0,101.0,101.0,"67,000"
129,SUPRMP,2015-03-18.csv,101.0,101.0,101.0,101.0,"14,508"
73,SUPRMP,2015-05-28.csv,101.0,101.0,101.0,101.0,"10,513"
138,SUPRMP,2015-07-22.csv,101.0,101.0,101.0,101.0,"14,437"
131,SUPRMP,2015-09-15.csv,101.0,100.0,100.0,100.0,"25,000"
126,SUPRMP,2015-09-16.csv,100.0,100.0,100.0,100.0,"10,000"
108,SUPRMP,2015-10-15.csv,100.0,100.0,100.0,100.0,"30,000"
107,SUPRMP,2015-11-26.csv,100.0,100.0,100.0,100.0,"18,000"
