Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SWBBL,1848.0,1953.0,1884.0,1949.0,3345
1/4/2016,SWBBL,1949.0,2025.0,1940.0,1940.0,3024
1/5/2016,SWBBL,1940.0,1975.0,1900.0,1910.0,1550
1/6/2016,SWBBL,1910.0,1900.0,1856.0,1857.0,1720
1/7/2016,SWBBL,1857.0,1940.0,1825.0,1920.0,1892
1/10/2016,SWBBL,1920.0,1910.0,1885.0,1910.0,1290
1/11/2016,SWBBL,1910.0,1910.0,1840.0,1870.0,3143
1/12/2016,SWBBL,1870.0,1938.0,1900.0,1938.0,2747
1/12/2016,SWBBL,1870.0,1938.0,1900.0,1938.0,2747
1/13/2016,SWBBL,1938.0,1975.0,1930.0,1960.0,1793
1/14/2016,SWBBL,1960.0,1989.0,1960.0,1985.0,1676
1/17/2016,SWBBL,1985.0,2000.0,1990.0,1991.0,1194
1/18/2016,SWBBL,1991.0,2020.0,1950.0,2001.0,2218
1/19/2016,SWBBL,2001.0,2000.0,1962.0,1983.0,927
1/20/2016,SWBBL,1983.0,2000.0,1990.0,2000.0,3309
1/21/2016,SWBBL,2000.0,2050.0,1981.0,2050.0,2813
1/24/2016,SWBBL,2050.0,2114.0,2060.0,2114.0,6099
1/25/2016,SWBBL,2114.0,2155.0,2030.0,2090.0,5453
1/26/2016,SWBBL,2090.0,2100.0,2050.0,2100.0,995
1/27/2016,SWBBL,2100.0,2100.0,2076.0,2076.0,2969
1/28/2016,SWBBL,2076.0,2081.0,2041.0,2065.0,570
1/31/2016,SWBBL,2065.0,2120.0,2075.0,2117.0,2011
2/1/2016,SWBBL,2117.0,2175.0,2140.0,2175.0,3194
2/2/2016,SWBBL,2175.0,2214.0,2186.0,2200.0,4551
2/3/2016,SWBBL,2200.0,2310.0,2215.0,2305.0,4791
2/4/2016,SWBBL,2305.0,2340.0,2254.0,2290.0,3602
2/7/2016,SWBBL,2290.0,2331.0,2196.0,2240.0,4756
2/8/2016,SWBBL,2240.0,2224.0,2181.0,2199.0,4281
