S.no,Symbol,Date,Open,High,Low,Close,Vol
69,TBBL,2012-01-04.csv,149.0,117.0,115.0,115.0,108
74,TBBL,2012-01-11.csv,115.0,116.0,116.0,116.0,27
66,TBBL,2012-01-16.csv,116.0,118.0,117.0,117.0,527
68,TBBL,2012-01-17.csv,117.0,116.0,116.0,116.0,46
67,TBBL,2012-01-18.csv,116.0,117.0,115.0,115.0,69
79,TBBL,2012-01-22.csv,115.0,113.0,111.0,111.0,262
81,TBBL,2012-01-23.csv,111.0,113.0,113.0,113.0,120
76,TBBL,2012-01-26.csv,113.0,111.0,111.0,111.0,160
77,TBBL,2012-01-29.csv,111.0,113.0,113.0,113.0,92
77,TBBL,2012-02-05.csv,113.0,114.0,114.0,114.0,27
78,TBBL,2012-02-06.csv,114.0,114.0,113.0,114.0,124
79,TBBL,2012-02-07.csv,114.0,114.0,113.0,114.0,608
74,TBBL,2012-02-13.csv,114.0,112.0,112.0,112.0,54
68,TBBL,2012-02-14.csv,112.0,115.0,113.0,115.0,739
76,TBBL,2012-02-15.csv,115.0,114.0,113.0,114.0,138
76,TBBL,2012-02-16.csv,114.0,114.0,113.0,114.0,131
77,TBBL,2012-02-23.csv,114.0,114.0,114.0,114.0,96
71,TBBL,2012-03-05.csv,114.0,114.0,114.0,114.0,27
79,TBBL,2012-03-06.csv,114.0,112.0,112.0,112.0,138
73,TBBL,2012-03-12.csv,112.0,112.0,110.0,112.0,125
78,TBBL,2012-03-13.csv,112.0,110.0,108.0,108.0,427
69,TBBL,2012-03-14.csv,108.0,106.0,106.0,106.0,20
63,TBBL,2012-03-15.csv,106.0,106.0,106.0,106.0,27
83,TBBL,2012-03-18.csv,106.0,106.0,105.0,105.0,217
78,TBBL,2012-03-19.csv,105.0,104.0,102.0,102.0,502
76,TBBL,2012-03-20.csv,102.0,105.0,103.0,105.0,227
70,TBBL,2012-03-26.csv,105.0,107.0,103.0,105.0,"1,334"
84,TBBL,2012-03-27.csv,105.0,112.0,107.0,112.0,860
79,TBBL,2012-03-28.csv,112.0,114.0,109.0,114.0,"2,782"
78,TBBL,2012-03-29.csv,114.0,114.0,114.0,114.0,30
78,TBBL,2012-04-01.csv,114.0,112.0,110.0,110.0,81
78,TBBL,2012-04-03.csv,110.0,112.0,112.0,112.0,100
79,TBBL,2012-04-04.csv,112.0,110.0,108.0,108.0,30
76,TBBL,2012-04-05.csv,108.0,108.0,108.0,108.0,"12,516"
74,TBBL,2012-04-08.csv,108.0,108.0,108.0,108.0,47
65,TBBL,2012-04-09.csv,108.0,110.0,110.0,110.0,81
68,TBBL,2012-04-10.csv,110.0,110.0,110.0,110.0,27
77,TBBL,2012-04-12.csv,110.0,112.0,110.0,112.0,50
74,TBBL,2012-04-15.csv,112.0,120.0,114.0,120.0,40
70,TBBL,2012-04-17.csv,120.0,122.0,122.0,122.0,27
76,TBBL,2012-04-18.csv,122.0,128.0,124.0,128.0,30
93,TBBL,2012-04-19.csv,128.0,134.0,130.0,132.0,159
79,TBBL,2012-04-22.csv,132.0,140.0,134.0,140.0,119
62,TBBL,2012-04-25.csv,140.0,144.0,142.0,144.0,20
91,TBBL,2012-04-26.csv,144.0,158.0,146.0,158.0,104
87,TBBL,2012-04-29.csv,158.0,173.0,161.0,173.0,522
84,TBBL,2012-04-30.csv,173.0,190.0,176.0,190.0,445
62,TBBL,2012-05-03.csv,190.0,193.0,193.0,193.0,46
64,TBBL,2012-05-08.csv,193.0,212.0,196.0,212.0,322
86,TBBL,2012-05-09.csv,212.0,220.0,212.0,220.0,131
84,TBBL,2012-05-10.csv,220.0,240.0,224.0,240.0,50
63,TBBL,2012-05-13.csv,240.0,236.0,236.0,236.0,10
75,TBBL,2012-05-17.csv,236.0,232.0,232.0,232.0,500
68,TBBL,2012-07-01.csv,232.0,228.0,228.0,228.0,50
79,TBBL,2012-07-17.csv,228.0,228.0,228.0,228.0,"1,095"
82,TBBL,2012-07-19.csv,228.0,224.0,224.0,224.0,"1,030"
83,TBBL,2012-08-12.csv,224.0,224.0,220.0,224.0,351
78,TBBL,2012-08-13.csv,224.0,220.0,208.0,208.0,40
88,TBBL,2012-08-27.csv,208.0,204.0,200.0,200.0,73
90,TBBL,2012-08-28.csv,200.0,196.0,180.0,180.0,"1,256"
83,TBBL,2012-08-29.csv,180.0,186.0,162.0,177.0,"1,747"
88,TBBL,2012-08-30.csv,177.0,177.0,160.0,160.0,941
88,TBBL,2012-09-02.csv,160.0,169.0,163.0,166.0,613
88,TBBL,2012-09-03.csv,166.0,169.0,169.0,169.0,100
87,TBBL,2012-09-04.csv,169.0,168.0,160.0,161.0,643
88,TBBL,2012-09-05.csv,161.0,162.0,155.0,158.0,"9,355"
87,TBBL,2012-09-06.csv,158.0,162.0,156.0,157.0,441
85,TBBL,2012-09-09.csv,157.0,155.0,145.0,151.0,227
91,TBBL,2012-09-10.csv,151.0,157.0,150.0,151.0,388
94,TBBL,2012-09-11.csv,151.0,152.0,152.0,152.0,31
89,TBBL,2012-09-12.csv,152.0,157.0,153.0,156.0,718
96,TBBL,2012-09-13.csv,156.0,160.0,156.0,157.0,"3,840"
88,TBBL,2012-09-16.csv,157.0,170.0,160.0,170.0,"1,000"
94,TBBL,2012-09-17.csv,170.0,174.0,171.0,174.0,85
87,TBBL,2012-09-20.csv,174.0,171.0,168.0,168.0,"10,027"
87,TBBL,2012-09-23.csv,168.0,180.0,171.0,177.0,621
86,TBBL,2012-09-24.csv,177.0,180.0,180.0,180.0,68
94,TBBL,2012-09-26.csv,180.0,177.0,174.0,174.0,66
95,TBBL,2012-10-03.csv,174.0,171.0,163.0,165.0,"2,146"
87,TBBL,2012-10-04.csv,165.0,180.0,165.0,177.0,"12,694"
91,TBBL,2012-10-07.csv,177.0,178.0,166.0,166.0,"2,850"
96,TBBL,2012-10-08.csv,166.0,168.0,162.0,162.0,"3,049"
78,TBBL,2012-11-18.csv,162.0,171.0,162.0,171.0,240
84,TBBL,2012-11-22.csv,171.0,177.0,174.0,177.0,245
78,TBBL,2012-11-25.csv,177.0,180.0,180.0,180.0,50
79,TBBL,2012-12-04.csv,180.0,178.0,178.0,178.0,63
71,TBBL,2012-12-12.csv,178.0,177.0,168.0,168.0,297
78,TBBL,2012-12-13.csv,168.0,168.0,168.0,168.0,31
76,TBBL,2012-12-17.csv,168.0,165.0,165.0,165.0,170
72,TBBL,2012-12-20.csv,165.0,165.0,165.0,165.0,90
70,TBBL,2012-12-31.csv,165.0,165.0,165.0,165.0,168
75,TBBL,2013-01-15.csv,165.0,168.0,168.0,168.0,24
82,TBBL,2013-01-24.csv,168.0,165.0,165.0,165.0,195
85,TBBL,2013-01-31.csv,165.0,162.0,162.0,162.0,43
70,TBBL,2013-02-03.csv,162.0,159.0,159.0,159.0,46
82,TBBL,2013-02-04.csv,159.0,160.0,160.0,160.0,45
81,TBBL,2013-02-05.csv,160.0,159.0,159.0,159.0,180
76,TBBL,2013-02-07.csv,159.0,156.0,156.0,156.0,41
86,TBBL,2013-02-14.csv,156.0,153.0,150.0,150.0,300
74,TBBL,2013-02-19.csv,150.0,150.0,150.0,150.0,30
76,TBBL,2013-02-24.csv,150.0,148.0,148.0,148.0,100
64,TBBL,2013-02-26.csv,148.0,146.0,146.0,146.0,300
81,TBBL,2013-02-27.csv,146.0,144.0,142.0,142.0,"1,423"
71,TBBL,2013-02-28.csv,142.0,140.0,136.0,138.0,527
78,TBBL,2013-03-03.csv,138.0,138.0,138.0,138.0,362
74,TBBL,2013-03-04.csv,138.0,141.0,140.0,141.0,173
80,TBBL,2013-03-07.csv,141.0,143.0,140.0,143.0,248
79,TBBL,2013-03-11.csv,143.0,146.0,143.0,146.0,423
78,TBBL,2013-03-17.csv,146.0,148.0,148.0,148.0,100
75,TBBL,2013-03-18.csv,148.0,155.0,150.0,152.0,"1,322"
81,TBBL,2013-03-19.csv,152.0,156.0,150.0,154.0,478
83,TBBL,2013-03-20.csv,154.0,157.0,152.0,154.0,"1,562"
81,TBBL,2013-03-21.csv,154.0,157.0,154.0,157.0,417
74,TBBL,2013-03-24.csv,157.0,157.0,154.0,157.0,451
75,TBBL,2013-03-25.csv,157.0,157.0,154.0,154.0,956
80,TBBL,2013-03-27.csv,154.0,151.0,151.0,151.0,161
78,TBBL,2013-04-01.csv,151.0,148.0,148.0,148.0,158
76,TBBL,2013-04-03.csv,148.0,146.0,146.0,146.0,180
80,TBBL,2013-04-04.csv,146.0,148.0,148.0,148.0,50
84,TBBL,2013-04-09.csv,148.0,146.0,146.0,146.0,27
78,TBBL,2013-04-16.csv,146.0,144.0,144.0,144.0,21
79,TBBL,2013-04-18.csv,144.0,145.0,142.0,145.0,104
71,TBBL,2013-04-21.csv,145.0,143.0,143.0,143.0,95
75,TBBL,2013-04-23.csv,143.0,145.0,144.0,145.0,125
72,TBBL,2013-04-25.csv,145.0,143.0,139.0,139.0,251
76,TBBL,2013-04-28.csv,139.0,137.0,135.0,135.0,222
81,TBBL,2013-04-30.csv,135.0,139.0,135.0,139.0,974
76,TBBL,2013-05-02.csv,139.0,147.0,141.0,147.0,592
70,TBBL,2013-05-05.csv,147.0,146.0,146.0,146.0,83
75,TBBL,2013-05-07.csv,146.0,144.0,142.0,142.0,210
75,TBBL,2013-05-08.csv,142.0,143.0,143.0,143.0,140
79,TBBL,2013-05-09.csv,143.0,143.0,143.0,143.0,250
82,TBBL,2013-05-12.csv,143.0,141.0,134.0,134.0,220
79,TBBL,2013-05-13.csv,134.0,139.0,134.0,139.0,351
70,TBBL,2013-05-14.csv,139.0,141.0,135.0,141.0,191
76,TBBL,2013-05-15.csv,141.0,141.0,141.0,141.0,24
70,TBBL,2013-05-16.csv,141.0,141.0,141.0,141.0,400
78,TBBL,2013-05-19.csv,141.0,139.0,134.0,136.0,488
83,TBBL,2013-05-20.csv,136.0,136.0,133.0,135.0,795
81,TBBL,2013-05-21.csv,135.0,139.0,137.0,139.0,140
79,TBBL,2013-05-22.csv,139.0,141.0,135.0,135.0,114
85,TBBL,2013-05-23.csv,135.0,139.0,137.0,137.0,197
77,TBBL,2013-05-26.csv,137.0,135.0,135.0,135.0,127
82,TBBL,2013-05-27.csv,135.0,133.0,133.0,133.0,70
76,TBBL,2013-05-30.csv,133.0,135.0,135.0,135.0,126
80,TBBL,2013-06-02.csv,135.0,135.0,135.0,135.0,35
81,TBBL,2013-06-03.csv,135.0,141.0,137.0,141.0,113
88,TBBL,2013-06-04.csv,141.0,146.0,143.0,145.0,249
77,TBBL,2013-06-05.csv,145.0,146.0,146.0,146.0,32
87,TBBL,2013-06-10.csv,146.0,144.0,144.0,144.0,70
75,TBBL,2013-06-11.csv,144.0,144.0,144.0,144.0,35
82,TBBL,2013-06-12.csv,144.0,142.0,140.0,140.0,233
83,TBBL,2013-06-13.csv,140.0,141.0,141.0,141.0,51
68,TBBL,2013-06-16.csv,141.0,145.0,143.0,145.0,96
73,TBBL,2013-06-17.csv,145.0,143.0,143.0,143.0,27
79,TBBL,2013-06-20.csv,143.0,145.0,138.0,143.0,"8,925"
73,TBBL,2013-06-23.csv,143.0,141.0,139.0,140.0,123
82,TBBL,2013-06-24.csv,140.0,142.0,142.0,142.0,20
77,TBBL,2013-06-25.csv,142.0,140.0,140.0,140.0,100
81,TBBL,2013-07-01.csv,140.0,138.0,133.0,133.0,279
90,TBBL,2013-07-02.csv,133.0,134.0,132.0,134.0,198
84,TBBL,2013-07-03.csv,134.0,134.0,132.0,132.0,320
81,TBBL,2013-07-04.csv,132.0,131.0,131.0,131.0,87
88,TBBL,2013-07-07.csv,131.0,133.0,133.0,133.0,16
86,TBBL,2013-07-09.csv,133.0,139.0,135.0,139.0,137
81,TBBL,2013-07-10.csv,139.0,141.0,141.0,141.0,69
74,TBBL,2013-07-14.csv,141.0,143.0,143.0,143.0,26
93,TBBL,2013-07-15.csv,143.0,142.0,141.0,142.0,64
76,TBBL,2013-07-16.csv,142.0,142.0,142.0,142.0,51
82,TBBL,2013-07-21.csv,142.0,140.0,140.0,140.0,100
92,TBBL,2013-07-22.csv,140.0,142.0,140.0,140.0,70
90,TBBL,2013-07-23.csv,140.0,145.0,142.0,145.0,331
85,TBBL,2013-07-24.csv,145.0,154.0,143.0,154.0,542
80,TBBL,2013-07-25.csv,154.0,163.0,154.0,163.0,323
92,TBBL,2013-07-30.csv,163.0,168.0,165.0,168.0,132
91,TBBL,2013-07-31.csv,168.0,171.0,171.0,171.0,61
93,TBBL,2013-08-01.csv,171.0,177.0,174.0,177.0,221
89,TBBL,2013-08-05.csv,177.0,180.0,177.0,180.0,428
90,TBBL,2013-08-06.csv,180.0,182.0,180.0,182.0,70
97,TBBL,2013-08-13.csv,182.0,179.0,179.0,179.0,35
98,TBBL,2013-08-14.csv,179.0,176.0,162.0,162.0,381
108,TBBL,2013-08-15.csv,162.0,171.0,165.0,171.0,130
95,TBBL,2013-08-18.csv,171.0,168.0,165.0,165.0,110
101,TBBL,2013-08-19.csv,165.0,162.0,157.0,157.0,235
108,TBBL,2013-08-20.csv,157.0,167.0,157.0,167.0,"1,190"
108,TBBL,2013-08-25.csv,167.0,173.0,167.0,173.0,437
104,TBBL,2013-08-26.csv,173.0,170.0,167.0,167.0,70
104,TBBL,2013-08-27.csv,167.0,170.0,170.0,170.0,253
99,TBBL,2013-08-29.csv,170.0,176.0,168.0,176.0,414
104,TBBL,2013-09-01.csv,176.0,185.0,176.0,185.0,670
104,TBBL,2013-09-02.csv,185.0,185.0,182.0,182.0,242
103,TBBL,2013-09-03.csv,182.0,183.0,180.0,180.0,473
91,TBBL,2013-09-08.csv,180.0,177.0,177.0,177.0,641
95,TBBL,2013-09-09.csv,177.0,178.0,177.0,178.0,102
109,TBBL,2013-09-10.csv,178.0,181.0,173.0,173.0,"1,808"
104,TBBL,2013-09-11.csv,173.0,182.0,175.0,175.0,911
92,TBBL,2013-09-12.csv,175.0,187.0,175.0,184.0,660
107,TBBL,2013-09-15.csv,184.0,184.0,178.0,180.0,"5,403"
98,TBBL,2013-09-16.csv,180.0,186.0,183.0,183.0,380
104,TBBL,2013-09-17.csv,183.0,181.0,175.0,175.0,"28,591"
97,TBBL,2013-09-19.csv,175.0,183.0,177.0,183.0,"7,444"
103,TBBL,2013-09-22.csv,164.0,165.0,165.0,165.0,77
80,TBBL,2013-10-20.csv,165.0,165.0,165.0,165.0,"20,000"
89,TBBL,2013-10-24.csv,165.0,165.0,165.0,165.0,70
88,TBBL,2013-10-27.csv,165.0,173.0,167.0,173.0,618
89,TBBL,2013-10-28.csv,173.0,170.0,170.0,170.0,35
96,TBBL,2013-10-29.csv,170.0,170.0,170.0,170.0,540
88,TBBL,2013-10-30.csv,170.0,167.0,167.0,167.0,69
91,TBBL,2013-10-31.csv,167.0,167.0,165.0,165.0,142
77,TBBL,2013-11-06.csv,165.0,168.0,168.0,168.0,35
89,TBBL,2013-11-07.csv,168.0,171.0,171.0,171.0,311
84,TBBL,2013-11-11.csv,171.0,168.0,168.0,168.0,175
84,TBBL,2013-11-12.csv,168.0,165.0,165.0,165.0,93
91,TBBL,2013-11-13.csv,165.0,162.0,156.0,159.0,"1,240"
94,TBBL,2013-11-14.csv,159.0,159.0,159.0,159.0,35
93,TBBL,2013-11-25.csv,134.0,140.0,136.0,140.0,75
96,TBBL,2013-11-26.csv,140.0,148.0,142.0,148.0,311
100,TBBL,2013-11-28.csv,148.0,153.0,150.0,153.0,123
101,TBBL,2013-12-01.csv,153.0,156.0,156.0,156.0,10
106,TBBL,2013-12-03.csv,156.0,168.0,159.0,168.0,160
115,TBBL,2013-12-05.csv,168.0,184.0,171.0,184.0,197
109,TBBL,2013-12-08.csv,184.0,188.0,182.0,188.0,"1,675"
106,TBBL,2013-12-09.csv,188.0,197.0,191.0,194.0,158
111,TBBL,2013-12-10.csv,194.0,200.0,197.0,200.0,318
110,TBBL,2013-12-11.csv,200.0,212.0,204.0,212.0,322
108,TBBL,2013-12-12.csv,212.0,212.0,208.0,208.0,247
99,TBBL,2013-12-15.csv,208.0,214.0,210.0,210.0,330
90,TBBL,2013-12-16.csv,210.0,210.0,210.0,210.0,200
94,TBBL,2013-12-18.csv,210.0,214.0,214.0,214.0,155
99,TBBL,2013-12-19.csv,214.0,220.0,218.0,220.0,435
109,TBBL,2013-12-22.csv,220.0,220.0,217.0,220.0,"5,487"
99,TBBL,2013-12-23.csv,224.0,224.0,224.0,224.0,10
104,TBBL,2013-12-24.csv,224.0,228.0,227.0,228.0,197
104,TBBL,2013-12-26.csv,228.0,240.0,230.0,240.0,455
98,TBBL,2013-12-29.csv,240.0,244.0,240.0,240.0,205
101,TBBL,2014-01-05.csv,240.0,236.0,236.0,236.0,51
98,TBBL,2014-01-06.csv,236.0,257.0,240.0,257.0,220
99,TBBL,2014-01-08.csv,257.0,262.0,252.0,262.0,50
104,TBBL,2014-01-12.csv,262.0,262.0,252.0,262.0,"2,602"
104,TBBL,2014-01-13.csv,262.0,282.0,257.0,277.0,"1,369"
106,TBBL,2014-01-14.csv,277.0,285.0,265.0,285.0,"2,578"
101,TBBL,2014-01-16.csv,285.0,300.0,280.0,300.0,"12,875"
110,TBBL,2014-01-20.csv,300.0,307.0,290.0,295.0,"3,169"
111,TBBL,2014-01-21.csv,295.0,306.0,300.0,306.0,40
116,TBBL,2014-01-22.csv,306.0,323.0,311.0,323.0,"19,073"
115,TBBL,2014-01-23.csv,323.0,323.0,316.0,317.0,"10,255"
