S.no,Symbol,Date,Open,High,Low,Close,Vol
82,TDBL,2012-08-22.csv,0.0,180.0,177.0,179.0,140
71,TDBL,2012-10-31.csv,179.0,171.0,165.0,165.0,40
78,TDBL,2012-11-01.csv,165.0,162.0,153.0,153.0,80
81,TDBL,2012-11-04.csv,153.0,150.0,143.0,143.0,80
79,TDBL,2012-11-25.csv,143.0,136.0,134.0,134.0,40
75,TDBL,2012-11-28.csv,134.0,128.0,124.0,124.0,60
61,TDBL,2012-12-02.csv,124.0,122.0,122.0,122.0,10
80,TDBL,2012-12-04.csv,122.0,120.0,120.0,120.0,20
78,TDBL,2012-12-05.csv,120.0,118.0,110.0,110.0,"2,000"
80,TDBL,2012-12-06.csv,110.0,111.0,102.0,108.0,"9,975"
79,TDBL,2012-12-09.csv,108.0,109.0,102.0,108.0,"4,489"
69,TDBL,2012-12-10.csv,108.0,106.0,103.0,104.0,"5,930"
72,TDBL,2012-12-11.csv,104.0,106.0,104.0,106.0,"4,650"
72,TDBL,2012-12-12.csv,106.0,106.0,104.0,106.0,"2,279"
79,TDBL,2012-12-13.csv,106.0,106.0,104.0,104.0,"1,520"
74,TDBL,2012-12-16.csv,104.0,108.0,106.0,108.0,"1,600"
77,TDBL,2012-12-17.csv,108.0,110.0,107.0,110.0,"5,392"
74,TDBL,2012-12-18.csv,110.0,110.0,106.0,108.0,"11,140"
79,TDBL,2012-12-19.csv,108.0,106.0,98.0,100.0,"13,398"
73,TDBL,2012-12-20.csv,100.0,104.0,101.0,103.0,"4,789"
76,TDBL,2012-12-23.csv,103.0,102.0,101.0,101.0,"1,050"
77,TDBL,2012-12-24.csv,101.0,101.0,100.0,101.0,700
78,TDBL,2012-12-26.csv,101.0,105.0,102.0,103.0,"2,056"
75,TDBL,2012-12-27.csv,103.0,105.0,103.0,103.0,850
71,TDBL,2012-12-31.csv,103.0,103.0,101.0,103.0,"2,370"
73,TDBL,2013-01-01.csv,103.0,101.0,99.0,100.0,"3,630"
76,TDBL,2013-01-02.csv,100.0,100.0,99.0,99.0,"1,590"
75,TDBL,2013-01-03.csv,99.0,99.0,98.0,98.0,"3,450"
78,TDBL,2013-01-06.csv,98.0,97.0,96.0,96.0,"1,540"
75,TDBL,2013-01-07.csv,96.0,98.0,96.0,97.0,"1,460"
68,TDBL,2013-01-09.csv,97.0,96.0,96.0,96.0,120
73,TDBL,2013-01-10.csv,96.0,96.0,96.0,96.0,"1,200"
75,TDBL,2013-01-13.csv,96.0,95.0,94.0,95.0,"1,958"
76,TDBL,2013-01-15.csv,95.0,94.0,93.0,94.0,"3,840"
72,TDBL,2013-01-16.csv,94.0,93.0,91.0,92.0,"3,606"
81,TDBL,2013-01-17.csv,92.0,92.0,92.0,92.0,600
67,TDBL,2013-01-20.csv,92.0,92.0,91.0,91.0,890
77,TDBL,2013-01-22.csv,91.0,92.0,91.0,91.0,710
79,TDBL,2013-01-23.csv,91.0,90.0,90.0,90.0,570
83,TDBL,2013-01-24.csv,90.0,92.0,91.0,92.0,320
79,TDBL,2013-01-28.csv,91.0,91.0,90.0,91.0,"1,590"
79,TDBL,2013-01-30.csv,91.0,92.0,91.0,91.0,"1,969"
86,TDBL,2013-01-31.csv,91.0,92.0,91.0,92.0,756
71,TDBL,2013-02-03.csv,92.0,93.0,93.0,93.0,"1,839"
83,TDBL,2013-02-04.csv,93.0,92.0,92.0,92.0,300
82,TDBL,2013-02-05.csv,92.0,92.0,92.0,92.0,410
72,TDBL,2013-02-06.csv,92.0,92.0,91.0,91.0,300
77,TDBL,2013-02-07.csv,91.0,93.0,92.0,93.0,280
78,TDBL,2013-02-10.csv,93.0,93.0,92.0,92.0,"2,339"
82,TDBL,2013-02-13.csv,92.0,94.0,92.0,94.0,"1,720"
87,TDBL,2013-02-14.csv,94.0,95.0,95.0,95.0,"3,020"
75,TDBL,2013-02-19.csv,95.0,94.0,94.0,94.0,100
81,TDBL,2013-02-20.csv,94.0,95.0,95.0,95.0,836
75,TDBL,2013-02-21.csv,95.0,96.0,95.0,96.0,"1,050"
77,TDBL,2013-02-24.csv,96.0,99.0,97.0,98.0,"3,100"
74,TDBL,2013-02-25.csv,98.0,100.0,98.0,100.0,"4,640"
65,TDBL,2013-02-26.csv,100.0,101.0,98.0,101.0,"4,975"
82,TDBL,2013-02-27.csv,101.0,103.0,100.0,103.0,"1,390"
79,TDBL,2013-03-03.csv,103.0,102.0,101.0,101.0,"1,540"
75,TDBL,2013-03-04.csv,101.0,102.0,99.0,99.0,"1,286"
80,TDBL,2013-03-05.csv,99.0,99.0,99.0,99.0,"1,390"
77,TDBL,2013-03-06.csv,99.0,100.0,97.0,99.0,"2,380"
81,TDBL,2013-03-07.csv,99.0,100.0,99.0,99.0,"1,550"
80,TDBL,2013-03-11.csv,99.0,100.0,98.0,98.0,"2,400"
79,TDBL,2013-03-13.csv,98.0,100.0,99.0,99.0,"1,159"
74,TDBL,2013-03-14.csv,99.0,102.0,99.0,99.0,610
79,TDBL,2013-03-17.csv,99.0,98.0,97.0,97.0,690
76,TDBL,2013-03-18.csv,97.0,97.0,97.0,97.0,980
82,TDBL,2013-03-19.csv,97.0,96.0,95.0,95.0,"1,530"
84,TDBL,2013-03-20.csv,95.0,95.0,95.0,95.0,550
75,TDBL,2013-03-24.csv,95.0,96.0,95.0,96.0,100
