S.no,Symbol,Date,Open,High,Low,Close,Vol
162,TMDBL,2019-09-24.csv,161.0,161.0,149.0,158.0,"4,359"
158,TMDBL,2019-09-25.csv,161.0,161.0,147.0,147.0,"6,240"
157,TMDBL,2019-09-26.csv,145.0,147.0,142.0,146.0,"3,161"
148,TMDBL,2019-09-29.csv,147.0,151.0,147.0,147.0,696
148,TMDBL,2019-09-30.csv,149.0,155.0,148.0,155.0,"1,120"
155,TMDBL,2019-10-01.csv,158.0,158.0,151.0,151.0,"2,540"
151,TMDBL,2019-10-02.csv,148.0,150.0,147.0,147.0,"1,480"
145,TMDBL,2019-10-03.csv,149.0,151.0,148.0,151.0,"1,148"
146,TMDBL,2019-10-14.csv,152.0,152.0,150.0,150.0,166
144,TMDBL,2019-10-15.csv,149.0,149.0,148.0,149.0,"2,912"
145,TMDBL,2019-10-16.csv,151.0,151.0,148.0,149.0,440
147,TMDBL,2019-10-17.csv,148.0,150.0,147.0,147.0,"1,396"
122,TMDBL,2019-10-20.csv,149.0,151.0,148.0,148.0,330
137,TMDBL,2019-10-21.csv,150.0,151.0,148.0,149.0,693
146,TMDBL,2019-10-22.csv,150.0,150.0,148.0,150.0,440
145,TMDBL,2019-10-23.csv,153.0,153.0,147.0,149.0,"2,459"
146,TMDBL,2019-10-24.csv,149.0,152.0,149.0,150.0,"1,282"
146,TMDBL,2019-10-31.csv,150.0,150.0,150.0,150.0,"1,300"
153,TMDBL,2019-11-03.csv,148.0,150.0,148.0,150.0,264
155,TMDBL,2019-11-04.csv,150.0,150.0,148.0,148.0,"1,610"
154,TMDBL,2019-11-05.csv,150.0,153.0,150.0,152.0,122
152,TMDBL,2019-11-06.csv,149.0,149.0,146.0,147.0,"3,460"
154,TMDBL,2019-11-07.csv,147.0,148.0,146.0,148.0,"3,002"
155,TMDBL,2019-11-10.csv,146.0,147.0,146.0,147.0,221
152,TMDBL,2019-11-12.csv,145.0,146.0,143.0,146.0,736
144,TMDBL,2019-11-13.csv,146.0,150.0,146.0,148.0,796
155,TMDBL,2019-11-14.csv,148.0,150.0,147.0,147.0,"1,724"
153,TMDBL,2019-11-17.csv,145.0,146.0,144.0,144.0,"2,363"
149,TMDBL,2019-11-18.csv,144.0,146.0,143.0,145.0,"2,458"
154,TMDBL,2019-11-19.csv,144.0,144.0,143.0,143.0,"1,203"
157,TMDBL,2019-11-20.csv,144.0,144.0,143.0,144.0,"1,454"
157,TMDBL,2019-11-21.csv,143.0,143.0,143.0,143.0,"1,070"
154,TMDBL,2019-11-24.csv,142.0,142.0,141.0,141.0,"2,689"
159,TMDBL,2019-11-25.csv,143.0,143.0,142.0,142.0,498
156,TMDBL,2019-11-26.csv,142.0,142.0,139.0,139.0,"9,131"
157,TMDBL,2019-11-27.csv,141.0,143.0,141.0,143.0,"2,237"
158,TMDBL,2019-11-28.csv,143.0,143.0,141.0,142.0,"1,643"
153,TMDBL,2019-12-01.csv,140.0,141.0,138.0,141.0,"3,374"
155,TMDBL,2019-12-02.csv,139.0,139.0,138.0,138.0,"1,820"
162,TMDBL,2019-12-03.csv,140.0,142.0,140.0,141.0,400
160,TMDBL,2019-12-04.csv,143.0,144.0,143.0,144.0,170
159,TMDBL,2019-12-05.csv,145.0,147.0,145.0,145.0,"1,004"
163,TMDBL,2019-12-08.csv,143.0,145.0,141.0,145.0,"4,421"
164,TMDBL,2019-12-09.csv,147.0,147.0,146.0,146.0,80
161,TMDBL,2019-12-10.csv,145.0,145.0,143.0,143.0,"2,217"
163,TMDBL,2019-12-11.csv,145.0,147.0,143.0,145.0,"6,576"
158,TMDBL,2019-12-12.csv,146.0,146.0,145.0,146.0,"3,518"
