S.no,Symbol,Date,Open,High,Low,Close,Vol
72,TNBL,2012-01-01.csv,92.0,92.0,91.0,92.0,120
72,TNBL,2012-01-03.csv,92.0,93.0,92.0,92.0,200
63,TNBL,2012-01-08.csv,92.0,92.0,92.0,92.0,10
68,TNBL,2012-01-09.csv,92.0,92.0,91.0,92.0,90
64,TNBL,2012-01-10.csv,92.0,93.0,91.0,93.0,370
75,TNBL,2012-01-11.csv,93.0,94.0,94.0,94.0,20
73,TNBL,2012-01-12.csv,94.0,94.0,93.0,94.0,20
67,TNBL,2012-01-16.csv,94.0,95.0,94.0,94.0,120
69,TNBL,2012-01-17.csv,94.0,96.0,95.0,96.0,150
68,TNBL,2012-01-18.csv,96.0,97.0,97.0,97.0,620
80,TNBL,2012-01-22.csv,97.0,99.0,98.0,99.0,860
82,TNBL,2012-01-23.csv,99.0,104.0,100.0,104.0,480
67,TNBL,2012-01-25.csv,104.0,105.0,104.0,105.0,80
77,TNBL,2012-01-26.csv,105.0,106.0,106.0,106.0,140
78,TNBL,2012-01-29.csv,106.0,106.0,106.0,106.0,160
84,TNBL,2012-01-31.csv,106.0,108.0,104.0,106.0,960
84,TNBL,2012-02-01.csv,106.0,105.0,103.0,103.0,240
78,TNBL,2012-02-02.csv,103.0,103.0,100.0,100.0,550
78,TNBL,2012-02-05.csv,100.0,100.0,98.0,100.0,240
79,TNBL,2012-02-06.csv,100.0,100.0,100.0,100.0,210
80,TNBL,2012-02-07.csv,100.0,99.0,99.0,99.0,150
75,TNBL,2012-02-08.csv,99.0,100.0,99.0,100.0,410
62,TNBL,2012-02-09.csv,100.0,99.0,99.0,99.0,140
81,TNBL,2012-02-12.csv,99.0,99.0,98.0,99.0,400
75,TNBL,2012-02-13.csv,99.0,99.0,98.0,99.0,880
69,TNBL,2012-02-14.csv,99.0,100.0,100.0,100.0,20
77,TNBL,2012-02-15.csv,100.0,100.0,100.0,100.0,190
77,TNBL,2012-02-16.csv,100.0,98.0,98.0,98.0,180
72,TNBL,2012-02-21.csv,98.0,100.0,99.0,100.0,150
81,TNBL,2012-02-26.csv,100.0,100.0,99.0,100.0,160
84,TNBL,2012-02-27.csv,100.0,100.0,99.0,99.0,650
67,TNBL,2012-02-28.csv,99.0,100.0,97.0,99.0,"1,870"
73,TNBL,2012-03-01.csv,99.0,98.0,97.0,98.0,440
77,TNBL,2012-03-04.csv,98.0,98.0,97.0,98.0,190
72,TNBL,2012-03-05.csv,98.0,98.0,97.0,98.0,330
80,TNBL,2012-03-06.csv,98.0,98.0,98.0,98.0,180
75,TNBL,2012-03-11.csv,98.0,99.0,99.0,99.0,20
74,TNBL,2012-03-12.csv,99.0,99.0,99.0,99.0,60
79,TNBL,2012-03-13.csv,99.0,99.0,99.0,99.0,110
70,TNBL,2012-03-14.csv,99.0,99.0,98.0,98.0,110
64,TNBL,2012-03-15.csv,98.0,98.0,98.0,98.0,60
79,TNBL,2012-03-19.csv,98.0,99.0,99.0,99.0,20
