Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,TRH,209.0,217.0,213.0,217.0,30
1/4/2016,TRH,217.0,221.0,213.0,216.0,1550
1/6/2016,TRH,216.0,220.0,220.0,220.0,10
1/7/2016,TRH,220.0,224.0,216.0,216.0,360
1/10/2016,TRH,216.0,221.0,220.0,220.0,2600
1/11/2016,TRH,220.0,216.0,216.0,216.0,10
1/12/2016,TRH,216.0,212.0,212.0,212.0,40
1/12/2016,TRH,216.0,212.0,212.0,212.0,40
1/19/2016,TRH,212.0,220.0,213.0,218.0,1490
1/20/2016,TRH,218.0,230.0,222.0,230.0,2070
1/21/2016,TRH,230.0,227.0,226.0,226.0,390
1/24/2016,TRH,226.0,222.0,220.0,220.0,40
1/25/2016,TRH,220.0,218.0,218.0,218.0,40
1/26/2016,TRH,218.0,218.0,214.0,214.0,1310
1/27/2016,TRH,214.0,215.0,215.0,215.0,150
1/28/2016,TRH,215.0,219.0,216.0,216.0,1200
1/31/2016,TRH,216.0,220.0,216.0,220.0,1400
2/1/2016,TRH,220.0,225.0,223.0,223.0,2280
2/2/2016,TRH,223.0,235.0,222.0,222.0,4620
2/3/2016,TRH,222.0,222.0,220.0,220.0,1010
2/4/2016,TRH,220.0,224.0,224.0,224.0,300
2/7/2016,TRH,224.0,224.0,223.0,223.0,1100
2/11/2016,TRH,223.0,223.0,223.0,223.0,30
2/14/2016,TRH,223.0,220.0,220.0,220.0,100
2/15/2016,TRH,220.0,220.0,219.0,220.0,90
2/16/2016,TRH,220.0,220.0,216.0,217.0,160
2/18/2016,TRH,217.0,222.0,218.0,222.0,250
2/21/2016,TRH,222.0,221.0,216.0,220.0,2900
2/22/2016,TRH,220.0,220.0,216.0,216.0,4650
2/23/2016,TRH,216.0,216.0,213.0,215.0,2480
2/24/2016,TRH,215.0,212.0,212.0,212.0,20
2/25/2016,TRH,212.0,212.0,208.0,212.0,1750
2/28/2016,TRH,212.0,214.0,210.0,210.0,540
2/29/2016,TRH,210.0,218.0,210.0,218.0,1056
3/1/2016,TRH,218.0,214.0,214.0,214.0,30
3/2/2016,TRH,214.0,211.0,209.0,209.0,1540
3/3/2016,TRH,209.0,209.0,205.0,209.0,320
3/6/2016,TRH,209.0,209.0,209.0,209.0,20
3/10/2016,TRH,209.0,229.0,205.0,227.0,4392
3/13/2016,TRH,227.0,223.0,223.0,223.0,10
3/15/2016,TRH,223.0,220.0,219.0,220.0,1650
3/16/2016,TRH,220.0,225.0,218.0,225.0,3100
3/17/2016,TRH,225.0,226.0,221.0,223.0,1520
3/20/2016,TRH,223.0,235.0,227.0,231.0,1850
3/21/2016,TRH,231.0,235.0,230.0,234.0,2000
3/23/2016,TRH,234.0,230.0,227.0,227.0,920
3/24/2016,TRH,227.0,231.0,227.0,227.0,7160
3/27/2016,TRH,227.0,227.0,227.0,227.0,6940
3/28/2016,TRH,227.0,225.0,224.0,225.0,50
3/29/2016,TRH,225.0,230.0,226.0,230.0,5470
3/30/2016,TRH,230.0,233.0,233.0,233.0,170
3/31/2016,TRH,233.0,232.0,232.0,232.0,20
4/4/2016,TRH,232.0,232.0,226.0,226.0,910
4/5/2016,TRH,226.0,222.0,220.0,220.0,620
4/10/2016,TRH,220.0,220.0,216.0,218.0,1750
4/11/2016,TRH,218.0,214.0,213.0,213.0,30
4/12/2016,TRH,213.0,210.0,210.0,210.0,10
4/14/2016,TRH,210.0,214.0,214.0,214.0,40
4/17/2016,TRH,214.0,220.0,218.0,220.0,220
4/18/2016,TRH,220.0,220.0,216.0,218.0,1740
4/20/2016,TRH,218.0,214.0,214.0,214.0,40
4/21/2016,TRH,214.0,218.0,214.0,214.0,410
4/25/2016,TRH,214.0,224.0,214.0,224.0,1580
4/26/2016,TRH,224.0,224.0,220.0,224.0,230
4/27/2016,TRH,224.0,244.0,228.0,240.0,32820
4/28/2016,TRH,240.0,264.0,242.0,264.0,20160
5/2/2016,TRH,264.0,265.0,241.0,241.0,2640
5/3/2016,TRH,241.0,245.0,237.0,238.0,2180
5/4/2016,TRH,238.0,234.0,234.0,234.0,20
5/5/2016,TRH,234.0,234.0,230.0,230.0,1000
5/8/2016,TRH,230.0,235.0,230.0,234.0,870
5/10/2016,TRH,234.0,234.0,230.0,234.0,1050
5/11/2016,TRH,234.0,233.0,230.0,233.0,1130
5/12/2016,TRH,233.0,232.0,226.0,230.0,1010
5/15/2016,TRH,230.0,228.0,228.0,228.0,200
5/16/2016,TRH,228.0,234.0,229.0,230.0,650
5/17/2016,TRH,230.0,226.0,222.0,225.0,20970
5/18/2016,TRH,225.0,247.0,221.0,247.0,4490
5/19/2016,TRH,247.0,256.0,234.0,246.0,12260
5/22/2016,TRH,246.0,243.0,238.0,238.0,750
5/23/2016,TRH,238.0,242.0,238.0,240.0,3000
5/24/2016,TRH,240.0,240.0,237.0,240.0,120
5/25/2016,TRH,240.0,236.0,228.0,230.0,980
5/26/2016,TRH,230.0,234.0,230.0,230.0,740
5/29/2016,TRH,230.0,229.0,223.0,223.0,2280
5/30/2016,TRH,223.0,235.0,227.0,235.0,410
5/31/2016,TRH,235.0,240.0,237.0,237.0,1120
6/1/2016,TRH,237.0,240.0,236.0,237.0,8110
6/2/2016,TRH,237.0,243.0,235.0,235.0,3830
6/5/2016,TRH,235.0,235.0,231.0,231.0,190
6/6/2016,TRH,231.0,227.0,227.0,227.0,500
6/7/2016,TRH,227.0,234.0,223.0,234.0,210
6/8/2016,TRH,234.0,238.0,234.0,234.0,770
6/9/2016,TRH,234.0,238.0,234.0,234.0,180
6/12/2016,TRH,234.0,239.0,231.0,239.0,3570
6/13/2016,TRH,239.0,235.0,235.0,235.0,40
6/14/2016,TRH,235.0,233.0,231.0,233.0,1290
6/15/2016,TRH,233.0,232.0,229.0,229.0,20
6/16/2016,TRH,229.0,233.0,230.0,230.0,750
6/19/2016,TRH,230.0,253.0,234.0,253.0,17000
6/20/2016,TRH,253.0,263.0,248.0,255.0,6920
6/21/2016,TRH,255.0,253.0,247.0,250.0,2150
6/22/2016,TRH,250.0,245.0,243.0,245.0,340
6/23/2016,TRH,245.0,249.0,234.0,249.0,6680
6/26/2016,TRH,249.0,250.0,241.0,245.0,7060
6/27/2016,TRH,245.0,241.0,241.0,241.0,20
6/28/2016,TRH,241.0,250.0,237.0,245.0,7600
6/29/2016,TRH,245.0,249.0,237.0,249.0,12320
6/30/2016,TRH,249.0,259.0,243.0,247.0,2670
7/3/2016,TRH,247.0,255.0,247.0,255.0,130
7/4/2016,TRH,255.0,250.0,242.0,243.0,3580
7/5/2016,TRH,243.0,253.0,239.0,253.0,3750
7/6/2016,TRH,253.0,258.0,245.0,245.0,3000
7/10/2016,TRH,245.0,263.0,249.0,250.0,6030
7/11/2016,TRH,250.0,249.0,245.0,249.0,1450
7/12/2016,TRH,249.0,245.0,245.0,245.0,340
7/13/2016,TRH,245.0,265.0,245.0,256.0,722110
7/14/2016,TRH,256.0,256.0,250.0,256.0,3130
7/17/2016,TRH,256.0,266.0,261.0,261.0,1020
7/18/2016,TRH,261.0,256.0,251.0,256.0,290
7/19/2016,TRH,256.0,271.0,252.0,255.0,5660
7/20/2016,TRH,255.0,260.0,250.0,260.0,4210
7/21/2016,TRH,260.0,269.0,260.0,265.0,26610
7/25/2016,TRH,265.0,280.0,260.0,275.0,4450
7/26/2016,TRH,275.0,302.0,276.0,302.0,13610
7/27/2016,TRH,302.0,332.0,308.0,332.0,30598
7/28/2016,TRH,332.0,365.0,326.0,353.0,29630
7/31/2016,TRH,353.0,350.0,327.0,334.0,9490
8/1/2016,TRH,334.0,340.0,319.0,324.0,4170
8/2/2016,TRH,324.0,320.0,312.0,312.0,2280
8/3/2016,TRH,312.0,312.0,293.0,298.0,2480
8/4/2016,TRH,298.0,297.0,285.0,285.0,4850
8/7/2016,TRH,285.0,300.0,283.0,283.0,5450
8/8/2016,TRH,283.0,278.0,273.0,273.0,50
8/9/2016,TRH,273.0,272.0,270.0,272.0,1720
8/10/2016,TRH,272.0,283.0,277.0,283.0,750
8/11/2016,TRH,283.0,310.0,288.0,295.0,7760
8/14/2016,TRH,295.0,295.0,280.0,280.0,650
8/15/2016,TRH,280.0,275.0,265.0,275.0,1240
8/16/2016,TRH,275.0,282.0,271.0,282.0,510
8/17/2016,TRH,282.0,292.0,280.0,290.0,1160
8/21/2016,TRH,290.0,295.0,288.0,295.0,440
8/22/2016,TRH,295.0,290.0,275.0,275.0,1160
8/23/2016,TRH,275.0,270.0,270.0,270.0,20
8/24/2016,TRH,270.0,275.0,275.0,275.0,116
8/28/2016,TRH,275.0,280.0,275.0,275.0,250
8/29/2016,TRH,275.0,290.0,277.0,290.0,1970
8/30/2016,TRH,290.0,295.0,290.0,290.0,60
8/31/2016,TRH,290.0,285.0,283.0,283.0,800
9/1/2016,TRH,283.0,297.0,287.0,287.0,3210
9/3/2016,TRH,287.0,290.0,280.0,280.0,450
9/4/2016,TRH,287.0,290.0,280.0,280.0,450
9/5/2016,TRH,280.0,277.0,277.0,277.0,150
9/6/2016,TRH,277.0,282.0,277.0,282.0,210
9/7/2016,TRH,282.0,277.0,275.0,277.0,550
9/8/2016,TRH,277.0,277.0,272.0,275.0,690
9/11/2016,TRH,275.0,275.0,270.0,271.0,280
9/12/2016,TRH,271.0,285.0,275.0,279.0,4530
9/14/2016,TRH,279.0,284.0,279.0,280.0,100
9/18/2016,TRH,280.0,278.0,278.0,278.0,5000
9/20/2016,TRH,278.0,277.0,277.0,277.0,1000
9/21/2016,TRH,277.0,290.0,280.0,282.0,2660
9/22/2016,TRH,282.0,278.0,277.0,277.0,150
9/26/2016,TRH,277.0,272.0,267.0,267.0,650
9/27/2016,TRH,267.0,270.0,267.0,270.0,2040
