S.no,Symbol,Date,Open,High,Low,Close,Vol
73,UBBL,2012-01-01.csv,68.0,69.0,68.0,68.0,150
68,UBBL,2012-01-02.csv,68.0,68.0,68.0,68.0,20
73,UBBL,2012-01-03.csv,68.0,68.0,67.0,68.0,70
70,UBBL,2012-01-04.csv,68.0,68.0,68.0,68.0,50
63,UBBL,2012-01-05.csv,68.0,67.0,67.0,67.0,10
69,UBBL,2012-01-09.csv,67.0,68.0,68.0,68.0,50
65,UBBL,2012-01-10.csv,67.0,67.0,66.0,66.0,50
76,UBBL,2012-01-11.csv,66.0,69.0,67.0,69.0,410
74,UBBL,2012-01-12.csv,69.0,69.0,68.0,69.0,30
69,UBBL,2012-01-18.csv,69.0,70.0,70.0,70.0,60
81,UBBL,2012-01-22.csv,70.0,70.0,68.0,68.0,120
83,UBBL,2012-01-23.csv,68.0,68.0,68.0,68.0,20
78,UBBL,2012-01-26.csv,68.0,69.0,67.0,69.0,140
79,UBBL,2012-01-29.csv,69.0,71.0,70.0,71.0,150
85,UBBL,2012-02-01.csv,71.0,73.0,72.0,73.0,50
79,UBBL,2012-02-02.csv,73.0,75.0,73.0,74.0,240
80,UBBL,2012-02-06.csv,74.0,73.0,73.0,73.0,30
82,UBBL,2012-02-07.csv,73.0,74.0,73.0,74.0,180
76,UBBL,2012-02-08.csv,74.0,78.0,75.0,78.0,570
63,UBBL,2012-02-09.csv,78.0,79.0,79.0,79.0,100
82,UBBL,2012-02-12.csv,79.0,81.0,80.0,81.0,260
76,UBBL,2012-02-13.csv,81.0,87.0,82.0,86.0,280
70,UBBL,2012-02-14.csv,86.0,88.0,86.0,88.0,260
78,UBBL,2012-02-16.csv,88.0,87.0,87.0,87.0,80
80,UBBL,2012-02-23.csv,87.0,88.0,88.0,88.0,50
82,UBBL,2012-02-26.csv,88.0,90.0,88.0,90.0,90
86,UBBL,2012-02-27.csv,90.0,92.0,91.0,92.0,90
68,UBBL,2012-02-28.csv,92.0,94.0,93.0,94.0,160
75,UBBL,2012-02-29.csv,94.0,93.0,89.0,89.0,600
74,UBBL,2012-03-01.csv,89.0,88.0,87.0,88.0,"1,110"
78,UBBL,2012-03-04.csv,88.0,87.0,87.0,87.0,100
74,UBBL,2012-03-05.csv,87.0,86.0,85.0,85.0,20
76,UBBL,2012-03-12.csv,85.0,85.0,84.0,84.0,40
80,UBBL,2012-03-13.csv,84.0,83.0,83.0,83.0,20
71,UBBL,2012-03-14.csv,83.0,84.0,84.0,84.0,80
84,UBBL,2012-03-18.csv,84.0,85.0,85.0,85.0,20
81,UBBL,2012-03-19.csv,85.0,84.0,84.0,84.0,30
78,UBBL,2012-03-20.csv,84.0,84.0,82.0,82.0,190
77,UBBL,2012-03-21.csv,82.0,82.0,82.0,82.0,180
75,UBBL,2012-03-25.csv,82.0,81.0,81.0,81.0,52
72,UBBL,2012-03-26.csv,81.0,80.0,80.0,80.0,10
87,UBBL,2012-03-27.csv,80.0,81.0,81.0,81.0,10
82,UBBL,2012-03-28.csv,81.0,82.0,82.0,82.0,10
80,UBBL,2012-03-29.csv,82.0,81.0,81.0,81.0,20
81,UBBL,2012-04-01.csv,81.0,82.0,81.0,82.0,50
83,UBBL,2012-04-02.csv,82.0,83.0,83.0,83.0,10
80,UBBL,2012-04-03.csv,83.0,84.0,84.0,84.0,600
81,UBBL,2012-04-04.csv,84.0,85.0,84.0,84.0,80
78,UBBL,2012-04-05.csv,84.0,84.0,83.0,83.0,330
76,UBBL,2012-04-08.csv,83.0,84.0,84.0,84.0,100
69,UBBL,2012-04-09.csv,84.0,85.0,85.0,85.0,132
70,UBBL,2012-04-11.csv,85.0,86.0,86.0,86.0,120
78,UBBL,2012-04-12.csv,86.0,85.0,85.0,85.0,20
