S.no,Symbol,Date,Open,High,Low,Close,Vol
68,UFCL,2012-01-25.csv,184.0,181.0,178.0,178.0,128
79,UFCL,2012-01-26.csv,178.0,175.0,169.0,169.0,118
78,UFCL,2012-02-15.csv,169.0,166.0,163.0,163.0,108
87,UFCL,2012-02-27.csv,163.0,160.0,147.0,147.0,204
69,UFCL,2012-02-28.csv,147.0,145.0,145.0,145.0,325
76,UFCL,2012-02-29.csv,145.0,143.0,135.0,135.0,204
81,UFCL,2012-03-06.csv,135.0,133.0,123.0,123.0,330
76,UFCL,2012-03-11.csv,123.0,121.0,111.0,111.0,283
77,UFCL,2012-03-12.csv,111.0,109.0,103.0,103.0,215
81,UFCL,2012-03-13.csv,103.0,101.0,99.0,99.0,"1,745"
66,UFCL,2012-03-15.csv,99.0,98.0,98.0,98.0,10
79,UFCL,2012-03-20.csv,98.0,97.0,94.0,94.0,277
83,UFCL,2012-03-28.csv,94.0,94.0,93.0,94.0,42
71,UFCL,2012-04-11.csv,94.0,93.0,91.0,92.0,677
79,UFCL,2012-04-12.csv,92.0,91.0,90.0,90.0,428
75,UFCL,2012-04-15.csv,90.0,91.0,91.0,91.0,291
72,UFCL,2012-04-17.csv,91.0,98.0,92.0,98.0,244
77,UFCL,2012-04-18.csv,98.0,104.0,96.0,104.0,370
95,UFCL,2012-04-19.csv,104.0,107.0,105.0,105.0,982
92,UFCL,2012-04-26.csv,105.0,109.0,107.0,107.0,70
86,UFCL,2012-04-30.csv,107.0,105.0,105.0,105.0,43
43,UFCL,2012-05-02.csv,105.0,103.0,103.0,103.0,115
41,UFCL,2012-05-16.csv,103.0,101.0,101.0,101.0,315
76,UFCL,2012-05-17.csv,101.0,103.0,103.0,103.0,38
76,UFCL,2012-05-22.csv,103.0,101.0,98.0,101.0,493
78,UFCL,2012-05-24.csv,101.0,100.0,99.0,100.0,89
69,UFCL,2012-05-27.csv,100.0,98.0,98.0,98.0,28
47,UFCL,2012-05-29.csv,98.0,97.0,97.0,97.0,59
47,UFCL,2012-05-30.csv,97.0,97.0,97.0,97.0,38
51,UFCL,2012-05-31.csv,97.0,98.0,97.0,97.0,124
70,UFCL,2012-07-01.csv,97.0,97.0,95.0,95.0,354
80,UFCL,2012-07-02.csv,95.0,94.0,94.0,94.0,59
71,UFCL,2012-07-05.csv,94.0,100.0,93.0,100.0,"3,881"
75,UFCL,2012-07-09.csv,100.0,102.0,102.0,102.0,20
81,UFCL,2012-07-11.csv,102.0,112.0,104.0,112.0,142
80,UFCL,2012-07-18.csv,112.0,112.0,112.0,112.0,180
79,UFCL,2012-08-06.csv,112.0,110.0,110.0,110.0,59
77,UFCL,2012-08-19.csv,110.0,108.0,108.0,108.0,14
95,UFCL,2012-09-19.csv,108.0,106.0,102.0,102.0,112
95,UFCL,2012-09-26.csv,102.0,108.0,100.0,108.0,163
176,UFCL,2012-10-01.csv,108.0,106.0,106.0,106.0,30
177,UFCL,2012-10-01.csv,108.0,106.0,106.0,106.0,30
89,UFCL,2012-10-02.csv,106.0,114.0,106.0,114.0,101
97,UFCL,2012-10-03.csv,114.0,116.0,116.0,116.0,10
96,UFCL,2012-10-09.csv,116.0,114.0,114.0,114.0,30
73,UFCL,2012-10-31.csv,114.0,112.0,112.0,112.0,33
88,UFCL,2012-11-20.csv,112.0,118.0,114.0,118.0,60
73,UFCL,2012-11-21.csv,118.0,120.0,120.0,120.0,20
77,UFCL,2012-12-23.csv,120.0,118.0,118.0,118.0,16
80,UFCL,2013-01-06.csv,118.0,120.0,120.0,120.0,10
81,UFCL,2013-01-28.csv,108.0,106.0,98.0,98.0,95
82,UFCL,2013-01-30.csv,98.0,97.0,96.0,96.0,692
74,UFCL,2013-02-03.csv,96.0,95.0,90.0,90.0,307
86,UFCL,2013-02-04.csv,90.0,96.0,91.0,96.0,259
85,UFCL,2013-02-05.csv,96.0,98.0,97.0,98.0,54
79,UFCL,2013-02-07.csv,98.0,99.0,99.0,99.0,20
74,UFCL,2013-02-12.csv,99.0,99.0,98.0,99.0,712
84,UFCL,2013-02-20.csv,99.0,102.0,98.0,102.0,90
77,UFCL,2013-02-21.csv,102.0,104.0,102.0,104.0,169
87,UFCL,2013-03-20.csv,104.0,102.0,100.0,100.0,21
78,UFCL,2013-04-02.csv,100.0,98.0,98.0,98.0,30
79,UFCL,2013-04-15.csv,98.0,97.0,96.0,97.0,365
79,UFCL,2013-04-16.csv,97.0,96.0,89.0,90.0,240
75,UFCL,2013-04-17.csv,90.0,89.0,89.0,89.0,20
81,UFCL,2013-04-18.csv,89.0,88.0,88.0,88.0,18
81,UFCL,2013-05-09.csv,88.0,87.0,87.0,87.0,30
73,UFCL,2013-05-16.csv,87.0,95.0,86.0,95.0,238
80,UFCL,2013-05-19.csv,95.0,104.0,96.0,104.0,254
90,UFCL,2013-06-10.csv,104.0,104.0,104.0,104.0,30
74,UFCL,2013-06-23.csv,104.0,102.0,100.0,100.0,41
85,UFCL,2013-06-26.csv,100.0,98.0,97.0,97.0,120
84,UFCL,2013-07-04.csv,97.0,96.0,96.0,96.0,30
76,UFCL,2013-07-14.csv,96.0,105.0,95.0,105.0,"10,841"
82,UFCL,2013-07-17.csv,105.0,107.0,101.0,101.0,73
83,UFCL,2013-07-21.csv,101.0,102.0,102.0,102.0,20
83,UFCL,2013-07-25.csv,102.0,100.0,93.0,94.0,190
95,UFCL,2013-07-29.csv,94.0,98.0,95.0,98.0,80
94,UFCL,2013-07-30.csv,98.0,102.0,99.0,102.0,"1,650"
95,UFCL,2013-08-01.csv,102.0,100.0,100.0,100.0,59
91,UFCL,2013-08-05.csv,100.0,98.0,98.0,98.0,59
108,UFCL,2013-08-26.csv,98.0,98.0,98.0,98.0,30
104,UFCL,2013-09-04.csv,98.0,106.0,99.0,106.0,"2,456"
103,UFCL,2013-09-05.csv,106.0,108.0,102.0,108.0,824
94,UFCL,2013-09-08.csv,108.0,108.0,108.0,108.0,"1,000"
99,UFCL,2013-09-09.csv,108.0,106.0,103.0,105.0,"2,147"
105,UFCL,2013-09-22.csv,105.0,103.0,103.0,103.0,669
91,UFCL,2013-09-23.csv,103.0,101.0,101.0,101.0,90
98,UFCL,2013-09-24.csv,101.0,100.0,98.0,98.0,755
93,UFCL,2013-09-26.csv,98.0,97.0,97.0,97.0,340
103,UFCL,2013-09-29.csv,97.0,98.0,98.0,98.0,89
92,UFCL,2013-10-02.csv,98.0,100.0,99.0,100.0,152
81,UFCL,2013-10-06.csv,100.0,99.0,98.0,98.0,166
87,UFCL,2013-10-08.csv,98.0,100.0,98.0,100.0,"1,533"
79,UFCL,2013-10-10.csv,100.0,100.0,100.0,100.0,147
59,UFCL,2013-10-17.csv,100.0,110.0,102.0,108.0,351
83,UFCL,2013-10-20.csv,108.0,114.0,110.0,114.0,470
87,UFCL,2013-11-11.csv,114.0,112.0,110.0,110.0,238
87,UFCL,2013-11-12.csv,110.0,110.0,106.0,110.0,"1,344"
54,UFCL,2013-11-21.csv,110.0,112.0,112.0,112.0,446
91,UFCL,2013-11-24.csv,112.0,110.0,110.0,110.0,30
97,UFCL,2013-11-25.csv,110.0,112.0,112.0,112.0,570
99,UFCL,2013-11-26.csv,112.0,112.0,112.0,112.0,66
100,UFCL,2013-11-27.csv,112.0,110.0,110.0,110.0,323
103,UFCL,2013-11-28.csv,110.0,108.0,106.0,106.0,281
104,UFCL,2013-12-01.csv,106.0,108.0,108.0,108.0,204
103,UFCL,2013-12-02.csv,108.0,106.0,106.0,106.0,30
109,UFCL,2013-12-09.csv,106.0,104.0,102.0,102.0,300
114,UFCL,2013-12-11.csv,102.0,102.0,102.0,102.0,20
112,UFCL,2013-12-12.csv,102.0,100.0,100.0,100.0,100
108,UFCL,2013-12-26.csv,100.0,102.0,102.0,102.0,68
96,UFCL,2014-01-01.csv,102.0,102.0,100.0,102.0,207
89,UFCL,2014-01-02.csv,102.0,100.0,100.0,100.0,100
109,UFCL,2014-01-14.csv,100.0,99.0,98.0,99.0,170
104,UFCL,2014-01-16.csv,99.0,102.0,99.0,102.0,184
118,UFCL,2014-01-23.csv,102.0,100.0,100.0,100.0,118
121,UFCL,2014-01-26.csv,100.0,110.0,100.0,110.0,"2,182"
117,UFCL,2014-01-27.csv,110.0,116.0,112.0,116.0,661
115,UFCL,2014-01-29.csv,116.0,120.0,118.0,118.0,246
114,UFCL,2014-02-02.csv,118.0,116.0,112.0,112.0,567
113,UFCL,2014-02-03.csv,112.0,112.0,110.0,110.0,154
122,UFCL,2014-02-09.csv,110.0,108.0,106.0,106.0,448
106,UFCL,2014-02-10.csv,106.0,105.0,105.0,105.0,100
121,UFCL,2014-02-12.csv,105.0,108.0,106.0,108.0,54
118,UFCL,2014-02-13.csv,108.0,112.0,110.0,112.0,73
116,UFCL,2014-02-16.csv,112.0,110.0,108.0,108.0,60
125,UFCL,2014-02-17.csv,108.0,106.0,106.0,106.0,30
125,UFCL,2014-02-18.csv,106.0,108.0,108.0,108.0,80
119,UFCL,2014-04-13.csv,108.0,106.0,104.0,104.0,148
117,UFCL,2014-04-15.csv,104.0,105.0,105.0,105.0,100
119,UFCL,2014-04-17.csv,105.0,103.0,103.0,103.0,88
122,UFCL,2014-04-22.csv,103.0,101.0,101.0,101.0,90
127,UFCL,2014-04-28.csv,101.0,108.0,103.0,108.0,564
125,UFCL,2014-04-29.csv,108.0,110.0,110.0,110.0,30
124,UFCL,2014-04-30.csv,110.0,111.0,111.0,111.0,88
128,UFCL,2014-05-13.csv,111.0,109.0,109.0,109.0,85
240,UFCL,2014-05-15.csv,109.0,109.0,109.0,109.0,30
241,UFCL,2014-05-15.csv,109.0,109.0,109.0,109.0,30
130,UFCL,2014-05-18.csv,109.0,109.0,109.0,109.0,123
123,UFCL,2014-05-19.csv,109.0,109.0,108.0,108.0,106
132,UFCL,2014-05-20.csv,108.0,109.0,109.0,109.0,279
130,UFCL,2014-05-25.csv,109.0,109.0,107.0,109.0,425
136,UFCL,2014-05-28.csv,109.0,107.0,107.0,107.0,134
134,UFCL,2014-06-09.csv,107.0,108.0,108.0,108.0,293
135,UFCL,2014-06-10.csv,108.0,108.0,107.0,108.0,444
132,UFCL,2014-06-12.csv,108.0,109.0,109.0,109.0,78
138,UFCL,2014-06-18.csv,109.0,109.0,109.0,109.0,30
131,UFCL,2014-06-19.csv,109.0,109.0,108.0,109.0,239
126,UFCL,2014-06-24.csv,109.0,107.0,107.0,107.0,30
125,UFCL,2014-06-29.csv,107.0,117.0,109.0,117.0,154
131,UFCL,2014-06-30.csv,117.0,128.0,119.0,128.0,222
142,UFCL,2014-07-01.csv,128.0,137.0,126.0,137.0,"1,263"
130,UFCL,2014-07-02.csv,137.0,135.0,135.0,135.0,230
134,UFCL,2014-07-03.csv,135.0,137.0,136.0,137.0,190
151,UFCL,2014-07-07.csv,137.0,138.0,136.0,138.0,324
137,UFCL,2014-07-09.csv,138.0,136.0,136.0,136.0,354
136,UFCL,2014-07-10.csv,136.0,135.0,130.0,135.0,978
138,UFCL,2014-07-13.csv,135.0,137.0,133.0,137.0,"1,531"
135,UFCL,2014-07-14.csv,137.0,139.0,139.0,139.0,100
134,UFCL,2014-07-15.csv,139.0,138.0,135.0,138.0,544
147,UFCL,2014-07-17.csv,138.0,138.0,138.0,138.0,59
142,UFCL,2014-07-20.csv,138.0,140.0,140.0,140.0,433
140,UFCL,2014-07-21.csv,140.0,146.0,140.0,145.0,"1,292"
145,UFCL,2014-07-22.csv,145.0,151.0,147.0,148.0,500
146,UFCL,2014-07-23.csv,148.0,162.0,150.0,162.0,820
147,UFCL,2014-07-24.csv,162.0,178.0,165.0,178.0,"1,966"
137,UFCL,2014-07-27.csv,178.0,175.0,175.0,175.0,87
118,UFCL,2014-07-28.csv,175.0,172.0,172.0,172.0,89
148,UFCL,2014-07-30.csv,172.0,172.0,169.0,172.0,60
145,UFCL,2014-07-31.csv,172.0,169.0,163.0,163.0,154
