S.no,Symbol,Date,Open,High,Low,Close,Vol
144,UMHL,2017-05-30.csv,100.0,329.0,305.0,329.0,50
141,UMHL,2017-05-31.csv,329.0,361.0,335.0,361.0,178
144,UMHL,2017-06-01.csv,361.0,397.0,368.0,397.0,"4,061"
138,UMHL,2017-06-04.csv,397.0,434.0,384.0,423.0,"49,071"
144,UMHL,2017-06-05.csv,423.0,421.0,407.0,419.0,"21,293"
145,UMHL,2017-06-06.csv,419.0,425.0,411.0,417.0,"25,537"
146,UMHL,2017-06-07.csv,417.0,420.0,408.0,408.0,"13,821"
145,UMHL,2017-06-08.csv,408.0,412.0,399.0,404.0,"26,653"
142,UMHL,2017-06-11.csv,404.0,401.0,391.0,391.0,"5,763"
135,UMHL,2017-06-12.csv,391.0,391.0,385.0,386.0,"7,224"
140,UMHL,2017-06-13.csv,386.0,395.0,380.0,391.0,"5,391"
144,UMHL,2017-06-14.csv,391.0,390.0,385.0,388.0,"7,302"
146,UMHL,2017-06-15.csv,388.0,396.0,382.0,382.0,"8,263"
140,UMHL,2017-06-18.csv,382.0,385.0,375.0,378.0,"4,470"
133,UMHL,2017-06-19.csv,378.0,380.0,362.0,363.0,"4,189"
138,UMHL,2017-06-20.csv,363.0,374.0,356.0,374.0,"2,483"
149,UMHL,2017-06-21.csv,374.0,374.0,363.0,369.0,"1,679"
136,UMHL,2017-06-22.csv,369.0,372.0,365.0,367.0,"1,763"
145,UMHL,2017-06-25.csv,367.0,375.0,360.0,369.0,"2,346"
147,UMHL,2017-06-27.csv,369.0,367.0,360.0,360.0,"3,500"
137,UMHL,2017-06-28.csv,360.0,365.0,358.0,359.0,"2,711"
144,UMHL,2017-07-02.csv,359.0,353.0,345.0,346.0,"2,447"
141,UMHL,2017-07-03.csv,346.0,353.0,345.0,345.0,"4,070"
139,UMHL,2017-07-04.csv,345.0,350.0,341.0,341.0,"1,804"
135,UMHL,2017-07-05.csv,341.0,344.0,336.0,340.0,"3,798"
145,UMHL,2017-07-06.csv,340.0,352.0,341.0,342.0,"2,097"
144,UMHL,2017-07-09.csv,342.0,344.0,336.0,337.0,"3,039"
145,UMHL,2017-07-10.csv,337.0,338.0,331.0,331.0,"5,720"
145,UMHL,2017-07-11.csv,331.0,344.0,330.0,339.0,"5,026"
149,UMHL,2017-07-12.csv,339.0,354.0,334.0,352.0,"4,177"
146,UMHL,2017-07-13.csv,352.0,347.0,341.0,341.0,"3,008"
145,UMHL,2017-07-16.csv,341.0,341.0,335.0,336.0,"1,372"
150,UMHL,2017-07-17.csv,336.0,345.0,333.0,340.0,"1,888"
152,UMHL,2017-07-18.csv,340.0,348.0,337.0,345.0,"1,647"
151,UMHL,2017-07-19.csv,345.0,363.0,340.0,344.0,"2,661"
151,UMHL,2017-07-20.csv,344.0,344.0,333.0,340.0,"5,354"
148,UMHL,2017-07-23.csv,340.0,340.0,334.0,336.0,"2,588"
149,UMHL,2017-07-24.csv,336.0,340.0,334.0,337.0,"1,995"
152,UMHL,2017-07-25.csv,337.0,340.0,335.0,337.0,"1,489"
153,UMHL,2017-07-26.csv,337.0,345.0,340.0,345.0,"6,312"
146,UMHL,2017-07-27.csv,345.0,350.0,330.0,344.0,"2,004"
149,UMHL,2017-07-30.csv,344.0,344.0,335.0,337.0,"2,321"
