S.no,Symbol,Date,Open,High,Low,Close,Vol
169,UNHPL,2019-06-12.csv,150.0,150.0,150.0,150.0,50
169,UNHPL,2019-06-17.csv,143.0,143.0,143.0,143.0,50
172,UNHPL,2019-06-18.csv,136.0,136.0,136.0,136.0,40
166,UNHPL,2019-07-02.csv,130.0,130.0,128.0,128.0,100
169,UNHPL,2019-07-03.csv,122.0,122.0,122.0,122.0,50
172,UNHPL,2019-07-04.csv,116.0,116.0,114.0,114.0,150
161,UNHPL,2019-07-21.csv,109.0,109.0,103.0,103.0,130
165,UNHPL,2019-07-23.csv,101.0,101.0,99.0,99.0,20
165,UNHPL,2019-07-24.csv,95.0,95.0,94.0,94.0,100
167,UNHPL,2019-07-25.csv,90.0,90.0,85.0,85.0,"3,500"
162,UNHPL,2019-07-28.csv,84.0,84.0,77.0,78.0,821
161,UNHPL,2019-07-29.csv,77.0,78.0,72.0,78.0,"1,900"
167,UNHPL,2019-07-30.csv,77.0,77.0,73.0,73.0,"3,410"
164,UNHPL,2019-07-31.csv,72.0,72.0,68.0,70.0,"3,041"
163,UNHPL,2019-08-01.csv,70.0,72.0,70.0,72.0,600
165,UNHPL,2019-08-04.csv,73.0,73.0,71.0,71.0,"1,120"
163,UNHPL,2019-08-05.csv,71.0,71.0,68.0,68.0,350
164,UNHPL,2019-08-06.csv,68.0,69.0,68.0,68.0,520
168,UNHPL,2019-08-07.csv,68.0,69.0,68.0,68.0,200
162,UNHPL,2019-08-08.csv,68.0,68.0,68.0,68.0,600
162,UNHPL,2019-08-11.csv,67.0,68.0,65.0,67.0,590
167,UNHPL,2019-08-12.csv,66.0,66.0,65.0,65.0,860
161,UNHPL,2019-08-13.csv,65.0,69.0,65.0,67.0,750
165,UNHPL,2019-08-14.csv,67.0,68.0,66.0,66.0,610
155,UNHPL,2019-08-15.csv,67.0,67.0,66.0,66.0,570
156,UNHPL,2019-08-18.csv,65.0,65.0,64.0,65.0,450
171,UNHPL,2019-08-19.csv,66.0,66.0,65.0,65.0,250
161,UNHPL,2019-08-20.csv,65.0,65.0,64.0,64.0,500
157,UNHPL,2019-08-21.csv,63.0,63.0,62.0,62.0,200
167,UNHPL,2019-08-22.csv,61.0,62.0,61.0,62.0,550
166,UNHPL,2019-08-25.csv,63.0,63.0,62.0,62.0,150
166,UNHPL,2019-08-26.csv,61.0,61.0,58.0,60.0,490
163,UNHPL,2019-08-27.csv,61.0,61.0,58.0,58.0,760
163,UNHPL,2019-08-28.csv,59.0,59.0,59.0,59.0,300
165,UNHPL,2019-08-29.csv,59.0,61.0,59.0,61.0,"1,440"
164,UNHPL,2019-09-01.csv,61.0,61.0,60.0,60.0,190
166,UNHPL,2019-09-02.csv,60.0,61.0,60.0,60.0,250
167,UNHPL,2019-09-03.csv,59.0,62.0,59.0,62.0,400
164,UNHPL,2019-09-04.csv,61.0,62.0,60.0,62.0,400
161,UNHPL,2019-09-05.csv,61.0,61.0,60.0,60.0,700
160,UNHPL,2019-09-08.csv,59.0,59.0,57.0,57.0,400
168,UNHPL,2019-09-09.csv,58.0,58.0,54.0,55.0,560
168,UNHPL,2019-09-10.csv,56.0,56.0,55.0,55.0,"1,080"
166,UNHPL,2019-09-11.csv,55.0,55.0,55.0,55.0,50
164,UNHPL,2019-09-12.csv,55.0,56.0,54.0,54.0,920
158,UNHPL,2019-09-15.csv,54.0,54.0,53.0,54.0,350
165,UNHPL,2019-09-16.csv,53.0,53.0,50.0,51.0,800
166,UNHPL,2019-09-17.csv,52.0,52.0,52.0,52.0,50
166,UNHPL,2019-09-18.csv,53.0,53.0,53.0,53.0,100
146,UNHPL,2019-09-19.csv,53.0,53.0,52.0,53.0,230
161,UNHPL,2019-09-22.csv,53.0,53.0,52.0,53.0,150
165,UNHPL,2019-09-23.csv,52.0,52.0,51.0,51.0,300
167,UNHPL,2019-09-24.csv,51.0,51.0,50.0,51.0,250
162,UNHPL,2019-09-25.csv,51.0,52.0,51.0,52.0,180
162,UNHPL,2019-09-26.csv,51.0,52.0,50.0,51.0,300
152,UNHPL,2019-09-29.csv,50.0,51.0,50.0,51.0,200
153,UNHPL,2019-09-30.csv,52.0,54.0,52.0,54.0,250
160,UNHPL,2019-10-01.csv,55.0,55.0,55.0,55.0,50
156,UNHPL,2019-10-02.csv,54.0,56.0,54.0,56.0,100
118,UNHPL,2019-10-10.csv,57.0,57.0,56.0,56.0,750
149,UNHPL,2019-10-16.csv,57.0,58.0,57.0,57.0,190
151,UNHPL,2019-10-17.csv,58.0,58.0,58.0,58.0,50
125,UNHPL,2019-10-20.csv,59.0,59.0,58.0,58.0,190
141,UNHPL,2019-10-21.csv,57.0,57.0,57.0,57.0,100
151,UNHPL,2019-10-24.csv,57.0,57.0,54.0,56.0,600
150,UNHPL,2019-10-31.csv,56.0,56.0,54.0,54.0,600
157,UNHPL,2019-11-03.csv,54.0,55.0,54.0,55.0,190
