S.no,Symbol,Date,Open,High,Low,Close,Vol
75,UNL,2012-01-03.csv,6273.0,6150.0,6150.0,6150.0,10
71,UNL,2012-01-04.csv,6150.0,6273.0,6273.0,6273.0,100
65,UNL,2012-01-05.csv,6273.0,6148.0,6148.0,6148.0,10
77,UNL,2012-01-12.csv,6148.0,6269.0,6148.0,6269.0,30
78,UNL,2012-02-08.csv,6269.0,6144.0,5669.0,5669.0,150
85,UNL,2012-02-12.csv,5669.0,5712.0,5600.0,5712.0,20
78,UNL,2012-02-13.csv,5712.0,5600.0,5488.0,5488.0,60
73,UNL,2012-02-14.csv,5488.0,5379.0,5379.0,5379.0,10
84,UNL,2012-02-26.csv,5379.0,5916.0,5486.0,5916.0,130
71,UNL,2012-02-28.csv,5916.0,6120.0,6000.0,6119.0,30
78,UNL,2012-02-29.csv,6119.0,6119.0,6119.0,6119.0,20
76,UNL,2012-03-01.csv,6119.0,6114.0,6114.0,6114.0,10
80,UNL,2012-03-04.csv,6114.0,6100.0,6100.0,6100.0,10
78,UNL,2012-03-11.csv,6100.0,6100.0,6100.0,6100.0,30
79,UNL,2012-03-12.csv,6100.0,6100.0,6100.0,6100.0,20
87,UNL,2012-03-18.csv,6100.0,6100.0,6100.0,6100.0,30
84,UNL,2012-03-19.csv,6100.0,6300.0,5978.0,6300.0,70
74,UNL,2012-03-26.csv,6300.0,6174.0,6030.0,6032.0,360
85,UNL,2012-04-02.csv,6032.0,6032.0,6032.0,6032.0,40
83,UNL,2012-04-03.csv,6032.0,6150.0,6150.0,6150.0,10
81,UNL,2012-04-05.csv,6150.0,6050.0,6050.0,6050.0,60
78,UNL,2012-04-08.csv,6050.0,6100.0,6100.0,6100.0,10
97,UNL,2012-04-19.csv,6100.0,6222.0,6222.0,6222.0,10
89,UNL,2012-04-29.csv,6222.0,6310.0,6310.0,6310.0,10
77,UNL,2012-05-17.csv,6310.0,6436.0,6436.0,6436.0,10
52,UNL,2012-05-23.csv,6436.0,6308.0,6308.0,6308.0,50
72,UNL,2012-05-27.csv,6308.0,6434.0,6434.0,6434.0,10
48,UNL,2012-05-29.csv,6434.0,6306.0,6210.0,6306.0,120
79,UNL,2012-06-05.csv,6306.0,6300.0,6300.0,6300.0,20
84,UNL,2012-06-12.csv,6300.0,6300.0,6300.0,6300.0,10
80,UNL,2012-06-13.csv,6300.0,6300.0,6300.0,6300.0,20
74,UNL,2012-06-25.csv,6300.0,6300.0,6300.0,6300.0,40
74,UNL,2012-07-03.csv,6300.0,6300.0,6300.0,6300.0,20
76,UNL,2012-07-16.csv,6300.0,6426.0,6426.0,6426.0,10
82,UNL,2012-07-17.csv,6426.0,6685.0,6554.0,6685.0,20
74,UNL,2012-07-24.csv,6685.0,6600.0,6600.0,6600.0,30
82,UNL,2012-08-06.csv,6600.0,6733.0,6732.0,6733.0,120
89,UNL,2012-08-07.csv,6733.0,6810.0,6810.0,6810.0,10
80,UNL,2012-08-13.csv,6810.0,7084.0,6946.0,7084.0,20
81,UNL,2012-08-16.csv,7084.0,7369.0,7225.0,7369.0,20
79,UNL,2012-08-19.csv,7369.0,7500.0,7500.0,7500.0,10
88,UNL,2012-08-23.csv,7500.0,7650.0,7650.0,7650.0,180
91,UNL,2012-08-27.csv,7650.0,7854.0,7700.0,7854.0,30
91,UNL,2012-09-03.csv,7854.0,7995.0,7995.0,7995.0,10
91,UNL,2012-09-04.csv,7995.0,8200.0,8154.0,8200.0,20
89,UNL,2012-09-09.csv,8200.0,8280.0,8200.0,8280.0,20
94,UNL,2012-09-10.csv,8280.0,8150.0,8150.0,8150.0,130
92,UNL,2012-09-16.csv,8150.0,7987.0,7828.0,7828.0,20
90,UNL,2012-09-18.csv,7828.0,7672.0,7672.0,7672.0,10
91,UNL,2012-09-20.csv,7672.0,7519.0,7519.0,7519.0,10
91,UNL,2012-10-02.csv,7519.0,7500.0,7369.0,7500.0,20
89,UNL,2012-10-10.csv,7500.0,7350.0,7350.0,7350.0,30
81,UNL,2012-11-25.csv,7350.0,7497.0,7497.0,7497.0,20
75,UNL,2012-12-03.csv,7497.0,7646.0,7646.0,7646.0,10
84,UNL,2012-12-06.csv,7646.0,8112.0,7798.0,8112.0,30
76,UNL,2012-12-18.csv,8112.0,8923.0,8274.0,8923.0,70
81,UNL,2012-12-19.csv,8923.0,9815.0,9101.0,9815.0,160
75,UNL,2012-12-20.csv,9815.0,10080.0,9500.0,10080.0,40
79,UNL,2012-12-23.csv,10080.0,9879.0,9682.0,9682.0,20
77,UNL,2012-12-27.csv,9682.0,9685.0,9650.0,9685.0,30
78,UNL,2013-01-07.csv,9685.0,10100.0,9700.0,10100.0,110
77,UNL,2013-01-15.csv,10100.0,10100.0,10100.0,10100.0,10
69,UNL,2013-01-20.csv,10100.0,10000.0,10000.0,10000.0,30
79,UNL,2013-01-22.csv,10000.0,9800.0,9800.0,9800.0,100
85,UNL,2013-01-24.csv,9800.0,9996.0,9996.0,9996.0,10
84,UNL,2013-01-30.csv,9996.0,9850.0,9797.0,9800.0,70
77,UNL,2013-02-03.csv,9800.0,9900.0,9900.0,9900.0,"1,020"
88,UNL,2013-02-04.csv,9900.0,9702.0,9702.0,9702.0,30
77,UNL,2013-02-06.csv,9702.0,9750.0,9700.0,9750.0,150
83,UNL,2013-02-10.csv,9750.0,9945.0,9945.0,9945.0,20
76,UNL,2013-02-12.csv,9945.0,10345.0,10143.0,10345.0,60
86,UNL,2013-02-13.csv,10345.0,10400.0,10400.0,10400.0,10
87,UNL,2013-02-20.csv,10400.0,10192.0,10100.0,10100.0,70
80,UNL,2013-02-24.csv,10100.0,10099.0,9900.0,9900.0,20
79,UNL,2013-02-25.csv,9900.0,9898.0,9898.0,9898.0,10
82,UNL,2013-03-03.csv,9898.0,9750.0,9750.0,9750.0,10
79,UNL,2013-03-06.csv,9750.0,9300.0,9300.0,9300.0,190
79,UNL,2013-03-24.csv,9300.0,9486.0,9486.0,9486.0,20
74,UNL,2013-03-28.csv,9486.0,9298.0,9298.0,9298.0,30
82,UNL,2013-04-16.csv,9298.0,9483.0,9483.0,9483.0,10
75,UNL,2013-04-21.csv,9483.0,9672.0,9600.0,9672.0,40
81,UNL,2013-05-02.csv,9672.0,9672.0,9672.0,9672.0,10
72,UNL,2013-05-14.csv,9672.0,9865.0,9700.0,9865.0,20
75,UNL,2013-05-16.csv,9865.0,9800.0,9800.0,9800.0,100
82,UNL,2013-05-19.csv,9800.0,10100.0,9996.0,10100.0,290
86,UNL,2013-05-27.csv,10100.0,9898.0,9898.0,9898.0,30
80,UNL,2013-05-30.csv,9898.0,9792.0,9792.0,9792.0,10
86,UNL,2013-06-03.csv,9792.0,9986.0,9986.0,9986.0,50
91,UNL,2013-06-04.csv,9986.0,10000.0,9987.0,10000.0,20
82,UNL,2013-06-06.csv,10000.0,10000.0,10000.0,10000.0,10
72,UNL,2013-06-16.csv,10000.0,10000.0,10000.0,10000.0,150
88,UNL,2013-06-18.csv,10000.0,10000.0,10000.0,10000.0,120
82,UNL,2013-06-20.csv,10000.0,10000.0,10000.0,10000.0,60
77,UNL,2013-06-23.csv,10000.0,10000.0,10000.0,10000.0,30
84,UNL,2013-06-24.csv,10000.0,10000.0,10000.0,10000.0,20
85,UNL,2013-06-27.csv,10000.0,10000.0,10000.0,10000.0,120
94,UNL,2013-07-02.csv,10000.0,10000.0,10000.0,10000.0,40
87,UNL,2013-07-04.csv,10000.0,9998.0,9998.0,9998.0,30
91,UNL,2013-07-07.csv,9998.0,10000.0,10000.0,10000.0,20
86,UNL,2013-07-10.csv,10000.0,10000.0,10000.0,10000.0,20
81,UNL,2013-07-11.csv,10000.0,9900.0,9800.0,9800.0,790
84,UNL,2013-07-21.csv,9800.0,9905.0,9905.0,9905.0,20
85,UNL,2013-07-25.csv,9905.0,9905.0,9900.0,9900.0,60
107,UNL,2013-08-12.csv,9900.0,10098.0,10098.0,10098.0,10
106,UNL,2013-08-19.csv,10098.0,10250.0,10046.0,10046.0,280
112,UNL,2013-08-20.csv,10046.0,10046.0,10046.0,10046.0,100
105,UNL,2013-08-29.csv,10046.0,10200.0,10200.0,10200.0,10
110,UNL,2013-09-01.csv,10200.0,10000.0,10000.0,10000.0,30
110,UNL,2013-09-02.csv,10000.0,10000.0,10000.0,10000.0,20
102,UNL,2013-09-09.csv,10000.0,10000.0,10000.0,10000.0,20
93,UNL,2013-09-23.csv,10000.0,9800.0,9800.0,9800.0,10
93,UNL,2013-09-25.csv,9800.0,9800.0,9800.0,9800.0,10
98,UNL,2013-10-01.csv,9800.0,9800.0,9800.0,9800.0,30
98,UNL,2013-10-03.csv,9800.0,9996.0,9996.0,9996.0,10
92,UNL,2013-10-07.csv,9996.0,9996.0,9996.0,9996.0,30
81,UNL,2013-10-10.csv,9996.0,9999.0,9999.0,9999.0,40
60,UNL,2013-10-17.csv,9999.0,9999.0,9999.0,9999.0,10
