S.no,Symbol,Date,Open,High,Low,Close,Vol
163,UPCL,2019-03-24.csv,300.0,300.0,270.0,270.0,230
166,UPCL,2019-03-25.csv,257.0,257.0,243.0,243.0,210
168,UPCL,2019-03-26.csv,231.0,231.0,219.0,219.0,320
163,UPCL,2019-03-27.csv,209.0,209.0,198.0,198.0,90
165,UPCL,2019-03-28.csv,189.0,189.0,179.0,179.0,190
161,UPCL,2019-03-31.csv,171.0,171.0,162.0,162.0,220
167,UPCL,2019-04-01.csv,154.0,154.0,146.0,146.0,90
166,UPCL,2019-04-02.csv,139.0,139.0,132.0,132.0,160
167,UPCL,2019-04-03.csv,126.0,126.0,119.0,119.0,450
168,UPCL,2019-04-04.csv,114.0,114.0,108.0,108.0,"1,250"
165,UPCL,2019-04-07.csv,103.0,103.0,98.0,98.0,"23,430"
167,UPCL,2019-04-08.csv,97.0,99.0,93.0,94.0,"35,689"
167,UPCL,2019-04-09.csv,93.0,96.0,92.0,94.0,"17,210"
166,UPCL,2019-04-10.csv,93.0,94.0,92.0,94.0,"11,020"
167,UPCL,2019-04-11.csv,95.0,96.0,92.0,94.0,"9,145"
162,UPCL,2019-04-15.csv,93.0,94.0,90.0,93.0,"7,510"
167,UPCL,2019-04-16.csv,92.0,93.0,89.0,90.0,"12,540"
168,UPCL,2019-04-17.csv,89.0,95.0,89.0,95.0,"13,800"
162,UPCL,2019-04-18.csv,94.0,94.0,90.0,91.0,"5,200"
168,UPCL,2019-04-21.csv,90.0,92.0,90.0,91.0,"10,085"
165,UPCL,2019-04-22.csv,91.0,92.0,90.0,91.0,"12,050"
172,UPCL,2019-04-23.csv,90.0,92.0,90.0,91.0,"7,340"
168,UPCL,2019-04-24.csv,90.0,91.0,88.0,90.0,"8,950"
173,UPCL,2019-04-25.csv,89.0,94.0,88.0,94.0,"12,520"
173,UPCL,2019-04-28.csv,92.0,99.0,89.0,96.0,"15,999"
171,UPCL,2019-04-29.csv,92.0,100.0,91.0,100.0,"7,090"
174,UPCL,2019-04-30.csv,95.0,99.0,90.0,98.0,"8,370"
167,UPCL,2019-05-02.csv,97.0,102.0,91.0,102.0,"33,909"
172,UPCL,2019-05-05.csv,97.0,98.0,94.0,96.0,"9,080"
169,UPCL,2019-05-06.csv,92.0,97.0,92.0,93.0,"6,441"
173,UPCL,2019-05-07.csv,92.0,99.0,92.0,95.0,"8,170"
172,UPCL,2019-05-08.csv,96.0,97.0,93.0,94.0,"7,055"
171,UPCL,2019-05-09.csv,93.0,95.0,92.0,94.0,"3,590"
168,UPCL,2019-05-12.csv,93.0,94.0,91.0,91.0,"6,670"
166,UPCL,2019-05-13.csv,90.0,97.0,90.0,95.0,"11,075"
167,UPCL,2019-05-14.csv,95.0,95.0,93.0,95.0,"3,995"
169,UPCL,2019-05-15.csv,95.0,96.0,92.0,94.0,"5,330"
170,UPCL,2019-05-16.csv,93.0,95.0,92.0,93.0,"5,720"
168,UPCL,2019-05-19.csv,94.0,95.0,92.0,93.0,"7,340"
169,UPCL,2019-05-20.csv,92.0,95.0,92.0,92.0,"7,530"
170,UPCL,2019-05-21.csv,91.0,97.0,91.0,95.0,"14,515"
168,UPCL,2019-05-22.csv,96.0,102.0,96.0,100.0,"51,310"
167,UPCL,2019-05-23.csv,98.0,102.0,94.0,96.0,"20,010"
162,UPCL,2019-05-26.csv,96.0,96.0,94.0,96.0,"6,955"
167,UPCL,2019-05-27.csv,96.0,96.0,94.0,94.0,"3,692"
161,UPCL,2019-05-28.csv,95.0,97.0,93.0,97.0,"27,835"
170,UPCL,2019-05-29.csv,96.0,100.0,94.0,96.0,"4,730"
171,UPCL,2019-05-30.csv,100.0,100.0,94.0,95.0,"6,166"
163,UPCL,2019-06-02.csv,96.0,100.0,93.0,100.0,"38,605"
168,UPCL,2019-06-03.csv,100.0,101.0,96.0,97.0,"17,130"
169,UPCL,2019-06-04.csv,98.0,98.0,93.0,95.0,"4,686"
169,UPCL,2019-06-06.csv,94.0,98.0,93.0,98.0,"3,015"
170,UPCL,2019-06-10.csv,97.0,97.0,92.0,92.0,"16,384"
171,UPCL,2019-06-11.csv,93.0,95.0,91.0,92.0,"17,080"
171,UPCL,2019-06-12.csv,91.0,93.0,91.0,92.0,"4,300"
167,UPCL,2019-06-13.csv,91.0,94.0,91.0,93.0,"3,770"
170,UPCL,2019-06-16.csv,93.0,93.0,91.0,92.0,"5,430"
170,UPCL,2019-06-17.csv,93.0,94.0,91.0,92.0,"10,220"
174,UPCL,2019-06-18.csv,96.0,96.0,91.0,91.0,"3,000"
166,UPCL,2019-06-19.csv,91.0,93.0,91.0,91.0,"3,870"
168,UPCL,2019-06-20.csv,91.0,92.0,91.0,92.0,"2,170"
168,UPCL,2019-06-23.csv,93.0,93.0,91.0,92.0,"3,525"
170,UPCL,2019-06-24.csv,92.0,93.0,91.0,92.0,"4,100"
171,UPCL,2019-06-25.csv,91.0,93.0,91.0,92.0,"3,880"
164,UPCL,2019-06-26.csv,91.0,92.0,91.0,91.0,"2,850"
168,UPCL,2019-06-27.csv,91.0,92.0,91.0,92.0,"3,710"
168,UPCL,2019-06-30.csv,90.0,92.0,90.0,91.0,"3,440"
166,UPCL,2019-07-01.csv,91.0,91.0,90.0,90.0,"8,060"
167,UPCL,2019-07-02.csv,90.0,92.0,90.0,92.0,"5,119"
171,UPCL,2019-07-03.csv,93.0,94.0,93.0,93.0,150
173,UPCL,2019-07-04.csv,93.0,93.0,90.0,91.0,"11,310"
169,UPCL,2019-07-07.csv,90.0,91.0,89.0,90.0,"2,810"
168,UPCL,2019-07-08.csv,90.0,91.0,89.0,91.0,"4,040"
162,UPCL,2019-07-09.csv,90.0,91.0,89.0,90.0,"6,610"
165,UPCL,2019-07-10.csv,89.0,91.0,89.0,90.0,"3,910"
169,UPCL,2019-07-11.csv,89.0,90.0,89.0,89.0,"4,590"
158,UPCL,2019-07-14.csv,89.0,90.0,88.0,90.0,"3,770"
