S.no,Symbol,Date,Open,High,Low,Close,Vol
75,VFL,2012-01-01.csv,102.0,104.0,104.0,104.0,90
76,VFL,2012-01-03.csv,104.0,102.0,102.0,102.0,120
72,VFL,2012-01-04.csv,102.0,101.0,100.0,101.0,60
66,VFL,2012-01-05.csv,101.0,103.0,101.0,102.0,660
67,VFL,2012-01-08.csv,102.0,104.0,101.0,104.0,750
71,VFL,2012-01-09.csv,104.0,105.0,105.0,105.0,20
68,VFL,2012-01-10.csv,102.0,103.0,100.0,100.0,340
79,VFL,2012-01-11.csv,100.0,100.0,99.0,99.0,180
78,VFL,2012-01-12.csv,99.0,100.0,98.0,98.0,120
69,VFL,2012-01-16.csv,98.0,99.0,99.0,99.0,30
71,VFL,2012-01-17.csv,99.0,99.0,99.0,99.0,20
72,VFL,2012-01-18.csv,99.0,100.0,99.0,100.0,120
45,VFL,2012-01-19.csv,100.0,103.0,102.0,103.0,110
84,VFL,2012-01-22.csv,103.0,106.0,101.0,105.0,190
86,VFL,2012-01-23.csv,105.0,107.0,107.0,107.0,430
70,VFL,2012-01-25.csv,107.0,111.0,107.0,111.0,440
81,VFL,2012-01-26.csv,111.0,109.0,107.0,108.0,210
82,VFL,2012-01-29.csv,108.0,109.0,105.0,105.0,110
88,VFL,2012-01-31.csv,105.0,104.0,100.0,100.0,410
87,VFL,2012-02-01.csv,100.0,102.0,99.0,100.0,"1,260"
81,VFL,2012-02-02.csv,100.0,102.0,98.0,102.0,310
80,VFL,2012-02-05.csv,102.0,103.0,101.0,101.0,130
82,VFL,2012-02-06.csv,101.0,101.0,101.0,101.0,20
84,VFL,2012-02-07.csv,101.0,101.0,99.0,99.0,280
79,VFL,2012-02-08.csv,99.0,100.0,98.0,98.0,200
65,VFL,2012-02-09.csv,98.0,99.0,97.0,97.0,150
86,VFL,2012-02-12.csv,97.0,97.0,96.0,97.0,130
74,VFL,2012-02-14.csv,97.0,97.0,97.0,97.0,110
80,VFL,2012-02-15.csv,97.0,97.0,96.0,97.0,160
80,VFL,2012-02-16.csv,97.0,97.0,96.0,97.0,430
76,VFL,2012-02-21.csv,97.0,100.0,98.0,100.0,620
83,VFL,2012-02-23.csv,100.0,98.0,98.0,98.0,620
85,VFL,2012-02-26.csv,98.0,100.0,98.0,100.0,740
88,VFL,2012-02-27.csv,100.0,100.0,100.0,100.0,50
72,VFL,2012-02-28.csv,100.0,102.0,98.0,98.0,370
79,VFL,2012-02-29.csv,98.0,100.0,99.0,100.0,130
77,VFL,2012-03-01.csv,100.0,100.0,100.0,100.0,130
81,VFL,2012-03-04.csv,100.0,101.0,100.0,101.0,170
75,VFL,2012-03-05.csv,101.0,102.0,98.0,99.0,350
79,VFL,2012-03-11.csv,99.0,98.0,97.0,97.0,110
80,VFL,2012-03-12.csv,97.0,98.0,98.0,98.0,950
