S.no,Symbol,Date,Open,High,Low,Close,Vol
107,VLBS,2015-11-10.csv,312.0,343.0,318.0,343.0,168
102,VLBS,2015-11-29.csv,343.0,376.0,349.0,376.0,50
100,VLBS,2015-11-30.csv,376.0,383.0,383.0,383.0,10
111,VLBS,2015-12-01.csv,383.0,404.0,390.0,404.0,30
103,VLBS,2015-12-02.csv,404.0,420.0,412.0,420.0,20
105,VLBS,2015-12-03.csv,420.0,436.0,428.0,436.0,28
118,VLBS,2015-12-07.csv,436.0,479.0,444.0,479.0,76
123,VLBS,2015-12-08.csv,479.0,526.0,502.0,526.0,319
122,VLBS,2015-12-09.csv,526.0,578.0,536.0,578.0,130
119,VLBS,2015-12-10.csv,578.0,635.0,589.0,635.0,92
123,VLBS,2015-12-13.csv,635.0,698.0,647.0,698.0,50
113,VLBS,2015-12-14.csv,698.0,767.0,711.0,767.0,85
113,VLBS,2015-12-15.csv,767.0,843.0,782.0,843.0,648
121,VLBS,2015-12-16.csv,843.0,927.0,859.0,927.0,"4,082"
119,VLBS,2015-12-17.csv,927.0,1019.0,945.0,1019.0,"11,089"
122,VLBS,2015-12-20.csv,1019.0,1044.0,967.0,980.0,"16,297"
116,VLBS,2015-12-21.csv,980.0,985.0,900.0,951.0,"7,937"
121,VLBS,2015-12-22.csv,951.0,1020.0,953.0,1020.0,"6,941"
124,VLBS,2015-12-23.csv,1020.0,1075.0,1000.0,1050.0,"9,042"
122,VLBS,2015-12-24.csv,1050.0,1155.0,1029.0,1155.0,"7,798"
120,VLBS,2015-12-27.csv,1155.0,1178.0,1110.0,1161.0,"8,188"
121,VLBS,2015-12-28.csv,1161.0,1175.0,1141.0,1153.0,"7,129"
121,VLBS,2015-12-29.csv,1153.0,1170.0,1108.0,1170.0,"7,982"
124,VLBS,2015-12-31.csv,1170.0,1203.0,1084.0,1200.0,"5,459"
125,VLBS,2016-01-03.csv,1200.0,1225.0,1180.0,1225.0,"6,898"
126,VLBS,2016-01-04.csv,1225.0,1235.0,1172.0,1195.0,"3,188"
125,VLBS,2016-01-05.csv,1195.0,1200.0,1170.0,1184.0,"4,100"
129,VLBS,2016-01-06.csv,1184.0,1190.0,1105.0,1136.0,"3,875"
123,VLBS,2016-01-07.csv,1136.0,1155.0,1120.0,1136.0,"1,902"
126,VLBS,2016-01-10.csv,1136.0,1175.0,1130.0,1175.0,"6,088"
129,VLBS,2016-01-11.csv,1175.0,1175.0,1130.0,1161.0,"5,645"
252,VLBS,2016-01-12.csv,1161.0,1208.0,1100.0,1201.0,"7,670"
253,VLBS,2016-01-12.csv,1161.0,1208.0,1100.0,1201.0,"7,670"
130,VLBS,2016-01-13.csv,1201.0,1250.0,1195.0,1228.0,"10,301"
134,VLBS,2016-01-14.csv,1228.0,1275.0,1200.0,1249.0,"7,928"
103,VLBS,2016-01-31.csv,1249.0,1373.0,1273.0,1373.0,100
110,VLBS,2016-02-01.csv,1373.0,1505.0,1400.0,1503.0,"1,240"
108,VLBS,2016-02-02.csv,1503.0,1500.0,1475.0,1475.0,753
110,VLBS,2016-02-03.csv,1475.0,1479.0,1450.0,1470.0,332
121,VLBS,2016-02-04.csv,1470.0,1442.0,1415.0,1440.0,810
120,VLBS,2016-02-07.csv,1440.0,1468.0,1412.0,1412.0,550
118,VLBS,2016-02-14.csv,1412.0,1439.0,1439.0,1439.0,400
115,VLBS,2016-02-15.csv,1439.0,1411.0,1330.0,1370.0,"2,349"
116,VLBS,2016-02-16.csv,1370.0,1380.0,1360.0,1360.0,745
114,VLBS,2016-02-18.csv,1360.0,1387.0,1387.0,1387.0,10
110,VLBS,2016-02-21.csv,1387.0,1360.0,1333.0,1335.0,48
120,VLBS,2016-02-22.csv,1335.0,1330.0,1315.0,1330.0,350
113,VLBS,2016-02-23.csv,1330.0,1305.0,1279.0,1279.0,103
116,VLBS,2016-02-24.csv,1279.0,1255.0,1230.0,1254.0,386
113,VLBS,2016-02-25.csv,1254.0,1240.0,1220.0,1240.0,112
115,VLBS,2016-02-28.csv,1240.0,1260.0,1230.0,1250.0,90
118,VLBS,2016-02-29.csv,1250.0,1375.0,1275.0,1335.0,"3,061"
