S.no,Symbol,Date,Open,High,Low,Close,Vol
76,WDBL,2012-01-01.csv,92.0,93.0,90.0,93.0,"1,022"
71,WDBL,2012-01-02.csv,93.0,93.0,90.0,92.0,"1,052"
77,WDBL,2012-01-03.csv,92.0,93.0,91.0,92.0,772
73,WDBL,2012-01-04.csv,92.0,94.0,88.0,88.0,648
67,WDBL,2012-01-05.csv,88.0,89.0,89.0,89.0,108
68,WDBL,2012-01-08.csv,89.0,91.0,90.0,90.0,358
72,WDBL,2012-01-09.csv,90.0,99.0,91.0,97.0,"1,432"
69,WDBL,2012-01-10.csv,89.0,97.0,95.0,96.0,756
80,WDBL,2012-01-11.csv,96.0,96.0,91.0,94.0,756
79,WDBL,2012-01-12.csv,94.0,95.0,88.0,88.0,"1,068"
70,WDBL,2012-01-16.csv,88.0,94.0,89.0,94.0,"1,420"
72,WDBL,2012-01-17.csv,94.0,98.0,93.0,98.0,860
73,WDBL,2012-01-18.csv,98.0,99.0,94.0,99.0,"1,120"
46,WDBL,2012-01-19.csv,99.0,98.0,98.0,98.0,120
85,WDBL,2012-01-22.csv,98.0,99.0,98.0,99.0,"1,234"
87,WDBL,2012-01-23.csv,99.0,102.0,91.0,95.0,"1,200"
71,WDBL,2012-01-25.csv,95.0,94.0,90.0,92.0,240
82,WDBL,2012-01-26.csv,92.0,95.0,92.0,95.0,"1,180"
83,WDBL,2012-01-29.csv,95.0,95.0,93.0,94.0,"1,876"
89,WDBL,2012-01-31.csv,94.0,95.0,93.0,94.0,960
88,WDBL,2012-02-01.csv,94.0,94.0,91.0,91.0,192
82,WDBL,2012-02-02.csv,91.0,91.0,89.0,90.0,682
81,WDBL,2012-02-05.csv,90.0,90.0,88.0,90.0,995
83,WDBL,2012-02-06.csv,90.0,92.0,91.0,92.0,372
85,WDBL,2012-02-07.csv,92.0,92.0,91.0,91.0,288
80,WDBL,2012-02-08.csv,91.0,92.0,91.0,92.0,264
66,WDBL,2012-02-09.csv,92.0,93.0,93.0,93.0,24
87,WDBL,2012-02-12.csv,93.0,96.0,93.0,93.0,462
79,WDBL,2012-02-13.csv,93.0,95.0,92.0,95.0,748
75,WDBL,2012-02-14.csv,95.0,97.0,95.0,95.0,222
81,WDBL,2012-02-15.csv,95.0,95.0,95.0,95.0,72
81,WDBL,2012-02-16.csv,95.0,94.0,93.0,93.0,338
77,WDBL,2012-02-21.csv,93.0,95.0,94.0,95.0,60
84,WDBL,2012-02-23.csv,95.0,96.0,94.0,94.0,360
86,WDBL,2012-02-26.csv,94.0,94.0,94.0,94.0,72
89,WDBL,2012-02-27.csv,94.0,95.0,91.0,91.0,356
73,WDBL,2012-02-28.csv,91.0,91.0,89.0,90.0,"1,272"
80,WDBL,2012-02-29.csv,90.0,89.0,89.0,89.0,176
78,WDBL,2012-03-01.csv,89.0,91.0,90.0,90.0,80
82,WDBL,2012-03-04.csv,90.0,90.0,90.0,90.0,372
76,WDBL,2012-03-05.csv,90.0,89.0,87.0,87.0,120
83,WDBL,2012-03-06.csv,87.0,95.0,88.0,95.0,524
80,WDBL,2012-03-11.csv,95.0,98.0,91.0,92.0,472
81,WDBL,2012-03-12.csv,92.0,93.0,90.0,90.0,296
85,WDBL,2012-03-13.csv,90.0,91.0,90.0,90.0,96
73,WDBL,2012-03-14.csv,90.0,92.0,90.0,92.0,274
69,WDBL,2012-03-15.csv,92.0,96.0,93.0,96.0,300
