S.no,Symbol,Date,Open,High,Low,Close,Vol
121,WOMI,2015-12-10.csv,0.0,399.0,363.0,399.0,80
126,WOMI,2015-12-13.csv,399.0,438.0,406.0,438.0,650
115,WOMI,2015-12-15.csv,438.0,463.0,446.0,463.0,30
120,WOMI,2015-12-17.csv,463.0,481.0,472.0,481.0,20
118,WOMI,2015-12-21.csv,481.0,499.0,490.0,499.0,30
122,WOMI,2015-12-22.csv,499.0,518.0,508.0,518.0,20
126,WOMI,2015-12-23.csv,518.0,558.0,528.0,558.0,40
123,WOMI,2015-12-24.csv,558.0,569.0,569.0,569.0,10
122,WOMI,2015-12-27.csv,569.0,625.0,597.0,625.0,360
123,WOMI,2015-12-29.csv,625.0,687.0,656.0,687.0,190
127,WOMI,2016-01-03.csv,573.0,595.0,584.0,595.0,20
125,WOMI,2016-01-07.csv,595.0,606.0,606.0,606.0,10
130,WOMI,2016-01-11.csv,606.0,630.0,618.0,630.0,40
131,WOMI,2016-01-13.csv,630.0,654.0,642.0,654.0,20
136,WOMI,2016-01-14.csv,654.0,719.0,686.0,719.0,90
87,WOMI,2016-01-17.csv,719.0,733.0,733.0,733.0,50
116,WOMI,2016-02-18.csv,733.0,747.0,747.0,747.0,10
122,WOMI,2016-02-22.csv,747.0,761.0,761.0,761.0,10
114,WOMI,2016-02-25.csv,761.0,806.0,776.0,806.0,30
114,WOMI,2016-03-13.csv,806.0,822.0,822.0,822.0,10
125,WOMI,2016-04-03.csv,822.0,854.0,838.0,854.0,20
126,WOMI,2016-04-10.csv,854.0,871.0,871.0,871.0,10
119,WOMI,2016-04-12.csv,871.0,914.0,914.0,914.0,10
130,WOMI,2016-05-09.csv,914.0,932.0,932.0,932.0,10
132,WOMI,2016-05-10.csv,932.0,978.0,978.0,978.0,10
133,WOMI,2016-05-11.csv,978.0,1066.0,1026.0,1066.0,30
134,WOMI,2016-05-12.csv,1066.0,1108.0,1087.0,1108.0,20
133,WOMI,2016-05-16.csv,1108.0,1163.0,1163.0,1163.0,20
131,WOMI,2016-05-17.csv,1163.0,1221.0,1221.0,1221.0,10
134,WOMI,2016-05-18.csv,1221.0,1333.0,1282.0,1333.0,30
132,WOMI,2016-05-19.csv,1333.0,1386.0,1359.0,1386.0,20
133,WOMI,2016-05-22.csv,1386.0,1469.0,1413.0,1469.0,30
137,WOMI,2016-05-24.csv,1469.0,1615.0,1542.0,1615.0,210
122,WOMI,2016-05-29.csv,1615.0,1647.0,1647.0,1647.0,20
131,WOMI,2016-05-30.csv,1647.0,1712.0,1679.0,1712.0,20
134,WOMI,2016-05-31.csv,1712.0,1780.0,1746.0,1780.0,20
129,WOMI,2016-06-01.csv,1780.0,1958.0,1815.0,1958.0,60
125,WOMI,2016-06-02.csv,1958.0,2076.0,1997.0,2076.0,30
125,WOMI,2016-06-05.csv,2076.0,2159.0,2117.0,2159.0,24
132,WOMI,2016-06-06.csv,2159.0,2374.0,2202.0,2374.0,130
