S.no,Symbol,Date,Open,High,Low,Close,Vol
120,YETIPO,2014-10-19.csv,0.0,100.0,100.0,100.0,"23,200"
132,YETIPO,2014-11-06.csv,100.0,102.0,102.0,102.0,"10,000"
125,YETIPO,2014-11-09.csv,102.0,100.0,100.0,100.0,"75,000"
138,YETIPO,2015-03-02.csv,100.0,100.0,100.0,100.0,"150,000"
143,YETIPO,2015-03-03.csv,100.0,100.0,100.0,100.0,"156,830"
132,YETIPO,2015-04-08.csv,100.0,100.0,100.0,100.0,"65,000"
116,YETIPO,2015-04-20.csv,100.0,102.0,102.0,102.0,"75,000"
128,YETIPO,2015-06-24.csv,102.0,100.0,100.0,100.0,"31,469"
135,YETIPO,2015-09-10.csv,100.0,100.0,100.0,100.0,"150,000"
97,YETIPO,2015-11-05.csv,100.0,100.0,100.0,100.0,"25,000"
127,YETIPO,2016-01-07.csv,100.0,100.0,100.0,100.0,"5,000"
99,YETIPO,2016-01-27.csv,100.0,100.0,100.0,100.0,"20,000"
122,YETIPO,2016-03-01.csv,100.0,100.0,100.0,100.0,"138,471"
123,YETIPO,2016-03-29.csv,100.0,100.0,100.0,100.0,"10,000"
134,YETIPO,2016-06-15.csv,100.0,100.0,100.0,100.0,"100,000"
143,YETIPO,2016-07-10.csv,100.0,100.0,100.0,100.0,"160,858"
143,YETIPO,2016-07-11.csv,100.0,100.0,100.0,100.0,"80,430"
135,YETIPO,2016-07-17.csv,100.0,101.0,101.0,101.0,"69,207"
133,YETIPO,2016-10-02.csv,101.0,101.0,101.0,101.0,"150,000"
119,YETIPO,2016-10-19.csv,101.0,101.0,101.0,101.0,"80,000"
