S.no,Symbol,Date,Open,High,Low,Close,Vol
85,YFL,2012-02-23.csv,238.0,240.0,240.0,240.0,100
81,YFL,2012-03-11.csv,240.0,240.0,240.0,240.0,"2,500"
84,YFL,2012-04-04.csv,240.0,240.0,240.0,240.0,72
66,YFL,2012-05-08.csv,240.0,240.0,240.0,240.0,"2,162"
82,YFL,2012-06-17.csv,240.0,236.0,236.0,236.0,61
79,YFL,2012-07-10.csv,236.0,232.0,232.0,232.0,100
83,YFL,2012-08-13.csv,232.0,232.0,232.0,232.0,100
89,YFL,2012-08-29.csv,232.0,225.0,225.0,225.0,500
92,YFL,2012-09-05.csv,225.0,233.0,229.0,233.0,100
101,YFL,2012-09-13.csv,233.0,229.0,225.0,225.0,577
95,YFL,2012-09-30.csv,225.0,221.0,217.0,217.0,26
178,YFL,2012-10-01.csv,217.0,213.0,213.0,213.0,16
179,YFL,2012-10-01.csv,217.0,213.0,213.0,213.0,16
101,YFL,2012-10-03.csv,213.0,209.0,205.0,205.0,737
97,YFL,2012-10-07.csv,205.0,201.0,201.0,201.0,30
81,YFL,2012-10-17.csv,201.0,197.0,194.0,194.0,"2,179"
75,YFL,2012-10-31.csv,194.0,191.0,182.0,182.0,"1,048"
79,YFL,2012-11-11.csv,182.0,179.0,176.0,176.0,175
88,YFL,2012-11-26.csv,176.0,173.0,161.0,161.0,606
83,YFL,2012-11-27.csv,161.0,158.0,158.0,158.0,50
77,YFL,2012-11-29.csv,158.0,155.0,143.0,143.0,"1,033"
83,YFL,2012-12-05.csv,143.0,141.0,139.0,139.0,244
85,YFL,2012-12-06.csv,139.0,137.0,133.0,133.0,351
82,YFL,2012-12-09.csv,133.0,131.0,127.0,127.0,437
73,YFL,2012-12-10.csv,127.0,127.0,125.0,125.0,"1,024"
76,YFL,2012-12-11.csv,125.0,127.0,127.0,127.0,"1,456"
76,YFL,2012-12-12.csv,127.0,127.0,125.0,127.0,"1,497"
85,YFL,2012-12-13.csv,127.0,125.0,125.0,125.0,94
76,YFL,2012-12-16.csv,125.0,123.0,123.0,123.0,82
77,YFL,2012-12-18.csv,123.0,135.0,125.0,135.0,853
83,YFL,2012-12-19.csv,135.0,143.0,137.0,143.0,92
77,YFL,2012-12-20.csv,143.0,157.0,145.0,157.0,"3,710"
81,YFL,2012-12-23.csv,157.0,140.0,140.0,140.0,"2,822"
70,YFL,2013-01-20.csv,140.0,140.0,140.0,140.0,66
83,YFL,2013-02-07.csv,140.0,140.0,140.0,140.0,159
91,YFL,2013-02-20.csv,140.0,142.0,142.0,142.0,"1,273"
75,YFL,2013-02-28.csv,142.0,142.0,141.0,141.0,620
