S.no,Symbol,Date,Open,High,Low,Close,Vol
77,ZFL,2012-01-01.csv,106.0,107.0,105.0,105.0,"1,356"
72,ZFL,2012-01-02.csv,105.0,107.0,105.0,106.0,168
78,ZFL,2012-01-03.csv,106.0,105.0,104.0,104.0,124
74,ZFL,2012-01-04.csv,104.0,105.0,105.0,105.0,572
68,ZFL,2012-01-05.csv,105.0,106.0,105.0,106.0,644
69,ZFL,2012-01-08.csv,106.0,107.0,105.0,105.0,700
73,ZFL,2012-01-09.csv,105.0,105.0,103.0,103.0,224
70,ZFL,2012-01-10.csv,106.0,105.0,105.0,105.0,462
81,ZFL,2012-01-11.csv,105.0,108.0,104.0,104.0,"1,050"
80,ZFL,2012-01-12.csv,104.0,103.0,101.0,103.0,276
71,ZFL,2012-01-16.csv,103.0,102.0,100.0,102.0,170
73,ZFL,2012-01-17.csv,102.0,101.0,100.0,101.0,382
74,ZFL,2012-01-18.csv,101.0,102.0,100.0,100.0,188
47,ZFL,2012-01-19.csv,100.0,100.0,100.0,100.0,72
86,ZFL,2012-01-22.csv,100.0,101.0,100.0,100.0,308
88,ZFL,2012-01-23.csv,100.0,104.0,101.0,102.0,"1,682"
72,ZFL,2012-01-25.csv,102.0,104.0,103.0,103.0,214
83,ZFL,2012-01-26.csv,103.0,104.0,102.0,103.0,746
84,ZFL,2012-01-29.csv,103.0,107.0,104.0,104.0,492
90,ZFL,2012-01-31.csv,104.0,105.0,102.0,102.0,"1,178"
89,ZFL,2012-02-01.csv,102.0,102.0,100.0,102.0,220
83,ZFL,2012-02-02.csv,102.0,102.0,100.0,100.0,84
82,ZFL,2012-02-05.csv,100.0,103.0,100.0,101.0,416
84,ZFL,2012-02-06.csv,101.0,103.0,98.0,99.0,368
86,ZFL,2012-02-07.csv,99.0,99.0,98.0,98.0,68
81,ZFL,2012-02-08.csv,98.0,97.0,97.0,97.0,20
67,ZFL,2012-02-09.csv,97.0,99.0,98.0,99.0,588
88,ZFL,2012-02-12.csv,99.0,100.0,99.0,100.0,108
80,ZFL,2012-02-13.csv,100.0,100.0,97.0,98.0,108
76,ZFL,2012-02-14.csv,98.0,99.0,99.0,99.0,72
82,ZFL,2012-02-15.csv,99.0,100.0,99.0,100.0,195
82,ZFL,2012-02-16.csv,100.0,100.0,98.0,100.0,284
78,ZFL,2012-02-21.csv,100.0,100.0,97.0,99.0,"1,182"
86,ZFL,2012-02-23.csv,99.0,99.0,99.0,99.0,36
87,ZFL,2012-02-26.csv,99.0,99.0,99.0,99.0,404
90,ZFL,2012-02-27.csv,99.0,99.0,99.0,99.0,288
74,ZFL,2012-02-28.csv,99.0,99.0,99.0,99.0,168
81,ZFL,2012-02-29.csv,99.0,99.0,98.0,99.0,194
83,ZFL,2012-03-04.csv,99.0,100.0,96.0,96.0,342
77,ZFL,2012-03-05.csv,96.0,96.0,95.0,96.0,216
