Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SLBBL,1820.0,2000.0,1850.0,2000.0,512
1/4/2016,SLBBL,2000.0,2040.0,1921.0,2025.0,932
1/5/2016,SLBBL,2025.0,2025.0,2001.0,2001.0,840
1/6/2016,SLBBL,2001.0,1965.0,1930.0,1930.0,337
1/7/2016,SLBBL,1930.0,1967.0,1967.0,1967.0,90
1/10/2016,SLBBL,1967.0,1930.0,1930.0,1930.0,88
1/13/2016,SLBBL,1930.0,1900.0,1900.0,1900.0,118
1/14/2016,SLBBL,1900.0,1910.0,1890.0,1910.0,250
2/3/2016,SLBBL,1910.0,1986.0,1948.0,1986.0,20
2/21/2016,SLBBL,1986.0,2184.0,2025.0,2184.0,470
2/22/2016,SLBBL,2184.0,2316.0,2227.0,2300.0,443
2/23/2016,SLBBL,2300.0,2310.0,2290.0,2310.0,949
2/24/2016,SLBBL,2310.0,2300.0,2300.0,2300.0,135
2/29/2016,SLBBL,2300.0,2346.0,2300.0,2300.0,312
3/1/2016,SLBBL,2300.0,2375.0,2340.0,2340.0,900
3/2/2016,SLBBL,2340.0,2455.0,2370.0,2425.0,860
3/3/2016,SLBBL,2425.0,2550.0,2465.0,2482.0,850
3/6/2016,SLBBL,2482.0,2632.0,2531.0,2632.0,193
3/10/2016,SLBBL,2632.0,2684.0,2650.0,2675.0,645
3/13/2016,SLBBL,2675.0,2725.0,2680.0,2680.0,332
3/16/2016,SLBBL,2680.0,2630.0,2630.0,2630.0,200
3/28/2016,SLBBL,2630.0,2630.0,2630.0,2630.0,98
3/30/2016,SLBBL,2630.0,2578.0,2527.0,2527.0,36
3/31/2016,SLBBL,2527.0,2485.0,2436.0,2440.0,630
4/3/2016,SLBBL,2440.0,2392.0,2300.0,2300.0,93
4/4/2016,SLBBL,2300.0,2340.0,2265.0,2340.0,939
4/5/2016,SLBBL,2340.0,2340.0,2300.0,2340.0,808
4/10/2016,SLBBL,2340.0,2350.0,2304.0,2324.0,247
4/14/2016,SLBBL,2324.0,2430.0,2320.0,2400.0,323
4/17/2016,SLBBL,2400.0,2400.0,2400.0,2400.0,50
4/18/2016,SLBBL,2400.0,2420.0,2400.0,2420.0,97
4/19/2016,SLBBL,2420.0,2390.0,2300.0,2300.0,200
4/25/2016,SLBBL,2300.0,2392.0,2300.0,2392.0,128
4/26/2016,SLBBL,2392.0,2400.0,2310.0,2325.0,336
4/27/2016,SLBBL,2325.0,2305.0,2305.0,2305.0,28
4/28/2016,SLBBL,2305.0,2485.0,2351.0,2480.0,420
5/2/2016,SLBBL,2480.0,2431.0,2383.0,2400.0,240
5/3/2016,SLBBL,2400.0,2400.0,2400.0,2400.0,237
5/5/2016,SLBBL,2400.0,2352.0,2350.0,2350.0,115
5/8/2016,SLBBL,2350.0,2340.0,2303.0,2340.0,95
5/9/2016,SLBBL,2340.0,2350.0,2305.0,2340.0,671
5/10/2016,SLBBL,2340.0,2380.0,2335.0,2335.0,342
5/11/2016,SLBBL,2335.0,2350.0,2300.0,2310.0,314
5/12/2016,SLBBL,2310.0,2433.0,2340.0,2433.0,925
5/15/2016,SLBBL,2433.0,2385.0,2340.0,2340.0,239
5/16/2016,SLBBL,2340.0,2386.0,2315.0,2386.0,146
5/18/2016,SLBBL,2386.0,2365.0,2361.0,2361.0,85
5/19/2016,SLBBL,2361.0,2450.0,2400.0,2400.0,543
5/22/2016,SLBBL,2400.0,2380.0,2355.0,2380.0,351
5/23/2016,SLBBL,2380.0,2496.0,2400.0,2480.0,154
5/24/2016,SLBBL,2480.0,2460.0,2431.0,2431.0,92
5/25/2016,SLBBL,2431.0,2479.0,2431.0,2431.0,264
5/26/2016,SLBBL,2431.0,2405.0,2400.0,2405.0,502
5/29/2016,SLBBL,2405.0,2453.0,2453.0,2453.0,10
5/30/2016,SLBBL,2453.0,2404.0,2404.0,2404.0,56
5/31/2016,SLBBL,2404.0,2499.0,2450.0,2499.0,783
6/1/2016,SLBBL,2499.0,2548.0,2498.0,2498.0,182
6/2/2016,SLBBL,2498.0,2450.0,2440.0,2450.0,1245
6/5/2016,SLBBL,2450.0,2401.0,2401.0,2401.0,62
6/6/2016,SLBBL,2401.0,2570.0,2430.0,2530.0,2875
6/7/2016,SLBBL,2530.0,2500.0,2480.0,2500.0,473
6/8/2016,SLBBL,2500.0,2450.0,2402.0,2410.0,259
6/9/2016,SLBBL,2410.0,2400.0,2365.0,2400.0,67
6/13/2016,SLBBL,2400.0,2628.0,2430.0,2628.0,488
6/14/2016,SLBBL,2628.0,2787.0,2680.0,2700.0,563
6/15/2016,SLBBL,2700.0,2690.0,2650.0,2690.0,99
6/16/2016,SLBBL,2690.0,2743.0,2700.0,2743.0,125
6/20/2016,SLBBL,2743.0,2714.0,2607.0,2607.0,1490
6/21/2016,SLBBL,2607.0,2561.0,2560.0,2561.0,58
6/22/2016,SLBBL,2561.0,2685.0,2590.0,2680.0,535
6/23/2016,SLBBL,2680.0,2830.0,2630.0,2830.0,1171
6/26/2016,SLBBL,2830.0,2825.0,2778.0,2825.0,331
6/27/2016,SLBBL,2825.0,2950.0,2830.0,2949.0,1646
6/28/2016,SLBBL,2949.0,2900.0,2900.0,2900.0,80
6/29/2016,SLBBL,2900.0,2895.0,2838.0,2838.0,250
6/30/2016,SLBBL,2838.0,2850.0,2800.0,2810.0,110
7/3/2016,SLBBL,2810.0,3000.0,2850.0,3000.0,847
7/4/2016,SLBBL,3000.0,3060.0,2985.0,2990.0,660
7/5/2016,SLBBL,2990.0,2950.0,2900.0,2925.0,626
7/6/2016,SLBBL,2925.0,2900.0,2842.0,2842.0,60
7/10/2016,SLBBL,2842.0,2860.0,2774.0,2800.0,200
7/11/2016,SLBBL,2800.0,2755.0,2750.0,2750.0,130
7/12/2016,SLBBL,2750.0,2695.0,2650.0,2650.0,550
7/13/2016,SLBBL,2650.0,2597.0,2597.0,2597.0,11
7/14/2016,SLBBL,2597.0,2715.0,2560.0,2661.0,961
7/17/2016,SLBBL,2661.0,2700.0,2594.0,2594.0,84
7/18/2016,SLBBL,2594.0,2570.0,2500.0,2500.0,501
