Date,Symbol,Open,High,Low,Close,Vol
1/3/2016,SANIMA,659.0,662.0,655.0,661.0,6519
1/4/2016,SANIMA,661.0,660.0,653.0,653.0,11727
1/5/2016,SANIMA,653.0,664.0,650.0,650.0,12308
1/6/2016,SANIMA,650.0,664.0,650.0,662.0,11907
1/7/2016,SANIMA,662.0,670.0,664.0,665.0,19154
1/10/2016,SANIMA,665.0,668.0,654.0,665.0,17500
1/11/2016,SANIMA,665.0,670.0,663.0,665.0,12945
1/12/2016,SANIMA,665.0,680.0,668.0,670.0,57948
1/12/2016,SANIMA,665.0,680.0,668.0,670.0,57948
1/13/2016,SANIMA,670.0,675.0,670.0,673.0,35771
1/14/2016,SANIMA,673.0,679.0,670.0,670.0,50464
1/17/2016,SANIMA,670.0,700.0,683.0,690.0,37272
1/18/2016,SANIMA,690.0,704.0,691.0,699.0,79927
1/19/2016,SANIMA,699.0,700.0,680.0,699.0,36058
1/20/2016,SANIMA,699.0,702.0,695.0,699.0,60328
1/21/2016,SANIMA,699.0,705.0,696.0,700.0,77547
1/24/2016,SANIMA,700.0,714.0,701.0,714.0,43866
1/25/2016,SANIMA,714.0,739.0,718.0,725.0,37112
1/26/2016,SANIMA,725.0,738.0,723.0,725.0,39454
1/27/2016,SANIMA,725.0,727.0,722.0,724.0,37093
1/28/2016,SANIMA,724.0,730.0,720.0,720.0,32311
1/31/2016,SANIMA,720.0,728.0,715.0,720.0,20809
2/1/2016,SANIMA,720.0,735.0,720.0,732.0,56014
2/2/2016,SANIMA,732.0,746.0,738.0,739.0,27887
2/3/2016,SANIMA,739.0,740.0,735.0,735.0,20176
2/4/2016,SANIMA,735.0,741.0,735.0,740.0,20943
2/7/2016,SANIMA,740.0,769.0,736.0,738.0,27076
2/8/2016,SANIMA,738.0,745.0,729.0,735.0,35118
2/11/2016,SANIMA,735.0,740.0,728.0,728.0,11090
2/14/2016,SANIMA,728.0,735.0,728.0,728.0,23504
2/15/2016,SANIMA,728.0,734.0,718.0,725.0,11582
2/16/2016,SANIMA,725.0,726.0,720.0,724.0,7227
2/17/2016,SANIMA,724.0,732.0,725.0,732.0,10878
2/18/2016,SANIMA,732.0,735.0,724.0,729.0,14359
2/21/2016,SANIMA,729.0,742.0,730.0,730.0,79272
2/22/2016,SANIMA,730.0,745.0,730.0,735.0,58413
2/23/2016,SANIMA,735.0,746.0,734.0,737.0,20032
2/24/2016,SANIMA,737.0,745.0,735.0,738.0,17060
2/25/2016,SANIMA,738.0,745.0,730.0,740.0,18031
2/28/2016,SANIMA,740.0,742.0,738.0,740.0,22032
2/29/2016,SANIMA,740.0,741.0,730.0,741.0,12198
3/1/2016,SANIMA,741.0,745.0,740.0,744.0,12183
3/2/2016,SANIMA,744.0,750.0,740.0,748.0,23350
3/3/2016,SANIMA,748.0,760.0,750.0,760.0,29747
3/6/2016,SANIMA,760.0,785.0,750.0,774.0,22775
3/10/2016,SANIMA,774.0,785.0,760.0,771.0,24233
3/13/2016,SANIMA,771.0,779.0,765.0,766.0,12266
3/14/2016,SANIMA,766.0,780.0,760.0,769.0,9015
3/15/2016,SANIMA,769.0,769.0,764.0,768.0,8150
3/16/2016,SANIMA,768.0,770.0,765.0,768.0,5611
3/17/2016,SANIMA,768.0,772.0,761.0,768.0,10918
3/20/2016,SANIMA,768.0,783.0,765.0,776.0,31821
3/21/2016,SANIMA,776.0,788.0,770.0,780.0,65417
3/23/2016,SANIMA,780.0,785.0,771.0,780.0,38784
3/24/2016,SANIMA,780.0,796.0,766.0,788.0,32700
3/27/2016,SANIMA,788.0,820.0,797.0,818.0,60290
3/28/2016,SANIMA,818.0,825.0,800.0,811.0,48482
3/29/2016,SANIMA,811.0,811.0,800.0,804.0,39031
